Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with temporal robust selection
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 03001 | NEW BEST temporal robustness: worst_chunk_pf=0.373
step 03050 ( 31.8%) | loss: 1.176878 | trade:0.37 call:0.66 put:0.34 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 164s | best_wcpf: 0.373
step 03100 ( 32.3%) | loss: 1.180815 | trade:0.38 call:0.67 put:0.33 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 162s | best_wcpf: 0.373
step 03150 ( 32.8%) | loss: 1.176323 | trade:0.36 call:0.59 put:0.41 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 161s | best_wcpf: 0.373
step 03200 ( 33.4%) | loss: 1.200904 | trade:0.35 call:0.63 put:0.37 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 160s | best_wcpf: 0.373
step 03250 ( 33.9%) | loss: 1.191803 | trade:0.29 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 159s | best_wcpf: 0.373
step 03300 ( 34.4%) | loss: 1.188342 | trade:0.36 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 157s | best_wcpf: 0.373
step 03350 ( 35.0%) | loss: 1.179044 | trade:0.30 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 156s | best_wcpf: 0.373
step 03400 ( 35.5%) | loss: 1.169044 | trade:0.37 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 155s | best_wcpf: 0.373
step 03450 ( 36.1%) | loss: 1.138717 | trade:0.34 call:0.61 put:0.39 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 153s | best_wcpf: 0.373
step 03500 ( 36.6%) | loss: 1.174369 | trade:0.33 call:0.63 put:0.37 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 152s | best_wcpf: 0.373
step 03550 ( 37.1%) | loss: 1.166659 | trade:0.33 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 151s | best_wcpf: 0.373
step 03600 ( 37.6%) | loss: 1.157644 | trade:0.32 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 150s | best_wcpf: 0.373
step 03650 ( 38.2%) | loss: 1.157382 | trade:0.30 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 148s | best_wcpf: 0.373
step 03700 ( 38.7%) | loss: 1.151143 | trade:0.34 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 147s | best_wcpf: 0.373
step 03750 ( 39.3%) | loss: 1.199783 | trade:0.29 call:0.67 put:0.33 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 146s | best_wcpf: 0.373
step 03800 ( 39.9%) | loss: 1.163473 | trade:0.39 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 144s | best_wcpf: 0.373
step 03850 ( 40.4%) | loss: 1.144063 | trade:0.35 call:0.59 put:0.41 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 143s | best_wcpf: 0.373
step 03900 ( 41.0%) | loss: 1.135561 | trade:0.38 call:0.56 put:0.44 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 142s | best_wcpf: 0.373
step 03950 ( 41.5%) | loss: 1.111207 | trade:0.26 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 140s | best_wcpf: 0.373
step 04000 ( 42.1%) | loss: 1.149435 | trade:0.36 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 139s | best_wcpf: 0.373
step 04050 ( 42.5%) | loss: 1.144235 | trade:0.36 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 138s | best_wcpf: 0.373
step 04100 ( 43.1%) | loss: 1.133424 | trade:0.30 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 137s | best_wcpf: 0.373
step 04150 ( 43.6%) | loss: 1.104640 | trade:0.33 call:0.57 put:0.43 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 135s | best_wcpf: 0.373
step 04200 ( 44.1%) | loss: 1.113012 | trade:0.30 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 134s | best_wcpf: 0.373
step 04250 ( 44.7%) | loss: 1.122874 | trade:0.33 call:0.57 put:0.43 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 133s | best_wcpf: 0.373
step 04300 ( 45.2%) | loss: 1.123710 | trade:0.40 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 132s | best_wcpf: 0.373
step 04350 ( 45.7%) | loss: 1.116495 | trade:0.29 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 130s | best_wcpf: 0.373
step 04400 ( 46.2%) | loss: 1.120426 | trade:0.34 call:0.64 put:0.36 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 129s | best_wcpf: 0.373
step 04450 ( 46.7%) | loss: 1.100466 | trade:0.37 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 128s | best_wcpf: 0.373
step 04500 ( 47.3%) | loss: 1.133422 | trade:0.36 call:0.60 put:0.40 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 127s | best_wcpf: 0.373
step 04550 ( 47.7%) | loss: 1.107156 | trade:0.34 call:0.58 put:0.42 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 125s | best_wcpf: 0.373
step 04600 ( 48.3%) | loss: 1.120587 | trade:0.35 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 124s | best_wcpf: 0.373
step 04650 ( 48.8%) | loss: 1.096101 | trade:0.35 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 123s | best_wcpf: 0.373
step 04700 ( 49.3%) | loss: 1.120869 | trade:0.38 call:0.64 put:0.36 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 122s | best_wcpf: 0.373
step 04750 ( 49.9%) | loss: 1.132516 | trade:0.31 call:0.59 put:0.41 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 120s | best_wcpf: 0.373
step 04800 ( 50.4%) | loss: 1.090438 | trade:0.39 call:0.59 put:0.41 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 119s | best_wcpf: 0.373
step 04850 ( 50.9%) | loss: 1.100161 | trade:0.38 call:0.61 put:0.39 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 118s | best_wcpf: 0.373
step 04900 ( 51.5%) | loss: 1.092867 | trade:0.30 call:0.62 put:0.38 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 116s | best_wcpf: 0.373
step 04950 ( 52.0%) | loss: 1.122768 | trade:0.35 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 115s | best_wcpf: 0.373
step 05000 ( 52.5%) | loss: 1.110415 | trade:0.36 call:0.58 put:0.42 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 114s | best_wcpf: 0.373
step 05050 ( 52.8%) | loss: 1.097180 | trade:0.34 call:0.64 put:0.36 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 113s | best_wcpf: 0.373
step 05100 ( 53.0%) | loss: 1.112238 | trade:0.33 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 113s | best_wcpf: 0.373
step 05150 ( 53.4%) | loss: 1.093079 | trade:0.38 call:0.58 put:0.42 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 112s | best_wcpf: 0.373
step 05200 ( 53.7%) | loss: 1.098572 | trade:0.31 call:0.63 put:0.37 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 111s | best_wcpf: 0.373
step 05250 ( 53.9%) | loss: 1.090599 | trade:0.29 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 111s | best_wcpf: 0.373
step 05300 ( 54.2%) | loss: 1.095124 | trade:0.30 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 110s | best_wcpf: 0.373
step 05350 ( 54.4%) | loss: 1.105738 | trade:0.29 call:0.69 put:0.31 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 109s | best_wcpf: 0.373
step 05400 ( 54.7%) | loss: 1.100692 | trade:0.39 call:0.54 put:0.46 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 109s | best_wcpf: 0.373
step 05450 ( 55.0%) | loss: 1.069363 | trade:0.37 call:0.58 put:0.42 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 108s | best_wcpf: 0.373
step 05500 ( 55.2%) | loss: 1.081608 | trade:0.33 call:0.56 put:0.44 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 108s | best_wcpf: 0.373
step 05550 ( 55.6%) | loss: 1.093907 | trade:0.35 call:0.61 put:0.39 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 106s | best_wcpf: 0.373
step 05600 ( 55.9%) | loss: 1.080330 | trade:0.35 call:0.67 put:0.33 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 106s | best_wcpf: 0.373
step 05650 ( 56.2%) | loss: 1.072892 | trade:0.32 call:0.67 put:0.33 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 105s | best_wcpf: 0.373
step 05700 ( 56.4%) | loss: 1.097369 | trade:0.40 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 105s | best_wcpf: 0.373
step 05750 ( 56.6%) | loss: 1.057828 | trade:0.33 call:0.59 put:0.41 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 104s | best_wcpf: 0.373
step 05800 ( 57.1%) | loss: 1.077136 | trade:0.34 call:0.67 put:0.33 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 103s | best_wcpf: 0.373
step 05850 ( 57.6%) | loss: 1.076023 | trade:0.33 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 102s | best_wcpf: 0.373
step 05900 ( 58.2%) | loss: 1.072834 | trade:0.35 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 100s | best_wcpf: 0.373
step 05950 ( 58.7%) | loss: 1.051623 | trade:0.34 call:0.53 put:0.47 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 99s | best_wcpf: 0.373
step 06000 ( 59.3%) | loss: 1.069593 | trade:0.36 call:0.63 put:0.37 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 98s | best_wcpf: 0.373
step 06050 ( 59.7%) | loss: 1.092785 | trade:0.33 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 97s | best_wcpf: 0.373
step 06100 ( 60.3%) | loss: 1.077267 | trade:0.29 call:0.58 put:0.42 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 95s | best_wcpf: 0.373
step 06150 ( 60.8%) | loss: 1.073622 | trade:0.27 call:0.62 put:0.38 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 94s | best_wcpf: 0.373
step 06200 ( 61.4%) | loss: 1.065078 | trade:0.34 call:0.57 put:0.43 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 93s | best_wcpf: 0.373
step 06250 ( 61.9%) | loss: 1.054594 | trade:0.33 call:0.68 put:0.32 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 91s | best_wcpf: 0.373
step 06300 ( 62.2%) | loss: 1.065182 | trade:0.34 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 91s | best_wcpf: 0.373
step 06350 ( 62.5%) | loss: 1.060263 | trade:0.31 call:0.65 put:0.35 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 90s | best_wcpf: 0.373
step 06400 ( 63.0%) | loss: 1.060543 | trade:0.34 call:0.61 put:0.39 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 89s | best_wcpf: 0.373
step 06450 ( 63.5%) | loss: 1.047765 | trade:0.34 call:0.56 put:0.44 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 88s | best_wcpf: 0.373
step 06500 ( 64.1%) | loss: 1.059274 | trade:0.32 call:0.57 put:0.43 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 86s | best_wcpf: 0.373
step 06501 | NEW BEST temporal robustness: worst_chunk_pf=0.405
step 06550 ( 64.5%) | loss: 1.058505 | trade:0.37 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 85s | best_wcpf: 0.405
step 06600 ( 65.1%) | loss: 1.069518 | trade:0.38 call:0.63 put:0.37 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 84s | best_wcpf: 0.405
step 06650 ( 65.6%) | loss: 1.059922 | trade:0.36 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 83s | best_wcpf: 0.405
step 06700 ( 66.1%) | loss: 1.060655 | trade:0.35 call:0.68 put:0.32 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 81s | best_wcpf: 0.405
step 06750 ( 66.6%) | loss: 1.060980 | trade:0.36 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 80s | best_wcpf: 0.405
step 06800 ( 66.9%) | loss: 1.079831 | trade:0.33 call:0.55 put:0.45 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 79s | best_wcpf: 0.405
step 06850 ( 67.3%) | loss: 1.050979 | trade:0.33 call:0.62 put:0.38 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 78s | best_wcpf: 0.405
step 06900 ( 67.8%) | loss: 1.045748 | trade:0.34 call:0.59 put:0.41 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 77s | best_wcpf: 0.405
step 06950 ( 68.4%) | loss: 1.043826 | trade:0.28 call:0.59 put:0.41 | ATM:0.70 OTM:0.30 | lr: 1.50e-04 | left: 76s | best_wcpf: 0.405
step 07000 ( 68.9%) | loss: 1.048782 | trade:0.34 call:0.59 put:0.41 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 75s | best_wcpf: 0.405
step 07050 ( 69.4%) | loss: 1.050592 | trade:0.29 call:0.60 put:0.40 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 74s | best_wcpf: 0.405
step 07100 ( 69.9%) | loss: 1.057481 | trade:0.30 call:0.61 put:0.39 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 72s | best_wcpf: 0.405
