Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,330
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating with enhanced ETV loss weight
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, etv=0.3
EV gate scale: 10.0

step 02700 ( 25.6%) | loss: 1.994214 | trade:0.46 call:0.62 put:0.38 | ATM:0.42 OTM:0.58 | etv:+1.365 | lr: 1.50e-04 | left: 179s
step 02750 ( 26.2%) | loss: 1.978814 | trade:0.47 call:0.58 put:0.42 | ATM:0.40 OTM:0.60 | etv:+1.718 | lr: 1.50e-04 | left: 177s
step 02800 ( 26.7%) | loss: 1.995134 | trade:0.44 call:0.63 put:0.37 | ATM:0.42 OTM:0.58 | etv:+1.570 | lr: 1.50e-04 | left: 176s
step 02850 ( 27.3%) | loss: 1.977706 | trade:0.44 call:0.66 put:0.34 | ATM:0.42 OTM:0.58 | etv:+1.514 | lr: 1.50e-04 | left: 175s
step 02900 ( 27.8%) | loss: 1.953847 | trade:0.50 call:0.64 put:0.36 | ATM:0.42 OTM:0.58 | etv:+1.853 | lr: 1.50e-04 | left: 173s
step 02950 ( 28.4%) | loss: 1.928108 | trade:0.48 call:0.62 put:0.38 | ATM:0.43 OTM:0.57 | etv:+1.469 | lr: 1.50e-04 | left: 172s
step 03000 ( 28.9%) | loss: 1.944741 | trade:0.49 call:0.62 put:0.38 | ATM:0.40 OTM:0.60 | etv:+2.049 | lr: 1.50e-04 | left: 171s
step 03050 ( 29.5%) | loss: 1.912946 | trade:0.45 call:0.60 put:0.40 | ATM:0.42 OTM:0.58 | etv:+1.367 | lr: 1.50e-04 | left: 169s
step 03100 ( 30.1%) | loss: 1.910401 | trade:0.56 call:0.61 put:0.39 | ATM:0.40 OTM:0.60 | etv:+1.994 | lr: 1.50e-04 | left: 168s
step 03150 ( 30.6%) | loss: 1.893540 | trade:0.48 call:0.65 put:0.35 | ATM:0.40 OTM:0.60 | etv:+1.754 | lr: 1.50e-04 | left: 166s
step 03200 ( 31.2%) | loss: 1.913821 | trade:0.46 call:0.61 put:0.39 | ATM:0.42 OTM:0.58 | etv:+1.536 | lr: 1.50e-04 | left: 165s
step 03250 ( 31.7%) | loss: 1.908103 | trade:0.40 call:0.62 put:0.38 | ATM:0.44 OTM:0.56 | etv:+1.197 | lr: 1.50e-04 | left: 164s
step 03300 ( 32.3%) | loss: 1.882506 | trade:0.48 call:0.62 put:0.38 | ATM:0.43 OTM:0.57 | etv:+1.724 | lr: 1.50e-04 | left: 162s
step 03350 ( 32.9%) | loss: 1.887816 | trade:0.47 call:0.60 put:0.40 | ATM:0.43 OTM:0.57 | etv:+1.336 | lr: 1.50e-04 | left: 161s
step 03400 ( 33.4%) | loss: 1.853361 | trade:0.44 call:0.62 put:0.38 | ATM:0.41 OTM:0.59 | etv:+1.626 | lr: 1.50e-04 | left: 160s
step 03450 ( 34.0%) | loss: 1.845727 | trade:0.48 call:0.66 put:0.34 | ATM:0.42 OTM:0.58 | etv:+1.559 | lr: 1.50e-04 | left: 158s
step 03500 ( 34.5%) | loss: 1.854735 | trade:0.50 call:0.58 put:0.42 | ATM:0.44 OTM:0.56 | etv:+1.869 | lr: 1.50e-04 | left: 157s
step 03550 ( 35.1%) | loss: 1.860612 | trade:0.44 call:0.61 put:0.39 | ATM:0.44 OTM:0.56 | etv:+1.132 | lr: 1.50e-04 | left: 156s
