day,origin,v1_pnl,v1_n_trades,v1_direction,v1_bar,fold_idx,v0_pnl,v0_n_trades,v0_direction,v0_bar,pnl_delta,label,v0_chose,v1_chose,opening_gap_pct,session_open_dist,vwap_dist,first15_range_pct,first15_close_position,vix_roc,atm_iv,iv_percentile,realized_vol,vix_regime,sigma_pos,omar_range_pct,omar_mid_pos_units
2025-10-27,in_sample,-791.4750051504848,1,put,44,3,-791.4750051504848,1.0,put,44.0,0.0,0,True,True,0.007998657412827015,0.0008130164351314306,1.386303028994007e-05,0.001804108265787363,0.5736246109008789,0.003809523768723011,0.06038424372673035,0.0714285746216774,0.00034921348560601473,-0.33000001311302185,0.2744172513484955,0.0015822438290342689,0.013837638311088085
2025-10-28,in_sample,-1098.324994753301,1,put,50,3,-1098.324994753301,1.0,put,50.0,0.0,0,True,True,0.003380609443411231,-0.002196837915107608,-0.0009992944542318583,0.0022505964152514935,0.02388637885451317,0.017766498029232025,0.06324247270822525,0.6428571343421936,0.0002090089110424742,-0.33000001311302185,-1.9510459899902344,0.0007903967052698135,-2.279411792755127
2025-10-29,in_sample,345.57832942510646,1,put,32,3,345.57832942510646,1.0,put,32.0,0.0,0,True,True,0.0029110899195075035,0.0006969578098505735,0.0007756212144158781,0.0015067013446241617,1.0,0.00845410581678152,0.10268066078424454,0.7142857313156128,0.00020557067182380706,-0.33000001311302185,1.7450952529907227,0.0007041876669973135,1.489733099937439
2025-10-30,in_sample,-321.14698404818773,1,put,103,3,-321.14698404818773,1.0,put,103.0,0.0,0,True,True,-0.00459506968036294,-0.002110706176608801,-5.830988084198907e-05,0.0037350005004554987,0.434884637594223,0.0059630293399095535,0.12065121531486511,0.4285714328289032,0.0004893149016425014,-0.33000001311302185,-0.20768043398857117,0.0015074386028572917,-0.9001938104629517
2025-10-31,in_sample,1873.7110334001484,1,put,115,3,1873.7110334001484,1.0,put,115.0,0.0,0,True,True,0.008316684514284134,-0.0036737725604325533,-0.0015996540896594524,0.0040005892515182495,0.08169219642877579,0.021289538592100143,0.10613285005092621,0.9285714030265808,0.00028120551723986864,-0.33000001311302185,-2.3099701404571533,0.0013218577951192856,-2.279249429702759
2025-11-03,in_sample,-831.7516445452061,1,put,109,3,-831.7516445452061,1.0,put,109.0,0.0,0,True,True,0.006153301801532507,-0.004294538404792547,-0.0016498417826369405,0.004536772146821022,0.053393375128507614,0.020571429282426834,0.09293821454048157,0.7857142686843872,0.00025809535873122513,-0.33000001311302185,-1.5251644849777222,0.0014081649715080857,-2.54974102973938
2025-11-04,in_sample,1243.2127661765887,1,put,46,3,1243.2127661765887,1.0,put,46.0,0.0,0,True,True,-0.009268785826861858,0.00021355028729885817,0.001921578892506659,0.0036215181462466717,0.9459129571914673,-0.031104199588298798,0.1133708655834198,0.0,0.0006598074687644839,-0.33000001311302185,1.8071740865707397,0.002304870169609785,0.5926517844200134
2025-11-05,in_sample,-1158.679997332096,1,put,95,3,-1158.679997332096,1.0,put,95.0,0.0,0,True,True,-0.0003883409081026912,-0.0005941691342741251,-0.0006048008217476308,0.001608099672012031,0.24264705181121826,-0.003144653979688883,0.11072050780057907,0.5714285969734192,0.0004609766765497625,-0.33000001311302185,-1.8414208889007568,0.0007966596749611199,-0.845083475112915
2025-11-06,in_sample,1606.7984553858637,1,put,52,3,1606.7984553858637,1.0,put,52.0,0.0,0,True,True,-0.0012301444076001644,-0.0010057854233309627,-0.0010336783016100526,0.0027002831920981407,0.131075918674469,0.018121911212801933,0.10628439486026764,0.7857142686843872,0.0005175608093850315,-0.33000001311302185,-1.6413277387619019,0.000752126972656697,-0.9941176176071167
2025-11-07,in_sample,-589.3807343905065,1,put,57,3,-589.3807343905065,1.0,put,57.0,0.0,0,True,True,-0.00379962264560163,-0.0035353589337319136,-0.0005776977632194757,0.005125446245074272,0.3102339208126068,0.010019083507359028,0.1384357213973999,0.1428571492433548,0.0006902157329022884,0.33000001311302185,-0.45862436294555664,0.0018148875096812844,-1.44797682762146
