fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held
2,2025-09-03,35,165,put,-323.50002818194486,model,130
2,2025-09-04,32,45,put,459.2749767530305,model,13
2,2025-09-05,38,39,put,-41.74996091167513,model,1
2,2025-09-08,34,90,put,-720.2250094329529,model,56
2,2025-09-09,33,140,put,-275.24998196902186,model,107
2,2025-09-10,36,43,put,-119.50001991655805,model,7
3,2025-09-11,63,105,put,-310.65001929402354,model,42
3,2025-09-12,32,155,put,97.17496168368791,model,123
3,2025-09-15,39,125,put,-307.49999962188303,model,86
3,2025-09-16,56,140,put,184.24999499326552,model,84
3,2025-09-17,99,100,put,44.899982037395226,model,1
3,2025-09-18,31,106,put,-651.6000390349275,model,75
3,2025-09-19,30,112,put,612.2750392707816,model,82
3,2025-09-22,39,155,put,-675.4999996369697,model,116
3,2025-09-23,51,90,put,218.49996197306447,model,39
3,2025-09-24,78,215,put,2045.5000572390857,model,137
3,2025-09-25,69,100,put,698.8000572773865,model,31
3,2025-09-26,108,173,put,-676.5500003570081,model,65
3,2025-09-29,33,36,put,-228.75003019000408,model,3
3,2025-09-30,31,135,put,289.2750170769385,model,104
3,2025-10-01,32,205,put,-1107.9999943921964,model,173
3,2025-10-02,35,220,put,378.49996548033414,model,185
3,2025-10-03,34,110,put,-751.2499803900719,model,76
3,2025-10-06,31,33,put,-22.625019648509447,model,2
3,2025-10-07,38,145,put,3657.3249051949374,model,107
3,2025-10-08,69,143,put,-648.499970816493,model,74
3,2025-10-09,35,135,put,606.8249990474433,model,100
3,2025-10-10,63,102,put,5106.900152859836,model,39
3,2025-10-13,48,195,put,-809.0249443660783,model,147
3,2025-10-14,87,130,put,-299.4999425210221,model,43
3,2025-10-15,77,230,put,7913.415403649632,model,153
3,2025-10-16,62,120,put,867.1500761702908,model,58
3,2025-10-17,59,115,put,899.4750005801,model,56
3,2025-10-20,52,105,put,-477.72504850922905,model,53
3,2025-10-21,72,139,put,-512.1999619993927,model,67
3,2025-10-22,35,202,put,2834.875080187316,model,167
3,2025-10-23,33,135,put,226.79995109654863,model,102
3,2025-10-24,41,107,put,-249.50003691685546,model,66
3,2025-10-27,44,101,put,85.74998126343868,model,57
3,2025-10-28,50,125,put,243.90003498395936,model,75
3,2025-10-29,32,105,put,375.75003832230425,model,73
3,2025-10-30,103,150,put,944.449962971973,model,47
3,2025-10-31,115,131,put,680.4749824792146,model,16
3,2025-11-03,109,120,put,144.55005707362943,model,11
3,2025-11-04,46,140,put,338.2499628671498,model,94
3,2025-11-05,95,110,put,527.3749249272802,model,15
3,2025-11-06,52,115,put,2845.1000037475496,model,63
3,2025-11-07,57,105,put,1729.675057024257,model,48
3,2025-11-10,41,152,put,1075.249979815809,model,111
3,2025-11-11,32,106,put,274.55007792359766,model,74
3,2025-11-12,37,115,put,858.0499697131052,model,78
3,2025-11-13,52,115,put,2799.3749574454305,model,63
3,2025-11-14,101,106,put,-205.3999663072011,model,5
3,2025-11-17,77,115,put,1455.9999812508665,model,38
3,2025-11-18,112,185,put,-131.50000545420806,model,73
3,2025-11-19,50,130,put,3377.7100991628877,model,80
3,2025-11-20,75,150,put,11866.100041722506,model,75
3,2025-11-21,107,110,put,-143.02496550905295,model,3
3,2025-11-24,91,130,put,-496.000037751085,model,39
3,2025-11-25,73,144,put,-878.2499707467725,model,71
3,2025-11-26,84,134,put,-955.250015224887,model,50
3,2025-11-28,35,121,put,-824.2499623647069,model,86
3,2025-12-01,109,191,put,-916.375009206084,model,82
3,2025-12-02,33,260,put,911.7250629053676,model,227
3,2025-12-03,60,105,put,-397.75003889699775,model,45
3,2025-12-04,85,135,put,-90.00005730493561,model,50
4,2025-12-05,53,140,put,1704.5500764127821,model,87
4,2025-12-08,34,195,put,1893.1899853067846,model,161
4,2025-12-09,38,100,put,-557.24997067664,model,62
4,2025-12-10,38,100,put,211.70000777984492,model,62
4,2025-12-11,63,134,put,-370.3749720946916,model,71
4,2025-12-12,31,185,put,4359.44990690622,model,154
4,2025-12-15,117,205,put,1553.8650042623963,model,88
4,2025-12-16,101,135,put,87.40000052005053,model,34
4,2025-12-17,53,165,put,3870.730046134889,model,112
4,2025-12-18,39,106,put,-961.8500442759193,model,67
4,2025-12-19,74,140,put,-358.2500085195349,model,66
4,2025-12-22,37,146,put,-906.3749714164624,model,109
4,2025-12-23,85,172,put,-726.4999986643039,model,87
4,2025-12-24,36,100,put,-794.1250017699621,model,64
4,2025-12-26,119,195,put,422.10000098273156,model,76
4,2025-12-29,31,190,put,697.8499850872053,model,159
4,2025-12-30,34,165,put,242.09998174262972,model,131
4,2025-12-31,39,215,put,134.15003846064212,model,176
4,2026-01-02,33,160,put,4475.150095830113,model,127
4,2026-01-05,38,110,put,-776.5000202765071,model,72
4,2026-01-06,32,174,put,-357.2499232290408,model,142
4,2026-01-07,100,130,put,-191.25000017136335,model,30
4,2026-01-08,56,165,put,-159.49998149187422,model,109
4,2026-01-09,35,100,put,-1032.2250052376492,model,65
4,2026-01-12,61,135,put,-765.5000089400488,model,74
4,2026-01-13,82,120,put,-329.0000280357353,model,38
4,2026-01-14,72,210,put,781.0500186802421,model,138
4,2026-01-15,38,105,put,-609.5000289682876,model,67
4,2026-01-16,109,210,put,-146.82496275456265,model,101
4,2026-01-20,75,86,put,506.24999422067253,model,11
4,2026-01-21,39,112,put,-812.0000101333093,model,73
4,2026-01-22,71,111,put,-534.8000387336958,model,40
4,2026-01-23,38,125,put,-672.3749825491988,model,87
4,2026-01-26,36,110,put,-223.87501912359514,model,74
4,2026-01-27,32,177,put,-677.2499997970239,model,145
4,2026-01-28,30,200,put,823.2049689476896,model,170
4,2026-01-29,55,99,put,2572.900040564629,model,44
4,2026-01-30,48,131,put,394.9250008304977,model,83
4,2026-02-02,33,79,put,-749.1250504169731,model,46
4,2026-02-03,85,215,put,4069.8501916050523,model,130
4,2026-02-04,117,200,put,3871.805010557073,model,83
4,2026-02-05,81,105,put,-180.0000040675377,model,24
4,2026-02-06,69,120,put,-694.6250290115148,model,51
4,2026-02-09,58,210,put,-902.8749953309693,model,152
4,2026-02-10,30,155,put,1.5750003156261414,model,125
4,2026-02-11,109,133,put,-139.99996260324343,model,24
4,2026-02-12,58,128,put,6712.774822845707,model,70
4,2026-02-13,88,115,put,-73.37505620603687,model,27
4,2026-02-17,96,141,put,-633.7499426482756,model,45
4,2026-02-18,68,150,put,-195.99994308348735,model,82
4,2026-02-19,96,105,put,-475.62500267049614,model,9
4,2026-02-20,69,120,put,120.62500417621054,model,51
4,2026-02-23,53,105,put,2263.0749093994395,model,52
4,2026-02-24,82,140,put,-386.1250192070449,model,58
4,2026-02-25,48,85,put,25.249981428878222,model,37
4,2026-02-26,38,180,put,1236.975046943425,model,142
4,2026-02-27,69,102,put,-94.25003870854438,model,33
4,2026-03-02,87,125,put,-144.75000159931392,model,38
4,2026-03-03,97,111,put,-461.24998102819217,model,14
4,2026-03-04,86,115,put,40.800022078664156,model,29
