member,feature,horizon_minutes,sign,n_sessions,measured_raw_ic,excess_wild,excess_wild_se,excess_wild_maxT_p,excess_block,excess_block_p,sign_stable_folds,nulls_agree,status,control_excess,control_maxT_p,fold0_mean_excess,fold1_mean_excess,fold2_mean_excess,fold3_mean_excess,fold4_mean_excess
spx_vwap_gap_points|30m|-,spx_vwap_gap_points,30,-,213,0.3741632021323045,0.026351736970160803,0.014555542943412453,0.49242537873106346,0.03688220414567058,0.005487398343170477,5,True,NO_EXCESS,-0.011592097426123636,1.0,0.015051518132892697,0.09473091974647306,0.0012944018190145234,0.033344441004743146,0.0013054953343885993
momentum_15m_over_session_range|30m|-,momentum_15m_over_session_range,30,-,213,0.08794689882335266,0.017142956994421456,0.013007968651035743,0.8290585470726464,-0.004809983955370477,0.66379088329628,4,False,NO_EXCESS,-0.001722656616362281,1.0,0.0130677242494164,0.06520302745633984,0.005875135161492394,0.03996589598762312,-0.02372666296972581
momentum_15m_bps|30m|-,momentum_15m_bps,30,-,213,0.10435836510965733,0.016251591696149686,0.012655453620754714,0.8493075346232688,-0.007775835333927702,0.7589413823151794,4,False,NO_EXCESS,-0.0037931322110396895,1.0,0.013140766836907373,0.060787498741065024,0.0017541331498909447,0.03870945943911885,-0.018949659465011696
minute_of_session|60m|-,minute_of_session,60,-,213,0.03777023993001249,0.03787277120908088,0.030500594029721054,0.8728063596820159,0.03896901186872886,0.10420268284549712,5,False,NO_EXCESS,-0.0013059955662556343,1.0,0.004514269787747569,0.1023670409646759,0.1316901708061211,0.03823951033603922,0.04479996918571451
minute_of_session|30m|-,minute_of_session,30,-,213,0.024544507613218837,0.02448598148666017,0.02242523760137449,0.936003199840008,0.025585114336522417,0.1302282242046232,4,False,NO_EXCESS,-0.005690094770388449,1.0,-0.04774826931546483,0.05524272563606681,0.1085303103590616,0.04774361560579174,0.04691624025788375
spx_vwap_gap_over_session_range|30m|-,spx_vwap_gap_over_session_range,30,-,213,0.2867205725650647,0.016352548300947133,0.015328497920359981,0.9441027948602569,0.016827799460629695,0.1323829204988553,2,False,NO_EXCESS,-0.011330818519214353,1.0,-0.025802614222738898,0.10362495324248946,-0.01959830679639808,0.020308865523606,-0.0116588918344785
minute_of_session|15m|-,minute_of_session,15,-,213,0.016130897815983238,0.015852970918905918,0.015247808925862824,0.9507524623768812,0.017430564516911624,0.12943704402938822,4,False,NO_EXCESS,-0.003985717032152586,1.0,-0.03946538272029104,0.02440051736663639,0.050525116082420655,0.04908082957182337,0.03824043492227963
session_range_bps|15m|+,session_range_bps,15,+,213,0.1287710589420076,0.01582809228050531,0.018154141389187396,0.9857507124643767,0.03412196378572224,0.03133572266153005,1,True,NO_EXCESS,-0.003796747836947154,1.0,0.06474298783884024,-0.0010313005917990884,-0.010365686592104226,-0.012608669724731,-0.019083479857324313
spx_vwap_gap_over_session_range|60m|-,spx_vwap_gap_over_session_range,60,-,213,0.3637263649476061,0.011144061586084318,0.017771419646334205,0.99930003499825,0.019459804383858362,0.13733280039322698,3,False,NO_EXCESS,-0.026853614027082803,1.0,-0.035957937652264016,0.07047448935726833,-0.03457062888795004,0.014904991498663448,0.0006104842830125868
session_range_bps|30m|+,session_range_bps,30,+,213,0.13420684847172668,0.01289163657400341,0.02473642154726974,0.999950002499875,0.037843283124620604,0.06389932997622211,1,False,NO_EXCESS,-0.0018382701743283629,1.0,0.0691476597702687,-0.018421329704437054,-0.051547191422133064,-0.010039451525592323,-0.026162651867078678
session_range_bps|60m|+,session_range_bps,60,+,213,0.12669666417751604,0.003722529714719089,0.03202151959132247,1.0,0.03429935524229928,0.14343883443306177,2,False,NO_EXCESS,-0.006504443207816983,1.0,0.02807160242402026,-0.059449541262480886,-0.08912774467842212,0.0083383538680296,-0.038615250566770315
momentum_5m_bps|60m|-,momentum_5m_bps,60,-,213,0.08605389981968549,0.0032002314703954747,0.007396552058517327,1.0,-0.013370334626608592,0.9722379696987862,1,False,NO_EXCESS,-0.013519868278240645,1.0,-0.011153390165947045,0.01965795192709032,-0.0056546161448530075,-0.001646944158594108,-0.014898538843678656
