date,bar_of_day,global_bar_idx,spot_price,vix_regime,minutes_to_close,no_trade_score,best_contract_score,score_delta,top_5_scores,top_5_strikes,top_5_rights,n_valid_contracts,decision,skip_reason,selected_strike,selected_right,selected_mid,selected_contract_idx,oracle_contract_idx,oracle_strike,oracle_right,oracle_pnl,label_quality,bar_is_labelable,model_pnl,delta_pnl,exit_reason,bars_held
2026-02-25,62,372842,6929.5498046875,-0.33000001311302185,328,2.125575542449951,1.926499605178833,-0.19907593727111816,1.9265;1.8684;1.7351;1.7157;1.7051,6925;6920;6910;6930;6915,P;P;P;P;P,44,no_trade,gate,0.0,,0.0,-1,164,6930.0,P,0.253303587436676,0.010303601622581482,True,nan,nan,,0
2026-02-25,63,372843,6926.83984375,-0.33000001311302185,327,1.963692545890808,1.9492496252059937,-0.014442920684814453,1.9492;1.7575;1.7453;1.7313;1.6438,6910;6920;6925;6915;6930,P;P;P;P;C,47,no_trade,gate,0.0,,0.0,-1,167,6940.0,C,-0.059999980032444,0.03270275145769119,True,nan,nan,,0
2026-02-25,64,372844,6920.64990234375,-0.33000001311302185,326,2.1213364601135254,1.9203177690505981,-0.20101869106292725,1.9203;1.8310;1.7699;1.7532;1.7374,6920;6930;6910;6935;6925,P;C;P;C;C,46,no_trade,gate,0.0,,0.0,-1,159,6920.0,C,-0.01990654319524765,0.018820729106664658,True,nan,nan,,0
2026-02-25,65,372845,6919.72998046875,-0.33000001311302185,325,1.9157371520996094,2.2930357456207275,0.37729859352111816,2.2930;2.2911;2.2450;2.2433;2.1602,6925;6930;6935;6940;6945,C;C;C;C;C,47,no_trade,gate,0.0,,0.0,-1,159,6920.0,C,-0.019722221419215202,0.017001913860440254,True,nan,nan,,0
2026-02-25,66,372846,6920.81982421875,-0.33000001311302185,324,2.243084192276001,2.1505863666534424,-0.0924978256225586,2.1506;2.1032;2.0984;2.0883;2.0108,6925;6930;6935;6940;6950,C;C;C;C;C,45,no_trade,gate,0.0,,0.0,-1,159,6920.0,C,-0.019017856568098068,0.01770627871155739,True,nan,nan,,0
2026-02-25,67,372847,6921.6298828125,-0.33000001311302185,323,2.007157802581787,2.0806500911712646,0.07349228858947754,2.0807;2.0291;1.9941;1.9521;1.9255,6940;6930;6925;6935;6945,C;C;C;C;C,45,trade,,6940.0,C,2.4000000953674316,167,159,6920.0,C,-0.01918918825685978,0.018179232254624367,True,-0.33319143389403294,-0.31400224563717316,STOP_LOSS,17
2026-02-25,68,372848,6921.330078125,-0.33000001311302185,322,1.8148229122161865,2.4336023330688477,0.6187794208526611,2.4336;2.3643;2.3422;2.3125;2.1754,6930;6925;6935;6940;6945,C;C;C;C;C,46,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.6083170175552368,0.39927855134010315,True,nan,nan,,0
2026-02-25,69,372849,6920.22998046875,-0.33000001311302185,321,2.080634355545044,2.085390567779541,0.00475621223449707,2.0854;1.9814;1.9793;1.9188;1.8371,6925;6940;6935;6945;6930,C;C;C;C;C,44,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.48205888271331787,0.008855074644088745,True,nan,nan,,0
2026-02-25,70,372850,6920.169921875,-0.33000001311302185,320,2.055385112762451,1.8826143741607666,-0.17277073860168457,1.8826;1.8003;1.7961;1.7926;1.6034,6925;6940;6935;6930;6945,C;C;C;C;C,42,no_trade,in_position,0.0,,0.0,-1,163,6930.0,C,0.3178948163986206,0.017354339361190796,True,nan,nan,,0
2026-02-25,71,372851,6921.330078125,-0.33000001311302185,319,2.471299171447754,2.0784904956817627,-0.3928086757659912,2.0785;1.9893;1.9874;1.9617;1.7858,6935;6930;6925;6940;6950,C;C;C;C;C,42,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.38025420904159546,0.03557679057121277,True,nan,nan,,0
2026-02-25,72,372852,6923.68017578125,-0.33000001311302185,318,2.34334135055542,2.07194447517395,-0.2713968753814697,2.0719;2.0574;1.9966;1.9615;1.8750,6930;6935;6940;6925;6945,C;C;C;C;C,42,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.5327193737030029,0.8212299942970276,True,nan,nan,,0
2026-02-25,73,372853,6922.919921875,-0.33000001311302185,317,2.4563803672790527,1.8695003986358643,-0.5868799686431885,1.8695;1.8203;1.8133;1.7754;1.6266,6930;6935;6925;6940;6950,C;C;C;C;C,41,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,-0.019722221419215202,0.25490739941596985,True,nan,nan,,0
2026-02-25,74,372854,6921.7001953125,-0.33000001311302185,316,2.0969583988189697,1.9281975030899048,-0.16876089572906494,1.9282;1.9205;1.9141;1.8484;1.7734,6925;6930;6940;6935;6920,C;C;C;C;P,43,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,-0.018849557265639305,0.01851886324584484,True,nan,nan,,0
2026-02-25,75,372855,6923.0400390625,-0.33000001311302185,315,2.379931926727295,1.5450403690338135,-0.8348915576934814,1.5450;1.5175;1.5150;1.4554;1.3960,6935;6920;6940;6930;6945,C;P;C;C;C,36,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.42905986309051514,0.4645598530769348,True,nan,nan,,0
2026-02-25,76,372856,6923.81005859375,-0.33000001311302185,314,1.9794001579284668,2.1127920150756836,0.1333918571472168,2.1128;2.0743;2.0393;2.0261;1.9635,6940;6930;6935;6925;6945,C;C;C;C;C,39,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,-0.019363636150956154,0.25572726130485535,True,nan,nan,,0
2026-02-25,77,372857,6922.490234375,-0.33000001311302185,313,2.3100392818450928,1.5566309690475464,-0.7534083127975464,1.5566;1.3594;1.3555;1.3485;1.3273,6920;6925;6915;6900;6910,P;P;P;P;P,36,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,-0.019722221419215202,0.019005050882697105,True,nan,nan,,0
2026-02-25,78,372858,6922.669921875,-0.33000001311302185,312,2.4276719093322754,1.6573582887649536,-0.7703136205673218,1.6574;1.5092;1.4720;1.4465;1.4402,6920;6940;6930;6935;6900,P;C;C;C;P,39,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.5749261975288391,0.3679565191268921,True,nan,nan,,0
2026-02-25,79,372859,6921.7001953125,-0.33000001311302185,311,2.3230857849121094,1.9323641061782837,-0.3907216787338257,1.9324;1.8660;1.8298;1.8009;1.7013,6930;6940;6925;6935;6945,C;C;C;C;C,42,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.49076464772224426,0.01130521297454834,True,nan,nan,,0
2026-02-25,80,372860,6921.56005859375,-0.33000001311302185,310,2.757436513900757,1.7859911918640137,-0.9714453220367432,1.7860;1.6765;1.6513;1.6242;1.5879,6920;6910;6915;6930;6940,P;P;P;C;C,42,no_trade,in_position,0.0,,0.0,-1,163,6930.0,C,0.3216666579246521,0.011095196008682251,True,nan,nan,,0
2026-02-25,81,372861,6923.509765625,-0.33000001311302185,309,2.6520731449127197,1.774374008178711,-0.8776991367340088,1.7744;1.7481;1.7366;1.6870;1.5822,6930;6940;6935;6925;6950,C;C;C;C;C,39,no_trade,in_position,0.0,,0.0,-1,159,6920.0,C,0.6619387269020081,0.45631372928619385,True,nan,nan,,0
2026-02-25,82,372862,6921.06005859375,-0.33000001311302185,308,2.2367470264434814,1.651735544204712,-0.5850114822387695,1.6517;1.6365;1.5870;1.5473;1.5370,6925;6930;6920;6935;6940,C;C;P;C;C,37,no_trade,in_position,0.0,,0.0,-1,163,6930.0,C,0.48659586906433105,0.007595926523208618,True,nan,nan,,0
2026-02-25,83,372863,6920.5,-0.33000001311302185,307,2.084477186203003,1.5598781108856201,-0.5245990753173828,1.5599;1.5386;1.5319;1.4632;1.4355,6930;6920;6925;6940;6935,C;P;C;C;C,36,no_trade,in_position,0.0,,0.0,-1,167,6940.0,C,0.47828567028045654,0.018285661935806274,True,nan,nan,,0
2026-02-25,84,372864,6921.1201171875,-0.33000001311302185,306,2.255847215652466,2.0880074501037598,-0.16783976554870605,2.0880;2.0396;2.0293;1.9987;1.8677,6925;6940;6930;6935;6950,C;C;C;C;C,41,no_trade,in_position,0.0,,0.0,-1,165,6935.0,C,0.754800021648407,0.02238631248474121,True,nan,nan,,0
