Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 146,265
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + chunk consistency buffer for temporal robustness
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, temporal=0.1
Score tuning: R:R bonus=0.3, hold bonus=0.25, freq center=2.5, drawdown penalty=0.05

step 02600 ( 28.2%) | loss: 0.655372 | consistency: 0.0000 | trade:0.42 call:0.52 put:0.48 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 172s
step 02650 ( 28.7%) | loss: 0.647828 | consistency: 0.0000 | trade:0.43 call:0.61 put:0.39 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 171s
step 02700 ( 29.2%) | loss: 0.658982 | consistency: 0.0000 | trade:0.41 call:0.58 put:0.42 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 170s
step 02750 ( 29.8%) | loss: 0.647615 | consistency: 0.0000 | trade:0.44 call:0.54 put:0.46 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 169s
step 02800 ( 30.3%) | loss: 0.632484 | consistency: 0.0000 | trade:0.42 call:0.59 put:0.41 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 167s
step 02850 ( 30.8%) | loss: 0.643934 | consistency: 0.0000 | trade:0.39 call:0.59 put:0.41 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 166s
step 02900 ( 31.4%) | loss: 0.601641 | consistency: 0.0000 | trade:0.45 call:0.59 put:0.41 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 165s
step 02950 ( 31.9%) | loss: 0.632651 | consistency: 0.0000 | trade:0.40 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 163s
step 03000 ( 32.5%) | loss: 0.594886 | consistency: 0.0000 | trade:0.46 call:0.59 put:0.41 | ATM:0.46 OTM:0.54 | lr: 1.50e-04 | left: 162s
step 03050 ( 33.0%) | loss: 0.658548 | consistency: 0.0000 | trade:0.43 call:0.55 put:0.45 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 161s
step 03100 ( 33.6%) | loss: 0.599322 | consistency: 0.0000 | trade:0.47 call:0.58 put:0.42 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 159s
step 03150 ( 34.1%) | loss: 0.625582 | consistency: 0.0000 | trade:0.43 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 158s
step 03200 ( 34.7%) | loss: 0.621596 | consistency: 0.0000 | trade:0.41 call:0.55 put:0.45 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 157s
step 03250 ( 35.2%) | loss: 0.603408 | consistency: 0.0000 | trade:0.40 call:0.56 put:0.44 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 155s
step 03300 ( 35.8%) | loss: 0.612800 | consistency: 0.0000 | trade:0.42 call:0.60 put:0.40 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 154s
step 03350 ( 36.3%) | loss: 0.613573 | consistency: 0.0000 | trade:0.44 call:0.57 put:0.43 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 153s
step 03400 ( 36.9%) | loss: 0.638940 | consistency: 0.0000 | trade:0.44 call:0.60 put:0.40 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 152s
step 03450 ( 37.4%) | loss: 0.600666 | consistency: 0.0000 | trade:0.44 call:0.60 put:0.40 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 150s
step 03500 ( 37.9%) | loss: 0.610995 | consistency: 0.0000 | trade:0.42 call:0.54 put:0.46 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 149s
step 03550 ( 38.5%) | loss: 0.598464 | consistency: 0.0000 | trade:0.38 call:0.57 put:0.43 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 148s
step 03600 ( 39.0%) | loss: 0.615677 | consistency: 0.0000 | trade:0.46 call:0.56 put:0.44 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 146s
step 03650 ( 39.6%) | loss: 0.593145 | consistency: 0.0000 | trade:0.43 call:0.56 put:0.44 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 145s
step 03700 ( 40.1%) | loss: 0.619732 | consistency: 0.0000 | trade:0.42 call:0.61 put:0.39 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 144s
step 03750 ( 40.7%) | loss: 0.632964 | consistency: 0.0000 | trade:0.33 call:0.69 put:0.31 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 142s
step 03800 ( 41.2%) | loss: 0.601009 | consistency: 0.0000 | trade:0.43 call:0.50 put:0.50 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 141s
step 03850 ( 41.8%) | loss: 0.589595 | consistency: 0.0000 | trade:0.44 call:0.58 put:0.42 | ATM:0.47 OTM:0.53 | lr: 1.50e-04 | left: 140s
step 03900 ( 42.3%) | loss: 0.598343 | consistency: 0.0000 | trade:0.44 call:0.55 put:0.45 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 138s
step 03950 ( 42.9%) | loss: 0.604574 | consistency: 0.0000 | trade:0.38 call:0.56 put:0.44 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 137s
step 04000 ( 43.4%) | loss: 0.604300 | consistency: 0.0000 | trade:0.45 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 136s
step 04050 ( 44.0%) | loss: 0.619677 | consistency: 0.0000 | trade:0.41 call:0.56 put:0.44 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 134s
step 04100 ( 44.5%) | loss: 0.602112 | consistency: 0.0000 | trade:0.38 call:0.57 put:0.43 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 133s
step 04150 ( 45.1%) | loss: 0.587467 | consistency: 0.0000 | trade:0.45 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 132s
step 04200 ( 45.6%) | loss: 0.589561 | consistency: 0.0000 | trade:0.39 call:0.59 put:0.41 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 130s
step 04250 ( 46.2%) | loss: 0.587495 | consistency: 0.0000 | trade:0.44 call:0.56 put:0.44 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 129s
step 04300 ( 46.7%) | loss: 0.603322 | consistency: 0.0000 | trade:0.45 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 128s
step 04350 ( 47.3%) | loss: 0.601514 | consistency: 0.0000 | trade:0.44 call:0.58 put:0.42 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 127s
step 04400 ( 47.8%) | loss: 0.594476 | consistency: 0.0000 | trade:0.38 call:0.61 put:0.39 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 125s
step 04450 ( 48.3%) | loss: 0.579383 | consistency: 0.0000 | trade:0.43 call:0.57 put:0.43 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 124s
step 04500 ( 48.9%) | loss: 0.606141 | consistency: 0.0000 | trade:0.47 call:0.60 put:0.40 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 123s
step 04550 ( 49.4%) | loss: 0.585510 | consistency: 0.0000 | trade:0.39 call:0.55 put:0.45 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 121s
step 04600 ( 50.0%) | loss: 0.561171 | consistency: 0.0000 | trade:0.45 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 120s
step 04650 ( 50.5%) | loss: 0.591203 | consistency: 0.0000 | trade:0.45 call:0.54 put:0.46 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 119s
step 04700 ( 51.1%) | loss: 0.609553 | consistency: 0.0000 | trade:0.47 call:0.55 put:0.45 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 117s
step 04750 ( 51.6%) | loss: 0.569094 | consistency: 0.0000 | trade:0.43 call:0.53 put:0.47 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 116s
step 04800 ( 52.1%) | loss: 0.592245 | consistency: 0.0000 | trade:0.48 call:0.54 put:0.46 | ATM:0.48 OTM:0.52 | lr: 1.50e-04 | left: 115s
step 04850 ( 52.7%) | loss: 0.570469 | consistency: 0.0000 | trade:0.45 call:0.53 put:0.47 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 114s
step 04900 ( 53.2%) | loss: 0.613020 | consistency: 0.0000 | trade:0.41 call:0.59 put:0.41 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 112s
step 04950 ( 53.8%) | loss: 0.582394 | consistency: 0.0000 | trade:0.39 call:0.55 put:0.45 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 111s
step 05000 ( 54.3%) | loss: 0.593610 | consistency: 0.0000 | trade:0.40 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 110s
step 05050 ( 54.9%) | loss: 0.573954 | consistency: 0.0000 | trade:0.42 call:0.60 put:0.40 | ATM:0.50 OTM:0.50 | lr: 1.50e-04 | left: 108s
step 05100 ( 55.4%) | loss: 0.602582 | consistency: 0.0000 | trade:0.39 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 107s
step 05150 ( 56.0%) | loss: 0.567132 | consistency: 0.0000 | trade:0.44 call:0.57 put:0.43 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 106s
step 05200 ( 56.5%) | loss: 0.579761 | consistency: 0.0000 | trade:0.43 call:0.56 put:0.44 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 104s
step 05250 ( 57.1%) | loss: 0.565507 | consistency: 0.0000 | trade:0.41 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 103s
step 05300 ( 57.6%) | loss: 0.584594 | consistency: 0.0000 | trade:0.41 call:0.59 put:0.41 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 102s
step 05350 ( 58.2%) | loss: 0.590979 | consistency: 0.0000 | trade:0.40 call:0.59 put:0.41 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 100s
step 05400 ( 58.7%) | loss: 0.594681 | consistency: 0.0000 | trade:0.45 call:0.53 put:0.47 | ATM:0.42 OTM:0.58 | lr: 1.50e-04 | left: 99s
step 05450 ( 59.2%) | loss: 0.564838 | consistency: 0.0000 | trade:0.44 call:0.49 put:0.51 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 98s
step 05500 ( 59.8%) | loss: 0.546974 | consistency: 0.0000 | trade:0.43 call:0.54 put:0.46 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 96s
step 05550 ( 60.3%) | loss: 0.596485 | consistency: 0.0000 | trade:0.45 call:0.55 put:0.45 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 95s
step 05600 ( 60.9%) | loss: 0.568843 | consistency: 0.0000 | trade:0.45 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 94s
step 05650 ( 61.4%) | loss: 0.568825 | consistency: 0.0000 | trade:0.38 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 93s
step 05700 ( 62.0%) | loss: 0.589418 | consistency: 0.0000 | trade:0.47 call:0.63 put:0.37 | ATM:0.49 OTM:0.51 | lr: 1.50e-04 | left: 91s
step 05750 ( 62.5%) | loss: 0.555884 | consistency: 0.0000 | trade:0.44 call:0.58 put:0.42 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | left: 90s
step 05800 ( 63.1%) | loss: 0.581938 | consistency: 0.0000 | trade:0.41 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 89s
step 05850 ( 63.6%) | loss: 0.564129 | consistency: 0.0000 | trade:0.44 call:0.60 put:0.40 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 87s
step 05900 ( 64.2%) | loss: 0.572318 | consistency: 0.0000 | trade:0.46 call:0.58 put:0.42 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | left: 86s
step 05950 ( 64.6%) | loss: 0.576180 | consistency: 0.0000 | trade:0.37 call:0.53 put:0.47 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 85s
step 06000 ( 65.2%) | loss: 0.555739 | consistency: 0.0000 | trade:0.40 call:0.59 put:0.41 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 84s
step 06050 ( 65.7%) | loss: 0.590152 | consistency: 0.0000 | trade:0.41 call:0.54 put:0.46 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 82s
step 06100 ( 66.3%) | loss: 0.551660 | consistency: 0.0000 | trade:0.39 call:0.55 put:0.45 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 81s
step 06150 ( 66.8%) | loss: 0.572000 | consistency: 0.0000 | trade:0.43 call:0.57 put:0.43 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 80s
step 06200 ( 67.3%) | loss: 0.570168 | consistency: 0.0000 | trade:0.42 call:0.51 put:0.49 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | left: 78s
step 06250 ( 67.9%) | loss: 0.565555 | consistency: 0.0000 | trade:0.41 call:0.60 put:0.40 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 77s
step 06300 ( 68.4%) | loss: 0.560561 | consistency: 0.0000 | trade:0.42 call:0.55 put:0.45 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 76s
step 06350 ( 69.0%) | loss: 0.568175 | consistency: 0.0000 | trade:0.38 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 74s
step 06400 ( 69.5%) | loss: 0.561626 | consistency: 0.0000 | trade:0.41 call:0.58 put:0.42 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 73s
step 06450 ( 70.1%) | loss: 0.566235 | consistency: 0.0000 | trade:0.40 call:0.52 put:0.48 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 72s
