member,feature,horizon_minutes,sign,n_sessions,mean_ic,se,ci_low,ci_high,p_one_sided,maxT_p_one_sided,sign_stable_folds,control_mean_ic,control_maxT_p_one_sided,fold0_mean_ic,fold1_mean_ic,fold2_mean_ic,fold3_mean_ic,fold4_mean_ic
spx_vwap_gap_over_session_range|30m|-,spx_vwap_gap_over_session_range,30,-,213,0.2867205725650647,0.01562732414727424,0.2559157253453863,0.31752541978474313,5.892191124280416e-46,4.999750012499375e-05,5,0.0022951592963793084,1.0,0.2457662877104354,0.3784482631380807,0.2474825210415066,0.29002984349322103,0.25614788789434034
spx_vwap_gap_over_session_range|15m|-,spx_vwap_gap_over_session_range,15,-,213,0.2258193907746423,0.012082540250326495,0.2020020818784265,0.2496366996708581,5.193305738320367e-47,4.999750012499375e-05,5,0.0029276573090721556,0.9996500174991251,0.1922408821661658,0.28340760687798955,0.2234820008994164,0.22932200316670404,0.20954346888517597
session_range_bps|30m|+,session_range_bps,30,+,213,0.1342068484717267,0.02618197104691839,0.08259650172205349,0.18581719522139992,3.328019120159073e-07,4.999750012499375e-05,5,-0.0012698928289413998,1.0,0.19387669984962422,0.1043985172429995,0.07397250820577062,0.11593265139013362,0.08825704868026003
momentum_15m_bps|60m|-,momentum_15m_bps,60,-,213,0.13029390973736274,0.012063520747016426,0.10651409240964194,0.15407372706508354,2.9908489916432594e-22,4.999750012499375e-05,5,-0.002231454736823678,1.0,0.10735081309730983,0.16777061504669305,0.08946234405194128,0.12976648626057513,0.10525909272788642
session_range_bps|15m|+,session_range_bps,15,+,213,0.1287710589420076,0.019493304633575532,0.09034552521756109,0.16719659266645412,1.5669148742988102e-10,4.999750012499375e-05,5,0.0037879093844270123,0.9951502424878756,0.18181879138650042,0.11338390551944282,0.10476080314948007,0.10454087516654831,0.08808126559355825
momentum_15m_over_session_range|60m|-,momentum_15m_over_session_range,60,-,213,0.10945073053807153,0.012650589663282074,0.08451367297507091,0.13438778810107216,6.351923665537435e-16,4.999750012499375e-05,5,-0.002251644607281553,1.0,0.0788684127819002,0.14956694251067185,0.06956967031243155,0.10993498782621972,0.08089198546151988
momentum_15m_bps|30m|-,momentum_15m_bps,30,-,213,0.10435836510965735,0.01269924840013054,0.07932539061677203,0.12939133960254265,1.022548305533678e-14,4.999750012499375e-05,5,0.002801746162665289,0.9998000099995,0.10293102434758147,0.15050119324794622,0.087403441462606,0.1298202806831759,0.0659177973966235
momentum_15m_over_session_range|30m|-,momentum_15m_over_session_range,30,-,213,0.08794689882335266,0.013098877036761271,0.06212616956324027,0.11376762808346505,8.526476654487556e-11,4.999750012499375e-05,5,0.003353382076510602,0.9989500524973751,0.08531230701237617,0.13808531579586134,0.07500824878322424,0.11312732437903764,0.04385406202627006
momentum_5m_bps|60m|-,momentum_5m_bps,60,-,213,0.08605389981968549,0.007392824198106176,0.07148103898961661,0.10062676064975437,7.7588615617418025e-25,4.999750012499375e-05,5,-0.00019636768334736185,1.0,0.07330235548747732,0.10379454305184346,0.07401243496343196,0.08216793993569858,0.06628964156772678
momentum_15m_bps|15m|-,momentum_15m_bps,15,-,213,0.08221485817123532,0.012181655249544022,0.05820217210236345,0.10622754424010719,6.993845295324319e-11,4.999750012499375e-05,5,0.0027882164303748907,0.9996500174991251,0.08738510600893205,0.0782512424998605,0.09257181082299928,0.11100049053539174,0.0860887199459537
momentum_5m_bps|30m|-,momentum_5m_bps,30,-,213,0.08117172591547689,0.008721307933444522,0.06398013534541835,0.09836331648553542,8.497096424645118e-18,4.999750012499375e-05,5,0.001022535581330622,1.0,0.08742479040068486,0.10286702910729742,0.08002092392632763,0.08888967221063541,0.06852622240457837
momentum_5m_over_session_range|60m|-,momentum_5m_over_session_range,60,-,213,0.07320959997412732,0.007774073991005446,0.05788521306626575,0.0885339868819889,4.071484124576199e-18,4.999750012499375e-05,5,-4.865242489025258e-05,1.0,0.052921644543875684,0.0954650598183058,0.06304833453753535,0.06983014558430094,0.05235286931071642
momentum_5m_over_session_range|30m|-,momentum_5m_over_session_range,30,-,213,0.07109179003874089,0.008912874687534754,0.05352257982398147,0.08866100025350031,4.6504323339358655e-14,4.999750012499375e-05,5,0.0012324695567212918,1.0,0.0736877791767332,0.09725799679705648,0.07227629934560109,0.08074456105972279,0.0560515951858873
momentum_15m_over_session_range|15m|-,momentum_15m_over_session_range,15,-,213,0.0694204081908274,0.012326311203993696,0.04512257384357825,0.09371824253807655,2.8109662448618612e-08,4.999750012499375e-05,5,0.00234899311291444,1.0,0.07588326036680484,0.06862785938732693,0.08464366456167824,0.09194310586988827,0.07066944479090424
momentum_5m_bps|15m|-,momentum_5m_bps,15,-,213,0.06040977635624562,0.008466675792586411,0.04372012099418762,0.07709943171830362,7.551012247818227e-12,4.999750012499375e-05,5,0.0074836660825482485,0.3790310484475776,0.06059275986241894,0.04078754371234923,0.0665952783500584,0.07108366720392847,0.06662871795045576
momentum_5m_over_session_range|15m|-,momentum_5m_over_session_range,15,-,213,0.052283906769090054,0.008577763027046752,0.03537527436058714,0.06919253917759297,2.5459748592754537e-09,4.999750012499375e-05,5,0.006806359951004192,0.5179241037948102,0.05151762640238644,0.03490955552778604,0.06065466663699312,0.06133791133752725,0.05957639701775425
session_range_bps|60m|+,session_range_bps,60,+,213,0.12669666417751602,0.0335843163246848,0.06049468848356987,0.19289863987146216,0.00010484991161549166,0.0027498625068746564,5,0.0014331812586719937,1.0,0.15547276744065477,0.06787038308645256,0.039458901372022355,0.1385514995406892,0.07433878979988194
momentum_5m_over_session_range|15m|+,momentum_5m_over_session_range,15,+,213,-0.052283906769090054,0.008577763027046752,-0.06919253917759297,-0.03537527436058714,0.9999999974540251,1.0,5,-0.006806359951004192,1.0,-0.05151762640238644,-0.03490955552778604,-0.06065466663699312,-0.06133791133752725,-0.05957639701775425
momentum_5m_bps|15m|+,momentum_5m_bps,15,+,213,-0.06040977635624562,0.008466675792586411,-0.07709943171830362,-0.04372012099418762,0.9999999999924489,1.0,5,-0.0074836660825482485,1.0,-0.06059275986241894,-0.04078754371234923,-0.0665952783500584,-0.07108366720392847,-0.06662871795045576
