delay_seconds,rows,coverage,original_pnl,delayed_pnl,pnl_delta,median_trade_delta,positive_trade_fraction,dimension,value
0,1784,1.0,600060.0,600060.0,0.0,0.0,0.7275784753363229,spread_bucket,<=1%
1,1784,0.8783632286995515,495430.0,475660.0,-19770.000000000022,-10.000000000000142,0.7223994894703255,spread_bucket,<=1%
5,1784,0.8783632286995515,495430.0,414570.0,-80860.00000000003,-39.99999999999986,0.6975111678366305,spread_bucket,<=1%
15,1784,0.8783632286995515,495430.0,290550.0,-204880.0,-110.00000000000014,0.6317804722399489,spread_bucket,<=1%
30,1784,0.8783632286995515,495430.0,118870.0,-376560.0,-200.0,0.5488194001276324,spread_bucket,<=1%
60,1784,0.8783632286995515,495430.0,-140769.99999999997,-636200.0,-359.9999999999998,0.41735800893426933,spread_bucket,<=1%
0,5258,1.0,1436490.0,1436490.0,0.0,0.0,0.7325979459870673,exit_reason,lifecycle_exit
1,5258,0.9031951312286041,1226200.0,1171480.0,-54720.0,-9.999999999999886,0.7233101705622236,exit_reason,lifecycle_exit
5,5258,0.9031951312286041,1226200.0,1000630.0,-225570.00000000006,-30.00000000000007,0.6931985681196041,exit_reason,lifecycle_exit
15,5258,0.9031951312286041,1226200.0,693410.0,-532790.0,-89.99999999999986,0.6272899557801642,exit_reason,lifecycle_exit
30,5258,0.9031951312286041,1226200.0,318450.0,-907750.0,-159.99999999999943,0.5618024847336281,exit_reason,lifecycle_exit
60,5258,0.9031951312286041,1226200.0,-289080.0,-1515280.0,-270.0000000000001,0.43440724363023797,exit_reason,lifecycle_exit
0,78,1.0,-93900.0,-93900.0,0.0,0.0,0.0,exit_reason,stop
1,78,0.9615384615384616,-90210.0,-87400.0,2810.0,2.2737367544323206e-13,0.0,exit_reason,stop
5,78,0.9615384615384616,-90210.0,-87370.0,2840.0,9.999999999999773,0.0,exit_reason,stop
15,78,0.9615384615384616,-90210.0,-91900.0,-1689.9999999999982,-49.99999999999977,0.0,exit_reason,stop
30,78,0.9615384615384616,-90210.0,-97820.0,-7609.999999999996,-70.0,0.0,exit_reason,stop
60,78,0.9615384615384616,-90210.0,-102200.0,-11989.999999999996,-160.0,0.0,exit_reason,stop
0,157,1.0,293460.0,293460.0,0.0,0.0,1.0,exit_reason,target
1,157,0.9235668789808917,267300.0,260750.0,-6549.999999999995,-10.00000000000091,1.0,exit_reason,target
5,157,0.9235668789808917,267300.0,257460.0,-9839.999999999995,-30.0,1.0,exit_reason,target
15,157,0.9235668789808917,267300.0,248340.0,-18959.999999999993,-109.99999999999977,0.993103448275862,exit_reason,target
30,157,0.9235668789808917,267300.0,226970.0,-40330.0,-199.99999999999977,1.0,exit_reason,target
60,157,0.9235668789808917,267300.0,183700.0,-83600.0,-429.99999999999966,0.9241379310344827,exit_reason,target
0,1440,1.0,-589420.0,-589420.0,0.0,0.0,0.0,outcome_bucket,loser
1,1440,0.9,-524640.0,-537590.0,-12949.999999999987,-9.999999999999972,0.015432098765432098,outcome_bucket,loser
5,1440,0.9,-524640.0,-573340.0,-48699.999999999985,-30.00000000000003,0.037037037037037035,outcome_bucket,loser
15,1440,0.9,-524640.0,-632380.0,-107739.99999999997,-69.99999999999994,0.02854938271604938,outcome_bucket,loser
30,1440,0.9,-524640.0,-719880.0,-195240.0,-120.00000000000023,0.020833333333333332,outcome_bucket,loser
60,1440,0.9,-524640.0,-833980.0,-309340.0,-180.00000000000023,0.013888888888888888,outcome_bucket,loser
0,4053,1.0,2225470.0,2225470.0,0.0,0.0,0.9891438440661239,outcome_bucket,winner
1,4053,0.9062422896619787,1927930.0,1882420.0,-45510.000000000015,-9.999999999999801,0.9692349578001633,outcome_bucket,winner
5,4053,0.9062422896619787,1927930.0,1744060.0,-183870.00000000003,-30.000000000000078,0.9226790089844813,outcome_bucket,winner
15,4053,0.9062422896619787,1927930.0,1482230.0,-445700.0,-90.00000000000068,0.8401851347672202,outcome_bucket,winner
30,4053,0.9062422896619787,1927930.0,1167480.0,-760450.0,-169.9999999999996,0.7585080315818132,outcome_bucket,winner
60,4053,0.9062422896619787,1927930.0,626400.0,-1301530.0,-300.0,0.593248026136673,outcome_bucket,winner
