window_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,clean_entry_prob,max_exit_prob
1,2023-07-06,103,269,call,1970.8499631989748,time_stop,166,0.2587856352329254,
1,2023-07-07,55,268,call,1566.2400709858537,time_stop,213,0.20829735696315765,
2,2023-08-29,112,230,put,-690.8793381463121,model,118,0.20441630482673645,0.976379001821834
2,2023-09-22,66,225,call,-545.7314350553288,model,159,0.2715405523777008,0.9861412114451681
2,2023-09-25,78,234,call,504.5385179025496,model,156,0.2895866930484772,0.9765634824758607
2,2023-09-26,85,225,call,-219.45709197223186,model,140,0.2582028806209564,0.9727682269558952
2,2023-09-27,78,130,call,-647.0789497161383,model,52,0.2558678090572357,0.98179669863229
2,2023-09-28,100,235,call,514.5294119881136,model,135,0.2651364505290985,0.983272092114839
3,2023-10-04,96,170,call,1476.351909797333,model,74,0.3014940321445465,0.6096967267924112
3,2023-10-05,63,73,call,-686.4699593230337,model,10,0.31323719024658203,0.9700236821224052
3,2023-10-06,112,268,call,3569.2501411137364,model,156,0.2928967773914337,0.9502710461648779
3,2023-10-09,52,175,call,262.0971812565537,model,123,0.3200818598270416,0.8539696635362377
3,2023-10-10,96,170,call,809.2233458948177,model,74,0.3456723988056183,0.9290502912379198
3,2023-10-11,58,105,call,-162.63304429140783,model,47,0.3303535282611847,0.9332598384184345
3,2023-10-24,99,165,call,-650.4807499641408,model,66,0.32893508672714233,0.9455482474216117
3,2023-10-25,104,110,call,-114.93131677132419,model,6,0.2748055160045624,0.9281090083789872
3,2023-10-27,111,120,call,-271.77330842657403,model,9,0.27177125215530396,0.8468718016717275
3,2023-10-31,113,130,call,93.1388697248918,model,17,0.30004051327705383,0.5829654260203975
3,2023-11-06,58,210,call,-512.0999617628753,model,152,0.38247910141944885,0.9644468228005448
3,2023-11-07,120,135,call,27.50000048056245,model,15,0.3740125298500061,0.9643100961257354
3,2023-11-08,92,268,call,-461.2000093713403,model,176,0.3612478971481323,0.8907869287176575
3,2023-11-09,94,210,call,123.89002286143602,model,116,0.3717256486415863,0.8821732219319416
3,2023-11-10,115,266,call,2250.4398155635595,time_stop_fallback,151,0.3524031937122345,
3,2023-11-13,101,155,call,829.9640529821713,model,54,0.3765828311443329,0.9348748686783591
3,2023-11-15,114,256,call,-817.3999992519617,model,142,0.36494511365890503,0.9405152860027617
3,2023-11-16,57,200,call,-419.29013580464573,model,143,0.3760756552219391,0.9421752996670643
3,2023-11-17,118,165,call,634.3399855791032,model,47,0.4295555353164673,0.9263906368244679
3,2023-11-20,109,184,call,-97.24999952502549,model,75,0.4524085521697998,0.2793519091504007
3,2023-11-21,113,211,call,569.6101185915619,model,98,0.4676428735256195,0.6339830629656055
3,2023-11-22,117,160,call,791.0683946787004,model,43,0.46334508061408997,0.8409008068543435
3,2023-11-24,72,171,call,-282.53005519814786,model,99,0.5084449648857117,0.296219797381231
3,2023-11-27,87,225,call,272.000000603497,model,138,0.5405288934707642,0.8528001932092535
3,2023-11-28,65,166,call,1435.1590222538166,model,101,0.4577752947807312,0.9593369685638552
3,2023-11-29,96,220,call,-260.9999614059925,model,124,0.4361304044723511,0.9372644406890775
3,2023-11-30,60,165,call,-614.276559299023,model,105,0.37962806224823,0.9674660948419808
3,2023-12-04,100,233,call,1218.66004166767,model,133,0.4222048819065094,0.9277750009337236
3,2023-12-05,96,256,call,-937.0760957088079,model,160,0.42063838243484497,0.939595336772768
3,2023-12-06,112,120,call,-43.26927262888509,model,8,0.47644105553627014,0.9413236265715105
3,2023-12-08,102,105,call,-148.28995786611492,model,3,0.435225248336792,0.8557638308385594
3,2023-12-11,94,100,call,-387.5000287182629,model,6,0.47112125158309937,0.9541782560991098
3,2023-12-12,115,155,call,-172.29999876096846,model,40,0.46699100732803345,0.9639018309532823
3,2023-12-15,117,135,call,-243.27280411869287,model,18,0.47218361496925354,0.9213595651510691
