Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch with progressive feature masking curriculum.

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Curriculum stages: 4

step 03900 ( 23.9%) | loss: 1.401488 | trade:0.40 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | stage:Core | lr: 1.50e-04 | left: 183s
step 03950 ( 24.2%) | loss: 1.385933 | trade:0.34 call:0.68 put:0.32 | ATM:0.54 OTM:0.46 | stage:Core | lr: 1.50e-04 | left: 182s
step 04000 ( 24.4%) | loss: 1.387073 | trade:0.43 call:0.63 put:0.37 | ATM:0.48 OTM:0.52 | stage:Core | lr: 1.50e-04 | left: 181s
step 04050 ( 24.6%) | loss: 1.365289 | trade:0.40 call:0.68 put:0.32 | ATM:0.55 OTM:0.45 | stage:Core | lr: 1.50e-04 | left: 181s
step 04100 ( 24.8%) | loss: 1.359867 | trade:0.34 call:0.67 put:0.33 | ATM:0.45 OTM:0.55 | stage:Core | lr: 1.50e-04 | left: 180s
step 04150 ( 25.1%) | loss: 2.300396 | trade:0.44 call:0.62 put:0.38 | ATM:0.54 OTM:0.46 | stage:Vol+Levels | lr: 1.50e-04 | left: 180s
step 04200 ( 25.2%) | loss: 1.974665 | trade:0.43 call:0.56 put:0.44 | ATM:0.49 OTM:0.51 | stage:Vol+Levels | lr: 1.50e-04 | left: 179s
step 04250 ( 25.4%) | loss: 1.663895 | trade:0.37 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | stage:Vol+Levels | lr: 1.50e-04 | left: 179s
step 04300 ( 25.7%) | loss: 1.539719 | trade:0.41 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | stage:Vol+Levels | lr: 1.50e-04 | left: 178s
step 04350 ( 25.9%) | loss: 1.461951 | trade:0.39 call:0.69 put:0.31 | ATM:0.55 OTM:0.45 | stage:Vol+Levels | lr: 1.50e-04 | left: 178s
step 04400 ( 26.1%) | loss: 1.436824 | trade:0.40 call:0.69 put:0.31 | ATM:0.55 OTM:0.45 | stage:Vol+Levels | lr: 1.50e-04 | left: 177s
step 04450 ( 26.3%) | loss: 1.402564 | trade:0.39 call:0.67 put:0.33 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 177s
step 04500 ( 26.5%) | loss: 1.385001 | trade:0.43 call:0.68 put:0.32 | ATM:0.58 OTM:0.42 | stage:Vol+Levels | lr: 1.50e-04 | left: 176s
step 04550 ( 26.7%) | loss: 1.348785 | trade:0.35 call:0.59 put:0.41 | ATM:0.52 OTM:0.48 | stage:Vol+Levels | lr: 1.50e-04 | left: 176s
step 04600 ( 27.1%) | loss: 1.349000 | trade:0.39 call:0.67 put:0.33 | ATM:0.53 OTM:0.47 | stage:Vol+Levels | lr: 1.50e-04 | left: 175s
step 04650 ( 27.3%) | loss: 1.345606 | trade:0.40 call:0.64 put:0.36 | ATM:0.49 OTM:0.51 | stage:Vol+Levels | lr: 1.50e-04 | left: 174s
step 04700 ( 27.5%) | loss: 1.338296 | trade:0.43 call:0.66 put:0.34 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 174s
step 04750 ( 27.7%) | loss: 1.353637 | trade:0.32 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | stage:Vol+Levels | lr: 1.50e-04 | left: 173s
step 04800 ( 27.9%) | loss: 1.290505 | trade:0.40 call:0.66 put:0.34 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 173s
step 04850 ( 28.1%) | loss: 1.312452 | trade:0.41 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 173s
step 04900 ( 28.3%) | loss: 1.268771 | trade:0.37 call:0.65 put:0.35 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 172s
step 04950 ( 28.5%) | loss: 1.308370 | trade:0.37 call:0.64 put:0.36 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 172s
step 05000 ( 28.8%) | loss: 1.285255 | trade:0.39 call:0.61 put:0.39 | ATM:0.54 OTM:0.46 | stage:Vol+Levels | lr: 1.50e-04 | left: 171s
step 05050 ( 29.0%) | loss: 1.238406 | trade:0.34 call:0.61 put:0.39 | ATM:0.54 OTM:0.46 | stage:Vol+Levels | lr: 1.50e-04 | left: 170s
step 05100 ( 29.3%) | loss: 1.287752 | trade:0.38 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | stage:Vol+Levels | lr: 1.50e-04 | left: 170s
step 05150 ( 29.4%) | loss: 1.253846 | trade:0.39 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | stage:Vol+Levels | lr: 1.50e-04 | left: 169s
step 05200 ( 29.7%) | loss: 1.236766 | trade:0.35 call:0.68 put:0.32 | ATM:0.55 OTM:0.45 | stage:Vol+Levels | lr: 1.50e-04 | left: 169s
step 05250 ( 30.2%) | loss: 1.245128 | trade:0.33 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 168s
step 05300 ( 30.7%) | loss: 1.237158 | trade:0.33 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | stage:Vol+Levels | lr: 1.50e-04 | left: 166s
step 05350 ( 31.1%) | loss: 1.269522 | trade:0.31 call:0.69 put:0.31 | ATM:0.61 OTM:0.39 | stage:Vol+Levels | lr: 1.50e-04 | left: 165s
step 05400 ( 31.6%) | loss: 1.218610 | trade:0.42 call:0.57 put:0.43 | ATM:0.48 OTM:0.52 | stage:Vol+Levels | lr: 1.50e-04 | left: 164s
step 05450 ( 32.1%) | loss: 1.209352 | trade:0.39 call:0.56 put:0.44 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 163s
step 05500 ( 32.6%) | loss: 1.218975 | trade:0.34 call:0.59 put:0.41 | ATM:0.54 OTM:0.46 | stage:Vol+Levels | lr: 1.50e-04 | left: 162s
step 05550 ( 32.9%) | loss: 1.221055 | trade:0.35 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | stage:Vol+Levels | lr: 1.50e-04 | left: 161s
step 05600 ( 33.1%) | loss: 1.213011 | trade:0.35 call:0.64 put:0.36 | ATM:0.58 OTM:0.42 | stage:Vol+Levels | lr: 1.50e-04 | left: 161s
step 05650 ( 33.4%) | loss: 1.210464 | trade:0.35 call:0.64 put:0.36 | ATM:0.60 OTM:0.40 | stage:Vol+Levels | lr: 1.50e-04 | left: 160s
step 05700 ( 33.7%) | loss: 1.193446 | trade:0.38 call:0.65 put:0.35 | ATM:0.58 OTM:0.42 | stage:Vol+Levels | lr: 1.50e-04 | left: 159s
step 05750 ( 33.9%) | loss: 1.187138 | trade:0.34 call:0.58 put:0.42 | ATM:0.56 OTM:0.44 | stage:Vol+Levels | lr: 1.50e-04 | left: 159s
step 05800 ( 34.1%) | loss: 1.200178 | trade:0.35 call:0.68 put:0.32 | ATM:0.65 OTM:0.35 | stage:Vol+Levels | lr: 1.50e-04 | left: 158s
step 05850 ( 34.3%) | loss: 1.203925 | trade:0.35 call:0.64 put:0.36 | ATM:0.52 OTM:0.48 | stage:Vol+Levels | lr: 1.50e-04 | left: 158s
step 05900 ( 34.5%) | loss: 1.198807 | trade:0.37 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 157s
step 05950 ( 34.7%) | loss: 1.176599 | trade:0.35 call:0.55 put:0.45 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 157s
step 06000 ( 34.9%) | loss: 1.197468 | trade:0.36 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | stage:Vol+Levels | lr: 1.50e-04 | left: 156s
step 06050 ( 35.1%) | loss: 1.202736 | trade:0.35 call:0.57 put:0.43 | ATM:0.57 OTM:0.43 | stage:Vol+Levels | lr: 1.50e-04 | left: 156s
step 06100 ( 35.3%) | loss: 1.188655 | trade:0.34 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | stage:Vol+Levels | lr: 1.50e-04 | left: 155s
step 06150 ( 35.5%) | loss: 1.177952 | trade:0.28 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | stage:Vol+Levels | lr: 1.50e-04 | left: 155s
