fold_idx,day,entry_bar,exit_bar,direction,exit_pnl,trigger,bars_held,max_prob
2,2025-07-28,33,39,put,-188.04999396786837,model,6,0.9765369144941053
2,2025-07-29,31,193,put,1730.9250376991927,model,162,0.33600644796674656
2,2025-07-30,34,130,put,-75.47500000707805,model,96,0.9731681572805645
2,2025-07-31,37,115,put,3009.195031341463,model,78,0.3207125792921891
2,2025-08-01,50,125,put,40.750034699108696,model,75,0.9652488512017714
2,2025-08-04,36,202,put,-914.6250097682829,model,166,0.9550486466783135
2,2025-08-05,33,165,put,1207.5749936582108,model,132,0.9803694159423947
2,2025-08-06,50,188,put,-1107.7500042562874,model,138,0.9692471897961575
2,2025-08-07,33,140,put,3075.1799893977027,model,107,0.9763498294055467
2,2025-08-08,34,135,put,627.6000377595425,model,101,0.9771272248952584
2,2025-08-11,30,100,put,327.8750756624676,model,70,0.9581722343630069
2,2025-08-12,64,149,put,-1015.7749567530717,model,85,0.36165394490140085
2,2025-08-13,38,105,put,1510.5500378591812,model,67,0.9682294890406147
2,2025-08-14,36,135,put,292.25001954562333,model,99,0.9586732135138387
2,2025-08-15,36,105,put,-69.50001978242801,model,69,0.9866895980550391
2,2025-08-18,38,40,put,-63.17497968125283,model,2,0.9447160472868705
2,2025-08-19,31,32,put,-203.12496457959332,model,1,0.9821928727077153
2,2025-08-20,33,163,put,-468.1000179760158,model,130,0.9622045099232902
2,2025-08-21,46,105,put,716.6250712112085,model,59,0.9640808413609055
2,2025-08-22,39,42,put,-156.35004051601592,model,3,0.9634830972125106
2,2025-08-25,38,109,put,-385.32494280927597,model,71,0.9661800944192847
2,2025-08-26,31,32,put,-47.17499459500678,model,1,0.9801697239361695
2,2025-08-27,34,35,put,-151.95003612018553,model,1,0.9771313771196732
2,2025-08-28,39,103,put,-589.1749717151614,model,64,0.9681901139838829
2,2025-08-29,31,151,put,459.14997934207537,model,120,0.9640723210477465
2,2025-09-02,39,80,put,643.4999622522744,model,41,0.981824293313173
2,2025-09-03,35,165,put,-323.50002818194486,model,130,0.9568039582129959
2,2025-09-04,32,105,put,-716.4749903895638,model,73,0.9748833163670425
2,2025-09-05,38,100,put,4871.0000402468895,model,62,0.4885063016419097
2,2025-09-08,34,115,put,-769.0000093006034,model,81,0.9601552664686568
2,2025-09-09,33,115,put,-417.374982042859,model,82,0.976042578968426
2,2025-09-10,36,44,put,-101.25003903974472,model,8,0.985556579340207
3,2025-09-11,63,105,put,-310.65001929402354,model,42,0.9732621145549702
3,2025-09-12,32,164,put,-223.07499966025352,model,132,0.9708501790501601
3,2025-09-15,39,125,put,-307.49999962188303,model,86,0.9747961279721368
3,2025-09-16,56,140,put,184.24999499326552,model,84,0.9797103715165288
3,2025-09-17,99,100,put,44.899982037395226,model,1,0.9697735837877592
3,2025-09-18,31,105,put,-580.9000580062493,model,74,0.9770645654196813
3,2025-09-19,30,112,put,612.2750392707816,model,82,0.9791119914531996
3,2025-09-22,39,155,put,-675.4999996369697,model,116,0.9705766368405097
3,2025-09-23,51,186,put,1277.5000722863608,model,135,0.9721155935161964
3,2025-09-24,78,215,put,2045.5000572390857,model,137,0.29886115619536635
3,2025-09-25,69,100,put,698.8000572773865,model,31,0.9740075144851713
3,2025-09-26,108,173,put,-676.5500003570081,model,65,0.9429861406320821
3,2025-09-29,33,155,put,492.6249598028759,model,122,0.9767824184474433
3,2025-09-30,31,135,put,289.2750170769385,model,104,0.9751027910414936
3,2025-10-01,32,205,put,-1107.9999943921964,model,173,0.3622087256092649
3,2025-10-02,35,220,put,378.49996548033414,model,185,0.9748598324466179
3,2025-10-03,34,110,put,-751.2499803900719,model,76,0.9725689966943822
3,2025-10-06,31,32,put,-59.025010619399175,model,1,0.2208575602604737
3,2025-10-07,38,145,put,3657.3249051949374,model,107,0.9698192631133032
3,2025-10-08,69,143,put,-648.499970816493,model,74,0.9774914960758428
3,2025-10-09,35,136,put,534.5749625242232,model,101,0.9883919712238507
3,2025-10-10,63,102,put,5106.900152859836,model,39,0.25747125158711964
3,2025-10-13,48,104,put,117.05004640714962,model,56,0.9654755192564718
3,2025-10-14,87,130,put,-299.4999425210221,model,43,0.44504680052496354
3,2025-10-15,77,230,put,7913.415403649632,model,153,0.6169054731854208
3,2025-10-16,62,120,put,867.1500761702908,model,58,0.970249983007334
3,2025-10-17,59,125,put,906.3999664772139,model,66,0.970110006770478
3,2025-10-20,52,105,put,-477.72504850922905,model,53,0.9695746702497016
3,2025-10-21,72,170,put,-632.1999897113637,model,98,0.9612607990827049
3,2025-10-22,35,216,put,3663.3599021967702,model,181,0.9819473765926996
3,2025-10-23,33,135,put,226.79995109654863,model,102,0.9750825571725287
3,2025-10-24,41,107,put,-249.50003691685546,model,66,0.9788587442173408
3,2025-10-27,44,101,put,85.74998126343868,model,57,0.9711558667691416
3,2025-10-28,50,125,put,243.90003498395936,model,75,0.9673138623605539
3,2025-10-29,32,107,put,270.0000002756715,model,75,0.9699888758139684
3,2025-10-30,103,150,put,944.449962971973,model,47,0.946273961900601
3,2025-10-31,115,130,put,608.7500955933378,model,15,0.9480558850811511
3,2025-11-03,109,120,put,144.55005707362943,model,11,0.9262996805842717
3,2025-11-04,46,125,put,213.49994250561613,model,79,0.9742991316262289
3,2025-11-05,95,110,put,527.3749249272802,model,15,0.9387937573331916
3,2025-11-06,52,115,put,2845.1000037475496,model,63,0.534375360182713
3,2025-11-07,57,105,put,1729.675057024257,model,48,0.9793805563618933
3,2025-11-10,41,197,put,-244.79998123777114,model,156,0.9765780910340774
3,2025-11-11,32,106,put,274.55007792359766,model,74,0.9515383421917212
