Mixed precision: bf16 enabled (Ampere+ GPU detected)
Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 512 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.15 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 02550 ( 11.9%) | loss: 0.421500 | trade:0.00 call:0.73 put:0.27 | ATM:0.63 OTM:0.37 [seq] | lr: 1.14e-04 | left: 211s
step 02600 ( 12.1%) | loss: 0.418434 | trade:0.06 call:0.03 put:0.97 | ATM:0.90 OTM:0.10 [seq] | lr: 1.16e-04 | left: 211s
step 02650 ( 12.4%) | loss: 0.410228 | trade:0.95 call:0.02 put:0.98 | ATM:0.71 OTM:0.29 [seq] | lr: 1.18e-04 | left: 210s
step 02700 ( 12.6%) | loss: 0.467223 | trade:0.36 call:0.75 put:0.25 | ATM:0.60 OTM:0.40 [rnd] | lr: 1.20e-04 | left: 210s
step 02750 ( 13.0%) | loss: 0.672889 | trade:0.92 call:0.99 put:0.01 | ATM:0.27 OTM:0.73 [seq] | lr: 1.23e-04 | left: 209s
step 02800 ( 13.3%) | loss: 1.050222 | trade:0.84 call:0.50 put:0.50 | ATM:0.88 OTM:0.12 [seq] | lr: 1.25e-04 | left: 208s
step 02850 ( 13.6%) | loss: 0.615103 | trade:0.00 call:0.82 put:0.18 | ATM:0.72 OTM:0.28 [seq] | lr: 1.27e-04 | left: 207s
step 02900 ( 13.8%) | loss: 0.510174 | trade:0.00 call:0.87 put:0.13 | ATM:0.45 OTM:0.55 [seq] | lr: 1.29e-04 | left: 207s
step 02950 ( 14.1%) | loss: 0.707271 | trade:0.37 call:0.76 put:0.24 | ATM:0.60 OTM:0.40 [rnd] | lr: 1.31e-04 | left: 206s
step 03000 ( 14.3%) | loss: 0.622277 | trade:0.00 call:0.54 put:0.46 | ATM:0.55 OTM:0.45 [seq] | lr: 1.32e-04 | left: 206s
step 03050 ( 14.6%) | loss: 0.573336 | trade:0.00 call:0.78 put:0.22 | ATM:0.38 OTM:0.62 [seq] | lr: 1.34e-04 | left: 205s
