fold_id,evidence_grade,split,gate,strategy,v_sel_n,v_sel_mean,v_sel_winsor600_mean,v_sel_trim10_mean,v_sel_median,v_sel_share_positive,v_sel_sum,v_sel_top5pct_contribution_share,v_sel_mean_without_top_session,v_sel_winsor600_mean_boot_ci_low,v_sel_winsor600_mean_boot_ci_high,return_on_premium_mean,return_on_premium_median,stratum_key,stratum_value
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,2,45.0,45.0,45.0,45.0,0.5,90.0,1.3888888888888888,45.0,45.0,45.0,0.35926774350965707,0.35926774350965707,time_bucket,late_1500_1530
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,2,515.0,515.0,515.0,515.0,1.0,1030.0,0.5048543689320388,510.0,510.0,520.0,0.6654166666666667,0.6654166666666667,time_bucket,midday_1130_1329
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,16,44.375,14.375,42.142857142857146,-55.0,0.5,710.0,1.4366197183098592,-74.61538461538461,-211.67045454545453,176.18452380952374,0.05520874560003472,-0.03963675196040703,momentum5_side,mom5_pos
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,6,198.33333333333334,198.33333333333334,198.33333333333334,97.5,0.8333333333333334,1190.0,0.42857142857142855,152.5,33.333333333333336,385.0,0.3196263070336396,0.2779025976428233,momentum5_side,mom5_neg
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,12,10.0,2.5,-8.0,10.0,0.5833333333333334,120.0,5.75,-95.55555555555556,-200.25,166.66666666666666,0.024888656426158628,0.0077662724324758,momentum15_side,mom15_pos
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,6,111.66666666666667,46.666666666666664,111.66666666666667,40.0,0.5,670.0,1.5223880597014925,-305.0,-500.0,460.0,0.10933562904955985,0.02248718448904366,momentum15_side,mom15_flat
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,4,277.5,277.5,277.5,317.5,0.75,1110.0,0.4594594594594595,200.0,45.0,510.0,0.46160503009778264,0.5639423166859082,momentum15_side,mom15_neg
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,3,-166.66666666666666,-166.66666666666666,-166.66666666666666,-210.0,0.3333333333333333,-500.0,-0.02,-255.0,-300.0,10.0,-0.13949577015882011,-0.1764705938922848,vwap_gap_bucket,vwap_gap_0_2
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,19,126.3157894736842,101.05263157894737,134.11764705882354,70.0,0.631578947368421,2400.0,0.425,30.0,-66.5125,258.0105263157895,0.16945184643572914,0.06542056191383008,vwap_gap_bucket,vwap_gap_2_10
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,12,128.33333333333334,105.83333333333333,116.0,60.0,0.6666666666666666,1540.0,0.564935064935065,88.0,-62.365546218487395,316.3636363636364,0.14814162360081995,0.05848347733999206,premium_bucket,premium_7_5_15
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,8,33.75,7.5,33.75,-65.0,0.5,270.0,3.7777777777777777,-107.14285714285714,-301.42857142857144,245.03124999999997,0.03810785019665495,-0.04162740785437068,premium_bucket,premium_gte_15
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10,attempt131_topk_parallel,2,45.0,45.0,45.0,45.0,0.5,90.0,1.3888888888888888,45.0,45.0,45.0,0.35926774350965707,0.35926774350965707,premium_bucket,premium_lt_3
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,133,64.09774436090225,36.203007518796994,33.41121495327103,-50.0,0.44360902255639095,8525.0,0.819941348973607,10.700934579439252,-49.67202117890145,151.80273809523808,0.03957906522877988,-0.07303371099552244,gate_age,gate_age_1
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,63,47.142857142857146,35.87301587301587,26.666666666666668,-20.0,0.42857142857142855,2970.0,1.0437710437710437,23.06122448979592,-39.645688153310104,129.10863095238096,0.03227065611115615,-0.019801979450113298,gate_age,gate_age_2_3
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,9,-5.555555555555555,-5.555555555555555,-5.555555555555555,-110.0,0.4444444444444444,-50.0,-6.2,-40.0,-80.0,165.0,0.1098047506731371,-0.14,gate_age,gate_age_4_10
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,26,96.92307692307692,47.69230769230769,54.09090909090909,40.0,0.5384615384615384,2520.0,0.9523809523809523,38.4,-221.6195652173913,285.025,0.04946395159965327,0.021405676781099954,time_bucket,open_0931_0959
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,72,-39.72222222222222,-42.77777777777778,-67.93103448275862,-105.0,0.3055555555555556,-2860.0,-0.9055944055944056,-66.3768115942029,-113.75,93.42857142857143,-0.05030860307252469,-0.18209134252200965,time_bucket,midday_1130_1329
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,18,3.611111111111111,3.611111111111111,-1.5625,-35.0,0.2777777777777778,65.0,4.153846153846154,-43.333333333333336,-71.25,78.57142857142857,-0.09340414773286507,-0.36666666666666664,time_bucket,late_1500_1530
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,43,65.34883720930233,63.95348837209303,50.57142857142857,30.0,0.5813953488372093,2810.0,0.5587188612099644,32.06896551724138,-53.225806451612904,189.52380952380952,0.11346978933533466,0.047619046177363136,time_bucket,afternoon_1330_1459
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,46,193.69565217391303,131.52173913043478,190.52631578947367,140.0,0.5217391304347826,8910.0,0.3490460157126824,71.66666666666667,-102.75933786078097,257.6791125541126,0.1613813079106906,0.1548789230071111,time_bucket,morning_1000_1129
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,109,63.669724770642205,34.4954128440367,24.719101123595507,-35.0,0.44954128440366975,6940.0,0.8904899135446686,48.095238095238095,-29.031450840968137,108.0934549006838,0.06213662936112681,-0.03726707986234393,momentum5_side,mom5_pos
