date,fold,strategy_label,bar,side_intended,reason
2025-03-31,1,strategy,23,C,gated_vrp
2025-03-31,1,strategy,24,C,gated_vrp
2025-03-31,1,strategy,25,C,skipped_no_contracts_at_bar
2025-03-31,1,strategy,26,C,skipped_no_contracts_at_bar
2025-03-31,1,strategy,27,C,skipped_no_contracts_at_bar
2025-04-01,1,strategy,15,C,skipped_no_contracts_at_bar
2025-04-01,1,strategy,16,C,skipped_no_contracts_at_bar
2025-04-01,1,strategy,17,C,skipped_no_contracts_at_bar
2025-04-03,1,strategy,15,P,gated_vrp
2025-04-03,1,strategy,17,P,gated_vrp
2025-04-03,1,strategy,19,P,gated_vrp
2025-04-04,1,strategy,27,C,gated_vrp
2025-04-04,1,strategy,28,C,gated_vrp
2025-04-04,1,strategy,30,P,gated_vrp
2025-04-04,1,strategy,31,P,gated_vrp
2025-04-04,1,strategy,34,P,gated_vrp
2025-04-04,1,strategy,35,P,gated_vrp
2025-04-04,1,strategy,36,P,gated_vrp
2025-04-04,1,strategy,37,P,gated_vrp
2025-04-04,1,strategy,38,P,gated_vrp
2025-04-04,1,strategy,39,P,gated_vrp
2025-04-04,1,strategy,95,P,gated_vrp
2025-04-04,1,strategy,96,P,gated_iv_percentile
2025-04-04,1,strategy,97,P,gated_iv_percentile
2025-04-04,1,strategy,99,P,gated_iv_percentile
2025-04-04,1,strategy,115,P,gated_vrp
2025-04-04,1,strategy,116,P,gated_iv_percentile
2025-04-04,1,strategy,119,P,gated_iv_percentile
2025-04-07,1,strategy,18,C,gated_vrp
2025-04-07,1,strategy,20,C,gated_vrp
2025-04-07,1,strategy,21,C,gated_vrp
2025-04-07,1,strategy,22,C,gated_iv_percentile
2025-04-07,1,strategy,23,C,gated_vrp
2025-04-07,1,strategy,24,C,gated_vrp
2025-04-07,1,strategy,61,C,gated_iv_percentile
2025-04-07,1,strategy,62,C,gated_iv_percentile
2025-04-07,1,strategy,63,C,gated_vrp
2025-04-07,1,strategy,74,C,gated_vrp
2025-04-07,1,strategy,75,C,gated_vrp
2025-04-07,1,strategy,78,C,gated_vrp
2025-04-07,1,strategy,79,C,gated_vrp
2025-04-07,1,strategy,80,C,gated_vrp
2025-04-07,1,strategy,81,C,gated_vrp
2025-04-07,1,strategy,83,C,gated_vrp
2025-04-07,1,strategy,84,C,gated_vrp
2025-04-07,1,strategy,87,C,gated_vrp
2025-04-08,1,strategy,15,C,gated_vrp
2025-04-08,1,strategy,16,C,gated_vrp
2025-04-08,1,strategy,18,P,gated_vrp
2025-04-08,1,strategy,20,P,gated_vrp
2025-04-08,1,strategy,21,C,gated_vrp
2025-04-08,1,strategy,22,C,gated_vrp
2025-04-08,1,strategy,23,C,gated_vrp
2025-04-08,1,strategy,25,C,gated_vrp
2025-04-08,1,strategy,26,C,gated_vrp
2025-04-08,1,strategy,27,C,gated_vrp
2025-04-08,1,strategy,28,C,gated_vrp
2025-04-08,1,strategy,30,C,gated_vrp
2025-04-09,1,strategy,17,P,gated_vrp
2025-04-09,1,strategy,44,P,gated_vrp
2025-04-09,1,strategy,47,C,gated_vrp
2025-04-09,1,strategy,49,C,gated_vrp
2025-04-09,1,strategy,52,P,gated_vrp
2025-04-09,1,strategy,53,C,gated_vrp
2025-04-09,1,strategy,59,C,gated_vrp
2025-04-09,1,strategy,60,C,gated_vrp
2025-04-09,1,strategy,61,C,gated_vrp
2025-04-09,1,strategy,62,C,gated_vrp
2025-04-09,1,strategy,74,P,gated_vrp
2025-04-09,1,strategy,76,C,gated_vrp
2025-04-09,1,strategy,77,C,gated_vrp
2025-04-09,1,strategy,78,P,gated_vrp
2025-04-09,1,strategy,79,P,gated_vrp
2025-04-09,1,strategy,80,P,gated_vrp
2025-04-09,1,strategy,81,P,gated_vrp
2025-04-09,1,strategy,82,P,gated_vrp
2025-04-09,1,strategy,86,P,gated_vrp
2025-04-09,1,strategy,105,C,gated_vrp
2025-04-09,1,strategy,107,C,gated_vrp
2025-04-09,1,strategy,109,C,gated_vrp
2025-04-09,1,strategy,110,C,gated_vrp
2025-04-09,1,strategy,111,C,gated_vrp
2025-04-09,1,strategy,113,C,gated_vrp
2025-04-09,1,strategy,114,C,gated_vrp
2025-04-10,1,strategy,15,C,gated_vrp
2025-04-10,1,strategy,16,C,gated_vrp
2025-04-10,1,strategy,18,C,gated_vrp
2025-04-10,1,strategy,20,C,gated_vrp
2025-04-10,1,strategy,24,P,gated_vrp
2025-04-10,1,strategy,25,P,gated_vrp
2025-04-10,1,strategy,26,P,gated_vrp
2025-04-10,1,strategy,28,P,gated_vrp
2025-04-10,1,strategy,29,P,gated_vrp
2025-04-10,1,strategy,30,P,gated_vrp
2025-04-10,1,strategy,66,C,gated_vrp
2025-04-10,1,strategy,73,P,gated_vrp
2025-04-10,1,strategy,75,P,gated_vrp
2025-04-10,1,strategy,77,P,gated_vrp
2025-04-10,1,strategy,78,P,gated_vrp
2025-04-10,1,strategy,79,P,gated_vrp
2025-04-10,1,strategy,80,P,gated_vrp
2025-04-10,1,strategy,81,P,gated_vrp
2025-04-10,1,strategy,82,P,gated_vrp
2025-04-11,1,strategy,15,C,gated_vrp
2025-04-11,1,strategy,16,C,gated_vrp
2025-04-11,1,strategy,17,C,gated_vrp
2025-04-11,1,strategy,34,C,gated_vrp
2025-04-11,1,strategy,35,C,gated_vrp
2025-04-11,1,strategy,36,C,gated_vrp
2025-04-11,1,strategy,37,C,gated_vrp
2025-04-11,1,strategy,39,C,gated_vrp
2025-04-11,1,strategy,40,C,gated_vrp
2025-04-11,1,strategy,43,C,gated_vrp
2025-04-11,1,strategy,49,P,gated_vrp
2025-04-11,1,strategy,50,P,gated_vrp
2025-04-11,1,strategy,51,P,gated_vrp
2025-04-11,1,strategy,52,P,gated_vrp
2025-04-11,1,strategy,53,P,gated_vrp
2025-04-11,1,strategy,56,P,gated_iv_percentile
2025-04-11,1,strategy,66,C,gated_vrp
2025-04-11,1,strategy,72,C,gated_vrp
2025-04-11,1,strategy,74,C,gated_vrp
2025-04-11,1,strategy,75,C,gated_vrp
2025-04-11,1,strategy,77,C,gated_vrp
2025-04-11,1,strategy,84,C,gated_vrp
2025-04-11,1,strategy,89,P,gated_vrp
2025-04-11,1,strategy,90,C,gated_vrp
2025-04-11,1,strategy,93,P,gated_vrp
2025-04-11,1,strategy,95,P,gated_vrp
2025-04-11,1,strategy,96,P,gated_vrp
2025-04-11,1,strategy,97,P,gated_vrp
2025-04-11,1,strategy,100,P,gated_vrp
2025-04-14,1,strategy,33,C,gated_vrp
2025-04-14,1,strategy,34,C,gated_vrp
2025-04-14,1,strategy,35,C,gated_vrp
2025-04-14,1,strategy,41,P,gated_vrp
2025-04-14,1,strategy,42,P,gated_vrp
2025-04-14,1,strategy,44,P,gated_vrp
2025-04-14,1,strategy,45,P,gated_vrp
2025-04-14,1,strategy,47,P,gated_vrp
2025-04-14,1,strategy,58,C,gated_vrp
2025-04-14,1,strategy,61,C,gated_vrp
2025-04-14,1,strategy,62,C,gated_vrp
2025-04-14,1,strategy,63,C,gated_vrp
2025-04-14,1,strategy,65,C,gated_vrp
2025-04-14,1,strategy,95,P,gated_vrp
2025-04-14,1,strategy,96,P,gated_vrp
2025-04-14,1,strategy,97,P,gated_vrp
2025-04-15,1,strategy,48,P,gated_iv_percentile
2025-04-15,1,strategy,49,P,gated_iv_percentile
2025-04-15,1,strategy,50,P,gated_iv_percentile
2025-04-15,1,strategy,53,P,gated_iv_percentile
2025-04-15,1,strategy,54,P,gated_iv_percentile
2025-04-15,1,strategy,55,P,gated_iv_percentile
2025-04-15,1,strategy,56,P,gated_iv_percentile
2025-04-15,1,strategy,73,C,skipped_context_spread
2025-04-16,1,strategy,15,P,gated_vrp
2025-04-16,1,strategy,16,P,gated_vrp
2025-04-16,1,strategy,17,P,gated_vrp
2025-04-16,1,strategy,86,P,gated_vrp
2025-04-17,1,strategy,19,C,gated_vrp
2025-04-17,1,strategy,20,C,gated_vrp
2025-04-17,1,strategy,22,C,gated_vrp
2025-04-17,1,strategy,24,C,gated_vrp
2025-04-17,1,strategy,37,P,gated_vrp
2025-04-17,1,strategy,39,P,gated_vrp
2025-04-17,1,strategy,43,P,gated_vrp
2025-04-17,1,strategy,44,P,gated_vrp
2025-04-17,1,strategy,98,C,gated_vrp
2025-04-17,1,strategy,100,C,gated_vrp
2025-04-17,1,strategy,101,C,gated_vrp
2025-04-17,1,strategy,102,C,gated_vrp
2025-04-17,1,strategy,104,C,gated_vrp
2025-04-17,1,strategy,118,P,gated_vrp
2025-04-17,1,strategy,119,P,gated_vrp
2025-04-23,1,strategy,15,C,gated_vrp
2025-04-23,1,strategy,16,C,gated_vrp
2025-04-23,1,strategy,48,P,gated_vrp
2025-04-23,1,strategy,51,P,gated_vrp
2025-04-23,1,strategy,53,C,gated_vrp
2025-04-23,1,strategy,54,C,gated_vrp
2025-04-23,1,strategy,55,C,gated_vrp
2025-04-23,1,strategy,56,C,gated_vrp
2025-04-23,1,strategy,58,C,gated_vrp
2025-04-23,1,strategy,60,C,gated_vrp
2025-04-23,1,strategy,61,C,gated_vrp
2025-04-23,1,strategy,62,C,gated_vrp
2025-04-23,1,strategy,94,C,gated_vrp
2025-04-23,1,strategy,96,C,gated_vrp
2025-04-23,1,strategy,97,C,gated_vrp
2025-04-25,1,strategy,16,P,gated_vrp
2025-04-25,1,strategy,17,P,gated_vrp
2025-04-25,1,strategy,19,P,gated_vrp
2025-04-28,1,strategy,21,P,skipped_no_contracts_at_bar
2025-04-28,1,strategy,23,P,skipped_no_contracts_at_bar
2025-04-28,1,strategy,24,P,skipped_no_contracts_at_bar
2025-04-28,1,strategy,25,P,skipped_no_contracts_at_bar
2025-04-28,1,strategy,26,P,skipped_no_contracts_at_bar
2025-04-28,1,strategy,27,P,skipped_no_contracts_at_bar
2025-04-28,1,strategy,28,P,skipped_no_contracts_at_bar
2025-05-01,1,strategy,28,P,skipped_no_contracts_at_bar
2025-05-01,1,strategy,29,P,skipped_no_contracts_at_bar
2025-05-01,1,strategy,31,P,skipped_context_spread
2025-05-02,1,strategy,15,C,skipped_no_contracts_at_bar
2025-05-05,1,strategy,26,C,skipped_no_contracts_at_bar
2025-05-05,1,strategy,27,C,skipped_no_contracts_at_bar
2025-05-05,1,strategy,30,C,skipped_context_spread
2025-05-06,1,strategy,17,P,skipped_no_contracts_at_bar
2025-05-06,1,strategy,19,P,skipped_no_contracts_at_bar
2025-05-06,1,strategy,20,P,skipped_no_contracts_at_bar
2025-05-06,1,strategy,21,P,gated_iv_percentile
2025-05-06,1,strategy,22,P,gated_iv_percentile
2025-05-06,1,strategy,23,P,gated_iv_percentile
2025-05-07,1,strategy,19,P,gated_vrp
2025-05-07,1,strategy,20,P,gated_vrp
2025-05-09,1,strategy,28,C,skipped_no_contracts_at_bar
2025-05-12,1,strategy,23,C,skipped_no_contracts_at_bar
2025-05-12,1,strategy,24,C,skipped_no_contracts_at_bar
2025-05-15,1,strategy,40,P,skipped_context_spread
2025-05-16,1,strategy,30,P,skipped_context_spread
2025-05-20,1,strategy,23,C,skipped_no_contracts_at_bar
2025-05-22,1,strategy,16,P,skipped_no_contracts_at_bar
2025-05-22,1,strategy,18,P,skipped_no_contracts_at_bar
2025-05-23,1,strategy,15,P,skipped_no_contracts_at_bar
2025-05-23,1,strategy,16,P,skipped_no_contracts_at_bar
2025-05-23,1,strategy,17,P,skipped_no_contracts_at_bar
2025-05-27,1,strategy,15,C,skipped_no_contracts_at_bar
2025-05-27,1,strategy,16,C,skipped_no_contracts_at_bar
2025-05-27,1,strategy,17,C,skipped_no_contracts_at_bar
2025-05-28,1,strategy,17,P,skipped_no_contracts_at_bar
2025-05-28,1,strategy,18,P,skipped_no_contracts_at_bar
2025-05-28,1,strategy,19,P,gated_iv_percentile
2025-05-28,1,strategy,20,P,gated_iv_percentile
2025-05-28,1,strategy,23,P,gated_iv_percentile
2025-06-02,1,strategy,16,P,skipped_no_contracts_at_bar
2025-06-02,1,strategy,19,P,skipped_no_contracts_at_bar
2025-06-05,1,strategy,71,C,skipped_context_spread
2025-06-11,1,strategy,22,C,skipped_no_contracts_at_bar
2025-06-11,1,strategy,23,C,skipped_no_contracts_at_bar
2025-06-11,1,strategy,25,C,skipped_no_contracts_at_bar
2025-04-29,1,control_A,23,P,skipped_no_contracts_at_bar
2025-05-08,1,control_A,45,C,gated_iv_percentile
2025-05-12,1,control_A,17,P,skipped_no_contracts_at_bar
2025-05-21,1,control_A,120,C,zero_hold
2025-06-06,1,control_A,17,C,skipped_no_contracts_at_bar
2025-04-21,1,control_B,30,C,gated_iv_percentile
2025-04-30,1,control_B,57,P,gated_vrp
2025-04-25,1,control_B,33,C,gated_vrp
2025-04-17,1,control_B,33,C,gated_vrp
2025-04-11,1,control_B,40,C,gated_vrp
2025-04-28,1,control_B,82,P,skipped_context_spread
2025-04-07,1,control_B,88,P,gated_vrp
2025-04-24,1,control_B,92,C,gated_vrp
2025-04-09,1,control_B,70,C,gated_vrp
2025-04-23,1,control_B,85,C,gated_vrp
2025-06-20,2,strategy,18,P,skipped_context_spread
2025-06-20,2,strategy,19,P,skipped_no_contracts_at_bar
2025-06-20,2,strategy,20,P,skipped_no_contracts_at_bar
2025-06-20,2,strategy,21,P,skipped_no_contracts_at_bar
2025-06-20,2,strategy,23,P,skipped_no_contracts_at_bar
2025-06-24,2,strategy,24,P,skipped_no_contracts_at_bar
2025-06-24,2,strategy,25,P,skipped_no_contracts_at_bar
2025-06-24,2,strategy,26,P,gated_iv_percentile
2025-06-24,2,strategy,27,P,skipped_no_contracts_at_bar
2025-06-24,2,strategy,28,P,gated_iv_percentile
2025-06-26,2,strategy,28,C,skipped_no_contracts_at_bar
2025-06-26,2,strategy,29,C,skipped_no_contracts_at_bar
2025-06-26,2,strategy,30,C,skipped_context_spread
2025-07-11,2,strategy,19,C,skipped_no_contracts_at_bar
2025-07-11,2,strategy,20,C,skipped_no_contracts_at_bar
2025-07-11,2,strategy,22,C,skipped_no_contracts_at_bar
2025-07-11,2,strategy,24,C,skipped_no_contracts_at_bar
2025-07-11,2,strategy,25,C,skipped_no_contracts_at_bar
2025-07-11,2,strategy,26,C,skipped_no_contracts_at_bar
2025-07-14,2,strategy,18,C,skipped_context_spread
2025-07-14,2,strategy,19,C,skipped_no_contracts_at_bar
2025-07-14,2,strategy,21,C,skipped_no_contracts_at_bar
2025-07-14,2,strategy,24,C,skipped_no_contracts_at_bar
2025-07-14,2,strategy,31,P,gated_iv_percentile
2025-07-16,2,strategy,106,P,gated_iv_percentile
2025-07-16,2,strategy,107,P,gated_iv_percentile
2025-07-16,2,strategy,108,P,gated_iv_percentile
2025-07-16,2,strategy,109,P,gated_iv_percentile
2025-07-16,2,strategy,111,P,gated_iv_percentile
2025-07-16,2,strategy,114,P,gated_iv_percentile
2025-07-22,2,strategy,16,P,gated_iv_percentile
2025-07-22,2,strategy,17,P,gated_iv_percentile
2025-07-22,2,strategy,18,P,gated_iv_percentile
2025-07-22,2,strategy,19,P,gated_iv_percentile
2025-07-31,2,strategy,23,C,skipped_no_contracts_at_bar
2025-08-05,2,strategy,27,P,skipped_no_contracts_at_bar
2025-08-06,2,strategy,65,C,skipped_context_spread
2025-08-06,2,strategy,66,C,skipped_context_spread
2025-08-07,2,strategy,26,C,skipped_no_contracts_at_bar
2025-08-07,2,strategy,27,C,skipped_no_contracts_at_bar
