policy,starting_cash,ending_cash,total_pnl,return_on_starting_cash,candidate_trades,taken_trades,skipped_trades,skip_counts,total_contracts,max_quantity,max_drawdown,max_drawdown_pct,worst_day_pnl,best_day_pnl,min_cash,risk_of_ruin,longest_recovery_trades,policy_kind,stress_per_side,max_drawdown_pct_start,worst_day_pct_start,return_over_max_drawdown,return_over_worst_day,baseline_total_pnl,incremental_pnl,total_improved,drawdown_pct_ok,worst_day_pct_ok,passes_cash_level_gate
always_on_account_aware_sizer,50000.0,413700.0,363700.0,7.274,1028,969,59,{'daily_loss_stop': 59},1201,3,-5000.0,-0.034095,-1840.0,10760.0,49790.0,False,37,candidate,0.0,0.1,0.0368,72.74,197.663043,319050.0,44650.0,True,True,True,True
one_contract_baseline,50000.0,317650.0,267650.0,5.353,1028,1028,0,{},1028,1,-4640.0,-0.053536,-2280.0,8970.0,49640.0,False,53,baseline,0.25,0.0928,0.0456,57.68319,117.390351,,,,,,
always_on_account_aware_sizer,50000.0,348410.0,298410.0,5.9682,1028,963,65,{'daily_loss_stop': 65},1167,3,-5040.0,-0.053093,-1890.0,10360.0,49640.0,False,45,candidate,0.25,0.1008,0.0378,59.208333,157.888889,267650.0,30760.0,True,True,True,True
one_contract_baseline,50000.0,266250.0,216250.0,4.325,1028,1028,0,{},1028,1,-6540.0,-0.08173,-2480.0,8670.0,49490.0,False,57,baseline,0.5,0.1308,0.0496,33.065749,87.197581,,,,,,
always_on_account_aware_sizer,50000.0,277350.0,227350.0,4.547,1028,951,77,{'daily_loss_stop': 77},1113,3,-6400.0,-0.083453,-1940.0,9960.0,49490.0,False,49,candidate,0.5,0.128,0.0388,35.523438,117.190722,216250.0,11100.0,True,True,True,True
one_contract_baseline,100000.0,419050.0,319050.0,3.1905,1028,1028,0,{},1028,1,-2790.0,-0.01946,-2080.0,9270.0,99790.0,False,42,baseline,0.0,0.0279,0.0208,114.354839,153.389423,,,,,,
always_on_account_aware_sizer,100000.0,463700.0,363700.0,3.637,1028,969,59,{'daily_loss_stop': 59},1201,3,-5000.0,-0.021896,-1840.0,10760.0,99790.0,False,37,candidate,0.0,0.05,0.0184,72.74,197.663043,319050.0,44650.0,True,True,True,True
one_contract_baseline,100000.0,367650.0,267650.0,2.6765,1028,1028,0,{},1028,1,-4640.0,-0.03395,-2280.0,8970.0,99640.0,False,53,baseline,0.25,0.0464,0.0228,57.68319,117.390351,,,,,,
always_on_account_aware_sizer,100000.0,400340.0,300340.0,3.0034,1028,963,65,{'daily_loss_stop': 65},1174,3,-5040.0,-0.033171,-1890.0,10360.0,99640.0,False,45,candidate,0.25,0.0504,0.0189,59.59127,158.910053,267650.0,32690.0,True,True,True,True
one_contract_baseline,100000.0,316250.0,216250.0,2.1625,1028,1028,0,{},1028,1,-6540.0,-0.0503,-2480.0,8670.0,99490.0,False,57,baseline,0.5,0.0654,0.0248,33.065749,87.197581,,,,,,
always_on_account_aware_sizer,100000.0,330980.0,230980.0,2.3098,1028,953,75,{'daily_loss_stop': 75},1132,3,-6340.0,-0.050043,-1940.0,9960.0,99490.0,False,45,candidate,0.5,0.0634,0.0194,36.432177,119.061856,216250.0,14730.0,True,True,True,True
