fold_id,evidence_grade,split,gate,strategy,v_sel_n,v_sel_mean,v_sel_winsor600_mean,v_sel_trim10_mean,v_sel_median,v_sel_share_positive,v_sel_sum,v_sel_top5pct_contribution_share,v_sel_mean_without_top_session,v_sel_winsor600_mean_boot_ci_low,v_sel_winsor600_mean_boot_ci_high,return_on_premium_mean,return_on_premium_median
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_near_vwap,all_gated_parallel,326,20.337423312883434,14.325153374233128,3.6259541984732824,-20.0,0.4539877300613497,6630.0,1.7631975867269984,-0.54421768707483,-36.56357388316151,70.05483465035721,0.03033182503098766,-0.0318573607090922
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_near_vwap,gate_first_eligible,26,-55.0,-66.92307692307692,-80.45454545454545,-115.0,0.38461538461538464,-1430.0,-1.1118881118881119,-100.43478260869566,-190.05,40.398214285714246,-0.03660245348147933,-0.09913564296014313
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_near_vwap,slot_schedule_3win,23,-7.391304347826087,-13.043478260869565,-10.526315789473685,-10.0,0.4782608695652174,-170.0,-7.352941176470588,-65.0,-178.97619047619048,128.7082608695652,0.03958192579957327,-0.007194244801754432
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_near_vwap,attempt130_serial,17,22.941176470588236,10.588235294117647,10.0,-60.0,0.47058823529411764,390.0,2.076923076923077,-15.714285714285714,-74.71918767507003,102.3552631578947,0.02165153777229099,-0.055045873486085715
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_near_vwap,attempt130_topk_parallel,17,-58.23529411764706,-58.23529411764706,-74.66666666666667,-110.0,0.4117647058823529,-990.0,-0.5555555555555556,-110.0,-194.75,102.3552631578947,-0.04781799549829704,-0.1157024756911577
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_premium_gte_7_5,all_gated_parallel,683,27.11566617862372,-8.711566617862372,-7.586837294332724,-60.0,0.44363103953147875,18520.0,2.629049676025918,-24.975206611570247,-138.9154416297827,111.5059809075322,0.025716750510745318,-0.03652968100159669
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_premium_gte_7_5,gate_first_eligible,23,-21.304347826086957,-80.43478260869566,-74.73684210526316,-130.0,0.30434782608695654,-490.0,-4.918367346938775,-70.47619047619048,-254.79761904761904,56.94230769230767,-0.03136465152599234,-0.09701492813494464
march2026_current_split,provisional_current_march_splits_only,validation,put_near_after_0940_vwap_m2_10_premium_gte_7_5,slot_schedule_3win,22,5.909090909090909,-70.45454545454545,-51.111111111111114,-210.0,0.3181818181818182,130.0,18.53846153846154,-43.0,-239.10047846889952,58.80499999999999,-0.02461503095274761,-0.14462837914433768
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_premium_gte_7_5,all_gated_parallel,856,37.07943925233645,21.156542056074766,20.058309037900873,0.0,0.4976635514018692,31740.0,1.3686200378071833,21.123737373737374,-32.40313117588933,68.31973818711508,0.025087759907050932,0.0
march2026_current_split,provisional_current_march_splits_only,diagnostic_test,put_near_after_0940_vwap_m2_10_premium_gte_7_5,gate_first_eligible,25,-76.0,-99.2,-118.0952380952381,-170.0,0.4,-1900.0,-1.1368421052631579,-131.36363636363637,-241.92532467532467,13.861111111111098,-0.04366137031122374,-0.11724137931034483
