stress_per_side,policy,group_type,group,total_pnl,taken_trades,skipped_trades,total_contracts,worst_trade
0.1,slow_growth_two_contract,month,2025-09,32140.0,98,2,136,-1630.0
0.1,slow_growth_two_contract,month,2025-10,35850.0,107,0,112,-560.0
0.1,slow_growth_two_contract,month,2025-11,43190.0,104,0,107,-1010.0
0.1,slow_growth_two_contract,month,2025-12,15590.0,80,3,81,-1580.0
0.1,slow_growth_two_contract,month,2026-01,21650.0,65,3,71,-1250.0
0.1,slow_growth_two_contract,month,2026-02,27050.0,67,4,76,-2100.0
0.1,slow_growth_two_contract,month,2026-03,37110.0,95,15,100,-1860.0
0.1,lower_two_contract_threshold,month,2024-10,14890.0,67,12,67,-1040.0
0.1,lower_two_contract_threshold,month,2024-11,17330.0,66,5,71,-1170.0
0.1,lower_two_contract_threshold,month,2024-12,13720.0,56,5,59,-1550.0
0.1,lower_two_contract_threshold,month,2025-07,26380.0,83,2,127,-1280.0
0.1,lower_two_contract_threshold,month,2025-08,28250.0,80,9,108,-1440.0
0.1,lower_two_contract_threshold,month,2025-09,39490.0,98,2,160,-1630.0
0.1,lower_two_contract_threshold,month,2025-10,35790.0,107,0,114,-560.0
0.1,lower_two_contract_threshold,month,2025-11,42660.0,104,0,109,-1560.0
0.1,lower_two_contract_threshold,month,2025-12,16700.0,80,3,84,-1580.0
0.1,lower_two_contract_threshold,month,2026-01,24260.0,65,3,76,-1250.0
0.1,lower_two_contract_threshold,month,2026-02,27910.0,67,4,81,-3000.0
0.1,lower_two_contract_threshold,month,2026-03,39170.0,95,15,106,-1860.0
0.25,one_contract_baseline,month,2024-10,18810.0,79,0,79,-1070.0
0.25,one_contract_baseline,month,2024-11,16760.0,71,0,71,-1200.0
0.25,one_contract_baseline,month,2024-12,12160.0,61,0,61,-1580.0
0.25,one_contract_baseline,month,2025-07,15280.0,85,0,85,-1310.0
0.25,one_contract_baseline,month,2025-08,20080.0,89,0,89,-1470.0
0.25,one_contract_baseline,month,2025-09,19680.0,100,0,100,-1660.0
0.25,one_contract_baseline,month,2025-10,29630.0,107,0,107,-590.0
0.25,one_contract_baseline,month,2025-11,39380.0,104,0,104,-1040.0
0.25,one_contract_baseline,month,2025-12,13310.0,83,0,83,-1610.0
0.25,one_contract_baseline,month,2026-01,18450.0,68,0,68,-1280.0
0.25,one_contract_baseline,month,2026-02,27820.0,71,0,71,-1530.0
0.25,one_contract_baseline,month,2026-03,36290.0,110,0,110,-1890.0
0.25,high_conviction_profit_cushion,month,2024-10,12880.0,67,12,67,-1070.0
0.25,high_conviction_profit_cushion,month,2024-11,15030.0,66,5,69,-1220.0
0.25,high_conviction_profit_cushion,month,2024-12,11440.0,56,5,57,-1580.0
0.25,high_conviction_profit_cushion,month,2025-07,21440.0,83,2,118,-1310.0
0.25,high_conviction_profit_cushion,month,2025-08,23130.0,79,10,101,-1470.0
0.25,high_conviction_profit_cushion,month,2025-09,30630.0,98,2,149,-1660.0
0.25,high_conviction_profit_cushion,month,2025-10,32230.0,107,0,110,-590.0
0.25,high_conviction_profit_cushion,month,2025-11,39380.0,104,0,104,-1040.0
0.25,high_conviction_profit_cushion,month,2025-12,13560.0,80,3,82,-1610.0
0.25,high_conviction_profit_cushion,month,2026-01,17850.0,65,3,68,-1280.0
0.25,high_conviction_profit_cushion,month,2026-02,25430.0,66,5,74,-2160.0
0.25,high_conviction_profit_cushion,month,2026-03,31790.0,91,19,93,-1890.0
0.25,slow_growth_two_contract,month,2024-10,12870.0,59,20,59,-1070.0
0.25,slow_growth_two_contract,month,2024-11,15270.0,66,5,66,-1200.0
0.25,slow_growth_two_contract,month,2024-12,11980.0,56,5,58,-1580.0
0.25,slow_growth_two_contract,month,2025-07,22430.0,83,2,113,-1310.0
0.25,slow_growth_two_contract,month,2025-08,20590.0,79,10,101,-1470.0
0.25,slow_growth_two_contract,month,2025-09,27770.0,98,2,134,-1660.0
0.25,slow_growth_two_contract,month,2025-10,32490.0,107,0,112,-590.0
0.25,slow_growth_two_contract,month,2025-11,40210.0,104,0,106,-1040.0
0.25,slow_growth_two_contract,month,2025-12,13160.0,80,3,81,-1610.0
0.25,slow_growth_two_contract,month,2026-01,19520.0,65,3,71,-1280.0
0.25,slow_growth_two_contract,month,2026-02,24250.0,66,5,74,-2160.0
0.25,slow_growth_two_contract,month,2026-03,34050.0,91,19,96,-1890.0
0.25,lower_two_contract_threshold,month,2024-10,12880.0,67,12,67,-1070.0
0.25,lower_two_contract_threshold,month,2024-11,15030.0,66,5,69,-1220.0
0.25,lower_two_contract_threshold,month,2024-12,11980.0,56,5,58,-1580.0
0.25,lower_two_contract_threshold,month,2025-07,22470.0,83,2,125,-1310.0
0.25,lower_two_contract_threshold,month,2025-08,24650.0,79,10,105,-1470.0
0.25,lower_two_contract_threshold,month,2025-09,34400.0,98,2,158,-1660.0
0.25,lower_two_contract_threshold,month,2025-10,32370.0,107,0,114,-590.0
0.25,lower_two_contract_threshold,month,2025-11,39620.0,104,0,108,-1620.0
0.25,lower_two_contract_threshold,month,2025-12,14180.0,80,3,84,-1610.0
