Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + position state + curriculum learning
Training from scratch (v4: no warm-start).
Curriculum stages: 3 x 33% each

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

Starting curriculum stage 0: Conservative (OTM-only)
step 02200 ( 20.4%) | loss: 1.300469 | trade:0.42 call:0.63 put:0.37 | ATM:0.44 OTM:0.56 | stage:0 | lr: 1.50e-04 | left: 191s
step 02250 ( 20.6%) | loss: 1.279186 | trade:0.39 call:0.68 put:0.32 | ATM:0.59 OTM:0.41 | stage:0 | lr: 1.50e-04 | left: 190s
step 02300 ( 20.8%) | loss: 1.263455 | trade:0.36 call:0.62 put:0.38 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 190s
step 02350 ( 21.1%) | loss: 1.266379 | trade:0.40 call:0.71 put:0.29 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 189s
step 02400 ( 21.3%) | loss: 1.258460 | trade:0.34 call:0.74 put:0.26 | ATM:0.50 OTM:0.50 | stage:0 | lr: 1.50e-04 | left: 189s
step 02450 ( 21.5%) | loss: 1.282770 | trade:0.44 call:0.69 put:0.31 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 188s
step 02500 ( 21.7%) | loss: 1.277922 | trade:0.44 call:0.59 put:0.41 | ATM:0.53 OTM:0.47 | stage:0 | lr: 1.50e-04 | left: 188s
step 02550 ( 21.9%) | loss: 1.251524 | trade:0.38 call:0.65 put:0.35 | ATM:0.49 OTM:0.51 | stage:0 | lr: 1.50e-04 | left: 187s
step 02600 ( 22.2%) | loss: 1.261058 | trade:0.36 call:0.58 put:0.42 | ATM:0.51 OTM:0.49 | stage:0 | lr: 1.50e-04 | left: 187s
step 02650 ( 22.4%) | loss: 1.241919 | trade:0.40 call:0.66 put:0.34 | ATM:0.56 OTM:0.44 | stage:0 | lr: 1.50e-04 | left: 186s
