day,side,action_id,base_bar,base_pnl,base_hl,h3a_bar,h3a_pnl,h3a_hl
2024-01-17,call,1,170,-439.4772644042969,-501.66786242344165,170,-439.4772644042969,-501.66786242344165
2024-01-18,put,13,140,-434.1273193359375,-500.48532565617904,185,459.5690002441406,496.71259017968157
2024-01-19,put,13,140,-750.4118041992188,-901.8943311625637,145,-799.4357299804688,-955.9263507382838
2024-01-23,put,19,-1,,,-1,,
2024-01-24,put,19,135,-239.74215698242188,-286.6573592453671,105,-30.25684928894043,-59.72657316255197
2024-01-25,call,1,150,-13.407017707824707,-24.02689148326859,180,-640.2948608398438,-717.8899326229397
2024-01-26,call,2,125,-129.3500213623047,-211.14309720435762,170,-124.4000015258789,-205.68590319643445
2024-01-29,call,6,191,498.1199645996094,542.626909200298,195,292.1999816894531,314.8933691310663
2024-01-30,call,6,251,-74.69999694824219,-98.96693861616025,250,-103.40999603271484,-130.56284660345824
2024-02-01,put,13,150,-542.662353515625,-623.6673918420925,150,-542.662353515625,-623.6673918420925
2024-02-02,call,1,190,2216.83837890625,2424.024561207596,190,2216.83837890625,2424.024561207596
2024-02-08,call,6,115,-102.60002136230469,-121.89091648988887,259,24.12005043029785,13.692020698989626
2024-02-09,call,6,140,-254.4999237060547,-288.19076928679704,260,220.6999969482422,226.8156566685246
2024-02-12,put,18,220,-737.0,-886.5381009221187,220,-737.0,-886.5381009221187
2024-02-14,call,1,130,-249.77996826171875,-354.2156784404956,130,-249.77996826171875,-354.2156784404956
2024-02-27,put,13,210,327.63287353515625,334.2162973819176,210,327.63287353515625,334.2162973819176
2024-03-25,call,6,255,-26.034738540649414,-44.924277775074636,247,-99.17852020263672,-124.98423499037037
2024-06-10,put,13,-1,,,-1,,
2024-06-24,put,13,222,1478.0399169921875,1619.8237834553374,222,1478.0399169921875,1619.8237834553374
2024-06-28,put,13,175,2521.669921875,2767.6471864432556,175,2521.669921875,2767.6471864432556
2024-07-01,put,13,155,-298.7857666015625,-340.2068431581929,156,-328.4119873046875,-372.87568593163047
2024-07-02,put,13,111,187.1199951171875,201.00215618490301,111,187.1199951171875,201.00215618490301
2024-07-03,call,4,180,864.7481689453125,946.487012537951,191,756.1432495117188,826.3086783908125
2024-07-05,call,6,235,735.7999877929688,791.9360149062906,253,1087.8333740234375,1177.4533471260972
2024-07-11,put,13,155,372.2039489746094,397.17434349395336,155,372.2039489746094,397.17434349395336
2024-07-12,put,13,115,-263.1389465332031,-306.7869821372548,115,-263.1389465332031,-306.7869821372548
2024-07-15,put,13,170,1519.120849609375,1633.6334232446004,135,696.4108276367188,735.3066734322142
2024-07-19,put,13,145,-386.008544921875,-445.8994895156123,145,-386.008544921875,-445.8994895156123
2024-07-22,put,13,210,-42.75206756591797,-71.92990198652798,155,1692.565673828125,1844.5467911005487
2024-07-23,put,14,207,1634.1807861328125,1765.493822584715,115,1.7555949687957764,-17.681849242636453
2024-07-24,put,16,160,904.81982421875,989.0043805248564,118,579.2245483398438,629.5580802162899
2024-07-25,put,16,145,49.6220588684082,30.503914085651658,117,282.9332580566406,287.39142707205593
2024-07-26,put,16,184,-883.2827758789062,-988.4830620879932,185,-848.88525390625,-950.5612037925473
2024-07-30,put,13,175,1108.934326171875,1208.8027587747201,155,925.278076171875,1006.7808837747201
2024-07-31,put,16,210,202.30001831054688,214.24747985147243,160,123.0999984741211,127.17270375739919
2024-08-01,put,16,150,3879.427490234375,4255.638821765504,150,3879.427490234375,4255.638821765504
2024-08-06,put,24,193,-547.1740112304688,-645.7270527644345,120,307.5979309082031,353.4320399017384
2024-08-07,put,16,172,1432.4901123046875,1581.581402249978,172,1432.4901123046875,1581.581402249978
2024-08-08,put,16,119,174.38998413085938,186.98833754019995,119,174.38998413085938,186.98833754019995
2024-08-09,put,17,188,-50.7139892578125,-76.09959850611088,185,135.21942138671875,126.55444305094402
2024-08-13,put,18,165,-555.124755859375,-634.7446144849739,150,-312.45111083984375,-364.4944188950414
2024-08-16,put,16,155,-425.7584228515625,-486.474056843502,155,-425.7584228515625,-486.474056843502
2024-08-23,put,18,200,1790.711669921875,1948.3448284453768,117,2.041166305541992,-28.369246656303375
2024-08-29,put,13,171,-684.763916015625,-768.6218433108679,137,-183.97227478027344,-218.14849313963364
2024-09-04,put,13,105,474.2247619628906,513.9432528667703,99,277.4460144042969,295.3969451049545
2024-09-05,put,16,173,3786.873046875,4204.68799617103,157,3713.157958984375,4123.822546222716
2024-09-10,put,16,200,-51.9268684387207,-82.53816051060403,193,250.24180603027344,253.23608115012556
2024-09-13,put,17,65,329.634521484375,321.3012897694676,58,-38.53450393676758,-78.6064447397045
2024-09-17,call,1,190,-742.2555541992188,-868.8285837631572,190,-742.2555541992188,-868.8285837631572
2024-09-23,call,2,234,-687.7354736328125,-789.7685150090418,160,-212.9417724609375,-251.43422010176994
2024-09-27,put,14,210,541.0330810546875,580.1327563816114,210,541.0330810546875,580.1327563816114
2024-09-30,call,1,235,-312.3280944824219,-358.961141043187,222,-431.015625,-489.8550479601864
2024-10-09,call,1,260,255.78001403808594,267.5554828206181,260,255.78001403808594,267.5554828206181
2024-10-10,call,1,190,556.529541015625,602.4328257787998,190,556.529541015625,602.4328257787998
2024-10-14,put,13,210,-572.8399658203125,-643.3961717575568,210,-572.8399658203125,-643.3961717575568
2024-10-21,put,14,200,1416.871826171875,1521.374556634899,100,2804.2275390625,3041.115112086565
2024-10-23,call,2,150,-428.8999938964844,-485.338629394431,200,-839.75,-944.5561361915279
2024-10-24,call,1,135,-386.06610107421875,-446.2927630464107,135,-386.06610107421875,-446.2927630464107
2024-10-28,call,1,220,-787.38037109375,-892.0540685281316,220,-787.38037109375,-892.0540685281316
2024-11-05,call,1,220,739.5328369140625,788.5828022593174,220,739.5328369140625,788.5828022593174
