seed,day,side,bar_index,pred_dollar_score,pred_return_score,pred_win_prob,pred_clean_entry_prob,pred_stopout_risk,decision_margin,sigma_pos,iv_percentile,hl,sigma_b,iv_b,cell_id
45,2025-09-04,put,107,0.21193364262580872,0.3537593185901642,0.5010079741477966,0.3277091979980469,0.18983455002307892,0.5623430013656616,2.040034294128418,0.19025641679763794,-330.63089224374573,2,1,7
45,2025-09-05,put,107,0.01254979521036148,0.3060981333255768,0.4441840350627899,0.2455441653728485,0.27456775307655334,0.3920232355594635,-1.0904037952423096,0.9014957547187805,-281.6903288621345,0,2,2
45,2025-09-08,put,116,0.2828948199748993,0.39541903138160706,0.530330240726471,0.3615855872631073,0.1511974036693573,0.7619038820266724,1.643576741218567,0.06987179815769196,1037.466973930112,2,0,6
45,2025-09-09,call,116,0.09634675830602646,0.3250964879989624,0.503144383430481,0.3349425792694092,0.15473046898841858,0.6265541911125183,0.16674070060253143,0.12901709973812103,746.2686688786195,1,0,3
45,2025-09-10,put,117,-0.14889611303806305,0.2048008143901825,0.4649987518787384,0.2950134575366974,0.22751417756080627,0.44354236125946045,-1.4419387578964233,0.36606836318969727,227.82193223043055,0,1,1
45,2025-09-11,put,107,0.22107261419296265,0.37432795763015747,0.49707984924316406,0.31328442692756653,0.1911274790763855,0.5886598229408264,1.8022680282592773,0.39376068115234375,-208.48893211659905,2,1,7
45,2025-09-12,call,106,0.02170705795288086,0.32602062821388245,0.5144108533859253,0.34362006187438965,0.12978680431842804,0.7538447976112366,1.7211226224899292,0.02470085397362709,-343.89808658408987,2,0,6
45,2025-09-15,call,118,0.11806007474660873,0.3606797754764557,0.527385413646698,0.3607012927532196,0.1235281378030777,0.7933107614517212,0.36798185110092163,0.056196581572294235,-245.8928409986691,1,0,3
45,2025-09-16,call,110,0.057323016226291656,0.32748594880104065,0.5102030634880066,0.3390594720840454,0.1456315666437149,0.7093042135238647,-0.7988765239715576,0.10944444686174393,-5.482416915980236,0,0,0
45,2025-09-17,put,113,0.28918221592903137,0.40354910492897034,0.4566758871078491,0.2551214396953583,0.26899954676628113,0.4350229501724243,-0.8937087655067444,0.9967948794364929,101.50197289096039,0,2,2
45,2025-09-18,put,108,0.33179521560668945,0.4014836847782135,0.49831387400627136,0.3169505298137665,0.21058069169521332,0.54552161693573,0.9261837601661682,0.5070940256118774,990.8892607170367,1,1,4
45,2025-09-19,put,99,0.012847274541854858,0.27838611602783203,0.47383660078048706,0.2979632616043091,0.2165313959121704,0.4778096675872803,-2.012171506881714,0.47431623935699463,18.00123338566312,0,1,1
45,2025-09-22,call,56,0.06518722325563431,0.373039573431015,0.5449119806289673,0.37520766258239746,0.10069597512483597,0.934685230255127,1.6005820035934448,0.0371367521584034,2302.198569861781,2,0,6
45,2025-09-23,call,118,0.12826049327850342,0.35189831256866455,0.5108553171157837,0.33967649936676025,0.14606818556785583,0.7006113529205322,-1.9264347553253174,0.2019658088684082,-485.5012757432446,0,1,1
45,2025-09-26,put,117,0.00018324702978134155,0.2605768144130707,0.45956504344940186,0.28350114822387695,0.2517378330230713,0.39304396510124207,-0.19749562442302704,0.7815384864807129,-173.87069960172383,1,2,5
45,2025-09-29,put,111,0.039489731192588806,0.28771570324897766,0.4850861728191376,0.31103938817977905,0.20522408187389374,0.5271544456481934,-2.0680155754089355,0.39482906460762024,-303.7952559889684,0,1,1
45,2025-10-01,put,115,0.051634542644023895,0.29213979840278625,0.4750930666923523,0.300342857837677,0.21270614862442017,0.4660007953643799,1.7000724077224731,0.38064101338386536,-370.3890549915824,2,1,7
45,2025-10-02,put,91,0.038298338651657104,0.28346410393714905,0.4651331305503845,0.28842052817344666,0.23539064824581146,0.42191651463508606,-1.991562008857727,0.6039316058158875,-441.9596928130106,0,2,2
45,2025-10-03,put,118,0.09199952334165573,0.31884506344795227,0.4959011375904083,0.32039308547973633,0.1847677379846573,0.5817131400108337,0.8565295338630676,0.24089743196964264,-545.5046516413039,1,1,4
45,2025-10-06,call,117,0.22326022386550903,0.3875481188297272,0.5188871026039124,0.34745582938194275,0.13818535208702087,0.7371518611907959,1.7224764823913574,0.09598290920257568,535.419493234429,2,0,6
45,2025-10-07,put,98,0.25999918580055237,0.3831169009208679,0.47292038798332214,0.2807192802429199,0.2379435896873474,0.4383597671985626,-2.359724998474121,0.7984615564346313,6.276350876047388,0,2,2
45,2025-10-08,put,115,0.22304630279541016,0.37772324681282043,0.5254260897636414,0.3535340428352356,0.14859996736049652,0.7357474565505981,1.8901413679122925,0.12589743733406067,46.68549354499937,2,0,6
45,2025-10-09,put,64,0.0816483423113823,0.3155573904514313,0.4676719903945923,0.27882206439971924,0.2334139049053192,0.4409804046154022,-2.0120091438293457,0.5937606692314148,-252.28796920105816,0,2,2
45,2025-10-10,put,119,0.4846181869506836,0.5218313932418823,0.47867220640182495,0.2488083392381668,0.2658318281173706,0.5081048607826233,-1.6236857175827026,0.9917948842048645,-938.1943040276814,0,2,2
