day,bar_index,window_idx,rule,pnl,pred_score,label,v0_pnl,v1_pnl
2024-01-22,65,4,V0,-281.91121423066915,0.00098889355445627,0.0,-281.91121423066915,-281.91121423066915
2024-01-23,52,4,V0,-277.60003815740345,0.00028175569118230287,0.0,-277.60003815740345,-277.60003815740345
2024-01-24,37,4,V0,-516.4349710227071,0.01625392822673154,0.0,-516.4349710227071,-516.4349710227071
2024-01-25,77,4,V0,950.1799704764784,0.0006537789485601222,0.0,950.1799704764784,950.1799704764784
2024-01-26,45,4,V0,-14.929687688127146,0.00032549895803969637,0.0,-14.929687688127146,-14.929687688127146
2024-01-29,53,4,V0,-674.055518604815,0.00017698340949052785,0.0,-674.055518604815,-674.055518604815
2024-01-30,31,4,V0,-539.5590725779196,0.0004253173427027572,0.0,-539.5590725779196,-539.5590725779196
2024-01-31,111,4,V0,-56.5399651928246,0.00029832525747243904,0.0,-56.5399651928246,-56.5399651928246
2024-02-01,34,4,V1,-1036.0949384983312,0.9596669144408071,0.0,1127.9392052225444,-1036.0949384983312
2024-02-02,31,4,V0,-1043.8971772466864,0.005374544543830745,0.0,-1043.8971772466864,-1043.8971772466864
2024-02-05,36,4,V0,-737.5217387676239,0.0025695199815861723,0.0,-737.5217387676239,-737.5217387676239
2024-02-06,92,4,V0,-683.6999804519116,0.0007227273807016669,0.0,-683.6999804519116,-683.6999804519116
2024-02-07,39,4,V0,1265.8201957344418,0.011616937850290467,0.0,1265.8201957344418,-1060.6281743249515
2024-02-08,115,4,V0,-575.8750383108854,3.4468368857772365e-05,0.0,-575.8750383108854,-575.8750383108854
2024-02-09,30,4,V0,550.6990083065426,0.0008496551278172872,0.0,550.6990083065426,-885.8087647511003
2024-02-12,35,4,V0,-707.4999614842236,0.0008752548243264729,0.0,-707.4999614842236,-707.4999614842236
2024-02-13,42,4,V0,-475.74763327467946,0.06751827343498032,0.0,-475.74763327467946,-475.74763327467946
2024-02-14,30,4,V0,-111.72172166219224,4.043867926276506e-05,0.0,-111.72172166219224,-111.72172166219224
2024-02-15,59,4,V0,-907.876230719382,0.08566878715747132,0.0,-907.876230719382,-907.876230719382
2024-02-16,51,4,V0,-1007.875001033768,0.3985329132298643,0.0,-1007.875001033768,-1007.875001033768
2024-02-20,120,4,V0,538.6324282977732,4.25348604049165e-05,0.0,538.6324282977732,538.6324282977732
2024-02-21,117,4,V0,224.00003781169653,1.3360834695068757e-05,0.0,224.00003781169653,224.00003781169653
2024-02-22,30,4,V0,1125.1140514165818,0.0003291595956942411,0.0,1125.1140514165818,-1076.7759033487146
2024-02-23,56,4,V0,492.75007543712854,3.9917914939501e-05,0.0,492.75007543712854,492.75007543712854
2024-02-26,110,4,V0,238.17998841747644,0.0004986530547131418,0.0,238.17998841747644,238.17998841747644
2024-02-27,32,4,V0,99.4833520586292,0.00014899103077987787,0.0,99.4833520586292,99.4833520586292
2024-02-28,57,4,V0,-899.5740831554349,7.844787229830748e-05,0.0,-899.5740831554349,-899.5740831554349
2024-02-29,36,4,V0,2.9702514075315776,0.019429404769675345,0.0,2.9702514075315776,2.9702514075315776
