session,status,neural_rows,expected_decision_minutes,early_close_session,report_only_reason,ladder_shape_ok_share,tradable_minute_share,mean_tradable_candidates,min_tradable_candidates,near_atm_tradable_share,label_total_cell_count,label_candidate_cell_count,label_finite_share,label_nonzero_share,label_positive_share,label_negative_share,label_spot_sample_count,label_spot_match_count,label_spot_mismatch_count,entry_quote_match_count,entry_quote_mismatch_count,entry_quote_missing_count,entry_quote_match_share,entry_quote_sweep_match_count,entry_quote_sweep_mismatch_count,entry_quote_sweep_missing_count,entry_quote_sweep_stale_count,entry_quote_sweep_match_share,ladder_quote_sweep_match_count,ladder_quote_sweep_mismatch_count,ladder_quote_sweep_match_share,label_fee_model,feature_contract_version,decision_grid,context_lag_exact_one_minute_share,future_context_row_count,opening_no_leading_backfill,context_reconstruction_match_share,context_reconstruction_mismatch_count,context_window_sample_match_share,vix_close_finite_share,failed_checks,record_hash
2025-09-16,pass,360,360,False,,1.0,1.0,23.105555555555554,12,0.912962962962963,105840,58226,1.0,0.9861745611925944,0.2814034967196785,0.7047710644729159,36,36,0,36,0,0,1.0,8318,0,0,0,1.0,8318,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,8a82f26af6dc3e97a98ba299534c9837421c065bba8d5012a85212370b59a8d6
2025-09-17,pass,360,360,False,,1.0,0.9972222222222222,29.647222222222222,0,0.9634259259259259,105840,74711,1.0,0.987043407262652,0.2858213649931068,0.7012220422695453,36,36,0,36,0,0,1.0,10673,0,0,0,1.0,10673,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9944444444444445,,b6df8a8f389c8df420538c21addfd1d91c8d8eea76ff4c1d68a711f0330719ea
2025-09-18,pass,360,360,False,,1.0,1.0,26.969444444444445,14,0.9597222222222223,105840,67963,1.0,0.9913776613745715,0.2853611523917426,0.7060165089828289,36,36,0,36,0,0,1.0,9709,0,0,0,1.0,9709,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,4860e92499479518de75eba90526ac3de4fa3ca1130354fa9f48402ffc5281f4
2025-09-19,pass,360,360,False,,1.0,1.0,26.469444444444445,14,0.9462962962962963,105840,66703,1.0,0.9881114792438122,0.3589493725919374,0.6291621066518748,36,36,0,36,0,0,1.0,9529,0,0,0,1.0,9529,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,6c1b327dc394ecd56751bd398a7a97772631bb7273060c3960c687c6145190b6
2025-09-22,pass,360,360,False,,1.0,1.0,24.516666666666666,13,0.9233024691358025,105840,61782,1.0,0.9899485286976789,0.35032857466576023,0.6396199540319187,36,36,0,36,0,0,1.0,8826,0,0,0,1.0,8826,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,b877641569d501dd60db5fcdafc46fd86cf881f348cb1a8649a26e6b8550e4ef
2025-09-23,pass,360,360,False,,1.0,1.0,26.958333333333332,14,0.9777777777777777,105840,67935,1.0,0.9895193935379407,0.39885184367410026,0.5906675498638404,36,36,0,36,0,0,1.0,9705,0,0,0,1.0,9705,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,8667d9fb7bb6be82ab29de835debe058e91809d91ff25256866e3dbbf212eff7
2025-09-24,pass,360,360,False,,1.0,1.0,26.758333333333333,12,0.9646604938271605,105840,67431,1.0,0.991888004033753,0.3356319793566757,0.6562560246770773,36,36,0,36,0,0,1.0,9633,0,0,0,1.0,9633,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,a4f3f0498456eea3ba3635bec6fefb8324b98660e06a1d322f06d22f472a6918
2025-09-25,pass,360,360,False,,1.0,1.0,29.68888888888889,17,0.9938271604938271,105840,74816,1.0,0.9937446535500428,0.32073353293413176,0.6730111206159111,36,36,0,36,0,0,1.0,10688,0,0,0,1.0,10688,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,d6d0a26749ff6160491b79a5da47d6acb4bcc37115c33d50ed09aecf75a5e390
2025-09-26,pass,360,360,False,,1.0,1.0,27.322222222222223,11,0.9462962962962963,105840,68852,1.0,0.9927670946377738,0.30768895602161156,0.6850781386161622,36,36,0,36,0,0,1.0,9836,0,0,0,1.0,9836,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,7f6849c836a1dc619d4d98fd095a495d3417ecbba309ffa464db2e0060ab97ab
2025-09-29,pass,360,360,False,,1.0,1.0,24.355555555555554,11,0.9305555555555556,105840,61376,1.0,0.9894910062565172,0.310968456725756,0.6785225495307612,36,36,0,36,0,0,1.0,8768,0,0,0,1.0,8768,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,5fb039f550a7aa1232b6be9f274d03847c01335b83630d7e81cfcc95bf5d49f8
2025-09-30,pass,360,360,False,,1.0,1.0,28.591666666666665,19,0.9959876543209877,105840,72051,1.0,0.9918252349030547,0.3926940639269406,0.5991311709761141,36,36,0,36,0,0,1.0,10293,0,0,0,1.0,10293,0,1.0,gross_no_fees,protocol101-live-v1,calendar_v2,1.0,0,True,1.0,0,1.0,0.9972222222222222,,71262827d5dcd04b184f50cb00e4bfbfe4a7acdfe956fcd697162b3b8533aacd
