Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + risk-aware curriculum
Risk curriculum: 4 stages, ruin weight=2.0
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05

step 02500 ( 25.8%) | loss: 1.268416 | trade:0.36 call:0.58 put:0.42 | ATM:0.52 OTM:0.48 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 178s
step 02550 ( 26.3%) | loss: 1.241900 | trade:0.30 call:0.59 put:0.41 | ATM:0.51 OTM:0.49 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 177s
step 02600 ( 26.8%) | loss: 1.245779 | trade:0.32 call:0.54 put:0.46 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 176s
step 02650 ( 27.3%) | loss: 1.241585 | trade:0.32 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 174s
step 02700 ( 27.8%) | loss: 1.246078 | trade:0.30 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 173s
step 02750 ( 28.4%) | loss: 1.249672 | trade:0.34 call:0.53 put:0.47 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 172s
step 02800 ( 28.9%) | loss: 1.246563 | trade:0.34 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 171s
step 02850 ( 29.4%) | loss: 1.201856 | trade:0.27 call:0.65 put:0.35 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 169s
step 02900 ( 29.9%) | loss: 1.201819 | trade:0.37 call:0.62 put:0.38 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 168s
step 02950 ( 30.5%) | loss: 1.211766 | trade:0.34 call:0.60 put:0.40 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 167s
step 03000 ( 31.0%) | loss: 1.217188 | trade:0.38 call:0.57 put:0.43 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 166s
step 03050 ( 31.5%) | loss: 1.199963 | trade:0.34 call:0.64 put:0.36 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 164s
step 03100 ( 32.0%) | loss: 1.200579 | trade:0.35 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 163s
step 03150 ( 32.5%) | loss: 1.179071 | trade:0.34 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 162s
step 03200 ( 33.0%) | loss: 1.206163 | trade:0.32 call:0.62 put:0.38 | ATM:0.54 OTM:0.46 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 161s
step 03250 ( 33.2%) | loss: 1.212824 | trade:0.26 call:0.60 put:0.40 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 160s
step 03300 ( 33.6%) | loss: 1.193881 | trade:0.34 call:0.67 put:0.33 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 159s
step 03350 ( 34.1%) | loss: 1.191580 | trade:0.29 call:0.61 put:0.39 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 158s
step 03400 ( 34.6%) | loss: 1.171538 | trade:0.33 call:0.61 put:0.39 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 157s
step 03450 ( 35.1%) | loss: 1.160017 | trade:0.31 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 156s
step 03500 ( 35.7%) | loss: 1.161969 | trade:0.30 call:0.63 put:0.37 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 154s
step 03550 ( 36.2%) | loss: 1.187790 | trade:0.31 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 153s
step 03600 ( 36.7%) | loss: 1.183478 | trade:0.29 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | stage:2 risk:0.3x | left: 152s
