Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 146,947
Architecture: v4 three-head (gate+dir+regime) + market regime classifier + balanced strike gating + VIX regime robustness + light temporal chunking + stop prevention + FULL STOPPED P&L CONSISTENCY + feature noise injection + direction-side loss + MAXIMUM CONSERVATIVE GATE BIAS
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5, regime=0.4
VIX regime weights: vix_regime=0.2, vix_consistency=0.1
Temporal robustness: temporal_chunk=0.05
Direction-side loss: dir_side=0.4
Stop prevention: stop_prevention=0.3
Feature noise injection: std=0.05
CRITICAL: Training exclusively on STOPPED P&L to align with evaluation reality
NEW: Market regime classifier identifies high-probability trading windows
MAXIMUM CONSERVATIVE GATE BIAS: NO_TRADE=+1.2, TRADE=-1.2 for ultra-selectivity

step 01950 ( 23.7%) | loss: 1.457039 | trade:0.34 call:0.59 put:0.41 | ATM:0.50 OTM:0.50 | regime:0.50 | lr: 1.50e-04 | left: 183s
step 02000 ( 24.3%) | loss: 1.428037 | trade:0.33 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | regime:0.50 | lr: 1.50e-04 | left: 182s
step 02050 ( 24.9%) | loss: 1.374829 | trade:0.35 call:0.65 put:0.35 | ATM:0.52 OTM:0.48 | regime:0.50 | lr: 1.50e-04 | left: 180s
step 02100 ( 25.6%) | loss: 1.411159 | trade:0.30 call:0.65 put:0.35 | ATM:0.56 OTM:0.44 | regime:0.49 | lr: 1.50e-04 | left: 179s
step 02150 ( 26.2%) | loss: 1.413003 | trade:0.37 call:0.66 put:0.34 | ATM:0.51 OTM:0.49 | regime:0.50 | lr: 1.50e-04 | left: 177s
step 02200 ( 26.8%) | loss: 1.356365 | trade:0.32 call:0.65 put:0.35 | ATM:0.59 OTM:0.41 | regime:0.50 | lr: 1.50e-04 | left: 176s
step 02250 ( 27.4%) | loss: 1.414978 | trade:0.34 call:0.62 put:0.38 | ATM:0.59 OTM:0.41 | regime:0.49 | lr: 1.50e-04 | left: 174s
step 02300 ( 28.1%) | loss: 1.368570 | trade:0.34 call:0.59 put:0.41 | ATM:0.53 OTM:0.47 | regime:0.49 | lr: 1.50e-04 | left: 173s
step 02350 ( 28.7%) | loss: 1.381260 | trade:0.30 call:0.65 put:0.35 | ATM:0.59 OTM:0.41 | regime:0.50 | lr: 1.50e-04 | left: 171s
step 02400 ( 29.3%) | loss: 1.330503 | trade:0.31 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | regime:0.50 | lr: 1.50e-04 | left: 170s
step 02450 ( 29.9%) | loss: 1.337833 | trade:0.35 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | regime:0.50 | lr: 1.50e-04 | left: 168s
