Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir) + curriculum learning
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Curriculum learning: enabled
  Stages: 3 | Selectivity growth: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 03700 ( 37.5%) | loss: 1.162905 | trade:0.35 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 150s | cur_stage:1 thresh:0.039
step 03750 ( 38.0%) | loss: 1.188508 | trade:0.27 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 149s | cur_stage:1 thresh:0.039
step 03800 ( 38.5%) | loss: 1.158763 | trade:0.35 call:0.58 put:0.42 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 148s | cur_stage:1 thresh:0.039
step 03850 ( 39.0%) | loss: 1.146361 | trade:0.34 call:0.59 put:0.41 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 146s | cur_stage:1 thresh:0.040
step 03900 ( 39.5%) | loss: 1.154968 | trade:0.39 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 145s | cur_stage:1 thresh:0.040
step 03950 ( 40.0%) | loss: 1.124567 | trade:0.27 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 144s | cur_stage:1 thresh:0.040
step 04000 ( 40.5%) | loss: 1.133340 | trade:0.35 call:0.63 put:0.37 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 143s | cur_stage:1 thresh:0.040
step 04050 ( 41.0%) | loss: 1.152094 | trade:0.37 call:0.61 put:0.39 | ATM:0.56 OTM:0.44 | lr: 1.50e-04 | left: 142s | cur_stage:1 thresh:0.040
step 04100 ( 41.5%) | loss: 1.133287 | trade:0.30 call:0.67 put:0.33 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 140s | cur_stage:1 thresh:0.041
step 04150 ( 42.0%) | loss: 1.121305 | trade:0.32 call:0.56 put:0.44 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 139s | cur_stage:1 thresh:0.041
step 04200 ( 42.5%) | loss: 1.113692 | trade:0.31 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 138s | cur_stage:1 thresh:0.041
step 04250 ( 43.0%) | loss: 1.123420 | trade:0.32 call:0.59 put:0.41 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 137s | cur_stage:1 thresh:0.041
step 04300 ( 43.5%) | loss: 1.138483 | trade:0.38 call:0.61 put:0.39 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 135s | cur_stage:1 thresh:0.041
step 04350 ( 44.0%) | loss: 1.117210 | trade:0.31 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 134s | cur_stage:1 thresh:0.042
step 04400 ( 44.5%) | loss: 1.129938 | trade:0.33 call:0.62 put:0.38 | ATM:0.58 OTM:0.42 | lr: 1.50e-04 | left: 133s | cur_stage:1 thresh:0.042
step 04450 ( 45.1%) | loss: 1.113280 | trade:0.38 call:0.62 put:0.38 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 132s | cur_stage:1 thresh:0.042
step 04500 ( 45.6%) | loss: 1.120954 | trade:0.35 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 131s | cur_stage:1 thresh:0.042
step 04550 ( 46.1%) | loss: 1.103327 | trade:0.33 call:0.58 put:0.42 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 129s | cur_stage:1 thresh:0.042
step 04600 ( 46.6%) | loss: 1.111806 | trade:0.35 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 128s | cur_stage:1 thresh:0.042
step 04650 ( 47.1%) | loss: 1.105238 | trade:0.34 call:0.59 put:0.41 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 127s | cur_stage:1 thresh:0.043
step 04700 ( 47.6%) | loss: 1.116126 | trade:0.38 call:0.61 put:0.39 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 126s | cur_stage:1 thresh:0.043
step 04750 ( 48.1%) | loss: 1.143598 | trade:0.31 call:0.61 put:0.39 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 125s | cur_stage:1 thresh:0.043
step 04800 ( 48.6%) | loss: 1.091970 | trade:0.37 call:0.59 put:0.41 | ATM:0.57 OTM:0.43 | lr: 1.50e-04 | left: 123s | cur_stage:1 thresh:0.043
step 04850 ( 49.1%) | loss: 1.103313 | trade:0.39 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 122s | cur_stage:1 thresh:0.043
step 04900 ( 49.6%) | loss: 1.094530 | trade:0.29 call:0.63 put:0.37 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 121s | cur_stage:1 thresh:0.044
step 04950 ( 50.1%) | loss: 1.135045 | trade:0.34 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 120s | cur_stage:1 thresh:0.044
step 05000 ( 50.6%) | loss: 1.114904 | trade:0.35 call:0.57 put:0.43 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 118s | cur_stage:1 thresh:0.044
step 05050 ( 51.1%) | loss: 1.097327 | trade:0.34 call:0.62 put:0.38 | ATM:0.55 OTM:0.45 | lr: 1.50e-04 | left: 117s | cur_stage:1 thresh:0.044
step 05100 ( 51.7%) | loss: 1.114214 | trade:0.32 call:0.63 put:0.37 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 116s | cur_stage:1 thresh:0.044
step 05150 ( 52.2%) | loss: 1.094026 | trade:0.38 call:0.55 put:0.45 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 115s | cur_stage:1 thresh:0.045
step 05200 ( 52.7%) | loss: 1.090477 | trade:0.32 call:0.62 put:0.38 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 114s | cur_stage:1 thresh:0.045
step 05250 ( 53.2%) | loss: 1.097575 | trade:0.30 call:0.66 put:0.34 | ATM:0.68 OTM:0.32 | lr: 1.50e-04 | left: 112s | cur_stage:1 thresh:0.045
step 05300 ( 53.7%) | loss: 1.100618 | trade:0.32 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 111s | cur_stage:1 thresh:0.045
step 05350 ( 54.2%) | loss: 1.119636 | trade:0.28 call:0.64 put:0.36 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 110s | cur_stage:1 thresh:0.045
step 05400 ( 54.7%) | loss: 1.093861 | trade:0.39 call:0.58 put:0.42 | ATM:0.53 OTM:0.47 | lr: 1.50e-04 | left: 109s | cur_stage:1 thresh:0.046
step 05450 ( 55.2%) | loss: 1.070195 | trade:0.37 call:0.56 put:0.44 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 108s | cur_stage:1 thresh:0.046
step 05500 ( 55.7%) | loss: 1.085361 | trade:0.34 call:0.54 put:0.46 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 106s | cur_stage:1 thresh:0.046
step 05550 ( 56.2%) | loss: 1.094854 | trade:0.33 call:0.59 put:0.41 | ATM:0.66 OTM:0.34 | lr: 1.50e-04 | left: 105s | cur_stage:1 thresh:0.046
step 05600 ( 56.7%) | loss: 1.089174 | trade:0.35 call:0.64 put:0.36 | ATM:0.64 OTM:0.36 | lr: 1.50e-04 | left: 104s | cur_stage:1 thresh:0.046
step 05650 ( 57.2%) | loss: 1.090810 | trade:0.31 call:0.66 put:0.34 | ATM:0.67 OTM:0.33 | lr: 1.50e-04 | left: 103s | cur_stage:1 thresh:0.046
step 05700 ( 57.7%) | loss: 1.094978 | trade:0.40 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | lr: 1.50e-04 | left: 101s | cur_stage:1 thresh:0.047
step 05750 ( 58.2%) | loss: 1.076935 | trade:0.35 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | lr: 1.50e-04 | left: 100s | cur_stage:1 thresh:0.047
step 05800 ( 58.7%) | loss: 1.082519 | trade:0.35 call:0.63 put:0.37 | ATM:0.65 OTM:0.35 | lr: 1.50e-04 | left: 99s | cur_stage:1 thresh:0.047
step 05850 ( 59.3%) | loss: 1.062468 | trade:0.33 call:0.59 put:0.41 | ATM:0.59 OTM:0.41 | lr: 1.50e-04 | left: 98s | cur_stage:1 thresh:0.047
step 05900 ( 59.8%) | loss: 1.097650 | trade:0.37 call:0.62 put:0.38 | ATM:0.62 OTM:0.38 | lr: 1.50e-04 | left: 97s | cur_stage:1 thresh:0.047
step 05950 ( 60.3%) | loss: 1.055262 | trade:0.33 call:0.54 put:0.46 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 95s | cur_stage:1 thresh:0.048
step 06000 ( 60.8%) | loss: 1.083621 | trade:0.36 call:0.59 put:0.41 | ATM:0.63 OTM:0.37 | lr: 1.50e-04 | left: 94s | cur_stage:1 thresh:0.048
