abs_delta,abs_single_feature_score_delta,case,contract_id,decision_ts,delta_historical_minus_live,family,feature,historical_score,historical_value,live_score,live_value,score_delta_historical_minus_live,session,single_feature_live_to_historical_score,single_feature_score_delta
0.1153717041015625,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,-0.1153717041015625,option,option.theta,43.47899627685547,-25.303421020507812,45.347900390625,-25.18804931640625,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.10000038146972656,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.10000038146972656,option,option.ask,43.47899627685547,22.399999618530273,45.347900390625,22.299999237060547,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.10000000149011612,2.73358154296875,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.10000000149011612,option,option.spread,43.47899627685547,0.20000000298023224,45.347900390625,0.10000000149011612,-1.8689041137695312,2026-07-02,42.61431884765625,-2.73358154296875
0.09999990463256836,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.09999990463256836,option,option.breakeven_distance,43.47899627685547,8.069999694824219,45.347900390625,7.96999979019165,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.049999237060546875,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.049999237060546875,option,option.mid,43.47899627685547,22.299999237060547,45.347900390625,22.25,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.00665283203125,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,-0.00665283203125,market_mean,market_mean.vix_close,43.47899627685547,15.960384368896484,45.347900390625,15.967037200927734,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.004474228248000145,0.5215568542480469,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.004474228248000145,option,option.spread_frac,43.47899627685547,0.008968610316514969,45.347900390625,0.004494382068514824,-1.8689041137695312,2026-07-02,45.86945724487305,0.5215568542480469
0.0030568018555641174,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,-0.0030568018555641174,market_std,market_std.vix_close,43.47899627685547,0.11144085228443146,45.347900390625,0.11449765413999557,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0006845444440841675,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0006845444440841675,option,option.iv,43.47899627685547,0.1792777180671692,45.347900390625,0.17859317362308502,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0005637407302856445,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0005637407302856445,option,option.delta,43.47899627685547,-0.6531425714492798,45.347900390625,-0.6537063121795654,-1.8689041137695312,2026-07-02,45.347900390625,0.0
3.3590011298656464e-05,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,-3.3590011298656464e-05,option,option.gamma,43.47899627685547,0.010405103676021099,45.347900390625,0.010438693687319756,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.bid,43.47899627685547,22.200000762939453,45.347900390625,22.200000762939453,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.option_ohlcv_volume,43.47899627685547,0.0,45.347900390625,0.0,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.10000000149011612,2.73358154296875,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.10000000149011612,option,option.spread,43.47899627685547,0.20000000298023224,45.347900390625,0.10000000149011612,-1.8689041137695312,2026-07-02,42.61431884765625,-2.73358154296875
0.004474228248000145,0.5215568542480469,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.004474228248000145,option,option.spread_frac,43.47899627685547,0.008968610316514969,45.347900390625,0.004494382068514824,-1.8689041137695312,2026-07-02,45.86945724487305,0.5215568542480469
9.0,0.3431205749511719,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,9.0,option,option.bid_size,43.47899627685547,11.0,45.347900390625,2.0,-1.8689041137695312,2026-07-02,45.69102096557617,0.3431205749511719
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.bid,43.47899627685547,22.200000762939453,45.347900390625,22.200000762939453,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.10000038146972656,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.10000038146972656,option,option.ask,43.47899627685547,22.399999618530273,45.347900390625,22.299999237060547,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.049999237060546875,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.049999237060546875,option,option.mid,43.47899627685547,22.299999237060547,45.347900390625,22.25,-1.8689041137695312,2026-07-02,45.347900390625,0.0
32.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,32.0,option,option.ask_size,43.47899627685547,37.0,45.347900390625,5.0,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.option_ohlcv_volume,43.47899627685547,0.0,45.347900390625,0.0,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.stat_open_interest,43.47899627685547,0.0,45.347900390625,0.0,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0006845444440841675,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0006845444440841675,option,option.iv,43.47899627685547,0.1792777180671692,45.347900390625,0.17859317362308502,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0005637407302856445,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0005637407302856445,option,option.delta,43.47899627685547,-0.6531425714492798,45.347900390625,-0.6537063121795654,-1.8689041137695312,2026-07-02,45.347900390625,0.0
3.3590011298656464e-05,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,-3.3590011298656464e-05,option,option.gamma,43.47899627685547,0.010405103676021099,45.347900390625,0.010438693687319756,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.1153717041015625,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,-0.1153717041015625,option,option.theta,43.47899627685547,-25.303421020507812,45.347900390625,-25.18804931640625,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.distance_points,43.47899627685547,15.0,45.347900390625,15.0,-1.8689041137695312,2026-07-02,45.347900390625,0.0
0.09999990463256836,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07545.000-P,2026-07-02T13:57:00+00:00,0.09999990463256836,option,option.breakeven_distance,43.47899627685547,8.069999694824219,45.347900390625,7.96999979019165,-1.8689041137695312,2026-07-02,45.347900390625,0.0
26.0,0.0440521240234375,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,26.0,option,option.bid_size,43.98440170288086,32.0,44.0284538269043,6.0,-0.0440521240234375,2026-07-02,43.98440170288086,-0.0440521240234375
17.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,-17.0,option,option.ask_size,43.98440170288086,84.0,44.0284538269043,101.0,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.00665283203125,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,-0.00665283203125,market_mean,market_mean.vix_close,43.98440170288086,15.960384368896484,44.0284538269043,15.967037200927734,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0030568018555641174,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,-0.0030568018555641174,market_std,market_std.vix_close,43.98440170288086,0.11144085228443146,44.0284538269043,0.11449765413999557,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
0.0,0.0,july2_selected_contract_ranking_drift,SPXW-20260702-07520.000-P,2026-07-02T13:57:00+00:00,0.0,option,option.bid,43.98440170288086,10.300000190734863,44.0284538269043,10.300000190734863,-0.0440521240234375,2026-07-02,44.0284538269043,0.0
