contract_id,decision_time,decision_top_label,decision_top_label_contract_id,decision_top_label_score,decision_top_score,decision_top_score_label,entry_ask,entry_bid,entry_mid,feature_contract_version,feature_hash,label_net_pnl,label_rank,model_feature_hash,momentum15_side,offset,offset_bucket,omar_side,premium_bucket,quote_age_ms,range_bucket,right,right_idx,score,score_rank,selected_by_policy,session,source_context_time,source_quote_time,split,spread,strike_idx,time_bucket,tradable,vwap_side
SPXW-20260311-06765.000-P,2026-03-11T14:45:00+00:00,230.0,SPXW-20260311-06765.000-C,0.7155855298042297,0.7155855298042297,-120.0,11.6,11.4,11.5,protocol101-live-v1,e2fabf1fd0b6de6caf11ea8b56ed3bc781839d1f91f9bc5cacc198424bab17df,-220.0,21,e2fabf1fd0b6de6caf11ea8b56ed3bc781839d1f91f9bc5cacc198424bab17df,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7155855298042297,8,True,2026-03-11,2026-03-11T14:44:00+00:00,2026-03-11T14:45:00+00:00,validation,0.1999999999999993,6,morning_1000_1129,True,below_vwap
SPXW-20260311-06765.000-P,2026-03-11T15:05:00+00:00,1820.0,SPXW-20260311-06810.000-P,0.6981299519538879,0.6981299519538879,470.0,8.9,8.8,8.850000000000001,protocol101-live-v1,c68ad1c946b2d7008f0f2514127ae691089f18d2e253cb40a3f209f724b15191,970.0,11,c68ad1c946b2d7008f0f2514127ae691089f18d2e253cb40a3f209f724b15191,mom15_neg,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.6981299519538879,8,True,2026-03-11,2026-03-11T15:04:00+00:00,2026-03-11T15:05:00+00:00,validation,0.09999999999999964,6,morning_1000_1129,True,below_vwap
SPXW-20260312-06695.000-P,2026-03-12T13:44:00+00:00,950.0,SPXW-20260312-06735.000-P,0.6984254717826843,0.6984254717826843,340.0,15.0,14.8,14.9,protocol101-live-v1,a82d0410e01c1b6ab7783294b640d630362b419135139468a9cb38b172ec894a,580.0,9,a82d0410e01c1b6ab7783294b640d630362b419135139468a9cb38b172ec894a,mom15_flat,-20.0,near_10_20,omar_neg,gte_15,0.0,range_lt_20,P,1,0.6984254717826843,7,True,2026-03-12,2026-03-12T13:43:00+00:00,2026-03-12T13:44:00+00:00,validation,0.1999999999999993,6,open_0931_0959,True,below_vwap
SPXW-20260312-06690.000-P,2026-03-12T14:02:00+00:00,150.0,SPXW-20260312-06695.000-C,0.7105960845947266,0.7353917360305786,-70.0,13.4,13.2,13.3,protocol101-live-v1,60b6d0604ffd6f92418e24cc2e2ef11beb950c63efdda7b21f6d0e9d32e8bb53,-130.0,21,60b6d0604ffd6f92418e24cc2e2ef11beb950c63efdda7b21f6d0e9d32e8bb53,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7353917360305786,7,True,2026-03-12,2026-03-12T14:01:00+00:00,2026-03-12T14:02:00+00:00,validation,0.20000000000000107,6,morning_1000_1129,True,below_vwap
SPXW-20260312-06695.000-P,2026-03-12T14:12:00+00:00,1070.0,SPXW-20260312-06740.000-P,0.7008585333824158,0.7008585333824158,240.0,13.8,13.6,13.7,protocol101-live-v1,1b88fedd068899d1a14f965e2cf6f2b6bc923ff6f9fa9e85498468b56a7c7eab,520.0,10,1b88fedd068899d1a14f965e2cf6f2b6bc923ff6f9fa9e85498468b56a7c7eab,mom15_pos,-20.0,near_10_20,omar_neg,7_5_to_15,0.0,range_20_45,P,1,0.7008585333824158,7,True,2026-03-12,2026-03-12T14:11:00+00:00,2026-03-12T14:12:00+00:00,validation,0.20000000000000107,6,morning_1000_1129,True,above_vwap
SPXW-20260313-06695.000-P,2026-03-13T13:52:00+00:00,120.0,SPXW-20260313-06700.000-C,0.7438737750053406,0.7438737750053406,-10.0,13.4,13.2,13.3,protocol101-live-v1,770b3e883980e1c3ad9d34740d78a9a19158b23d6f4af63f559d977cc0937fea,-60.0,21,770b3e883980e1c3ad9d34740d78a9a19158b23d6f4af63f559d977cc0937fea,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7438737750053406,7,True,2026-03-13,2026-03-13T13:51:00+00:00,2026-03-13T13:52:00+00:00,validation,0.20000000000000107,6,open_0931_0959,True,below_vwap
SPXW-20260313-06690.000-P,2026-03-13T14:33:00+00:00,1980.0,SPXW-20260313-06735.000-P,0.8078630566596985,0.8078630566596985,380.0,11.0,10.8,10.9,protocol101-live-v1,6edae065106b5dd3ccc12ed559dbced9bba078fad4243bda415341f46fb98d98,700.0,10,6edae065106b5dd3ccc12ed559dbced9bba078fad4243bda415341f46fb98d98,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.8078630566596985,8,True,2026-03-13,2026-03-13T14:32:00+00:00,2026-03-13T14:33:00+00:00,validation,0.1999999999999993,6,morning_1000_1129,True,above_vwap
SPXW-20260316-06675.000-P,2026-03-16T13:40:00+00:00,560.0,SPXW-20260316-06680.000-C,0.7385544180870056,0.7385544180870056,-220.0,11.7,11.6,11.649999999999999,protocol101-live-v1,8bb298f1f2dc9597bce6bd0a025c79bb284d45ca08021d11454142a2dc55c154,-430.0,21,8bb298f1f2dc9597bce6bd0a025c79bb284d45ca08021d11454142a2dc55c154,mom15_flat,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_lt_20,P,1,0.7385544180870056,7,True,2026-03-16,2026-03-16T13:39:00+00:00,2026-03-16T13:40:00+00:00,validation,0.09999999999999964,6,open_0931_0959,True,below_vwap
SPXW-20260316-06690.000-P,2026-03-16T14:31:00+00:00,1110.0,SPXW-20260316-06730.000-P,0.738740086555481,0.738740086555481,270.0,11.5,11.3,11.4,protocol101-live-v1,048617a505e15b5156e03e2a066f3a35e8ed5adfdd31d24607d8af9700b421b4,580.0,9,048617a505e15b5156e03e2a066f3a35e8ed5adfdd31d24607d8af9700b421b4,mom15_neg,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.738740086555481,9,True,2026-03-16,2026-03-16T14:30:00+00:00,2026-03-16T14:31:00+00:00,validation,0.1999999999999993,6,morning_1000_1129,True,above_vwap
SPXW-20260316-06685.000-P,2026-03-16T15:01:00+00:00,860.0,SPXW-20260316-06740.000-P,0.7323902249336243,0.7323902249336243,100.0,7.6,7.5,7.55,protocol101-live-v1,3615757688f2aa4cf47fb7aa35c0536def468468982f2a6e30ff6ccb93bc3eba,300.0,12,3615757688f2aa4cf47fb7aa35c0536def468468982f2a6e30ff6ccb93bc3eba,mom15_pos,-20.0,near_10_20,omar_pos,7_5_to_15,0.0,range_20_45,P,1,0.7323902249336243,9,True,2026-03-16,2026-03-16T15:00:00+00:00,2026-03-16T15:01:00+00:00,validation,0.09999999999999964,6,morning_1000_1129,True,above_vwap
