policy_idx,heuristic,fold,threshold,net_pnl,max_drawdown_pct,trades_executed,trades_per_day
2,straddle_mid_expansion,2,57.839400065309995,-4967.000000000001,0.9615459501557633,44,0.9777777777777777
2,straddle_mid_expansion,3,55.01520478261862,8660.0,0.4647014361300076,100,2.2222222222222223
2,straddle_mid_expansion,4,53.45839003491943,-7129.999999999998,0.99712400609034,65,1.4444444444444444
2,put_call_ratio_skew,0,2.41465291065928,-16245.0,1.4725473801560758,180,4.0
2,put_call_ratio_skew,1,2.241270883027751,-12308.000000000002,1.2279145858446703,216,4.8
2,put_call_ratio_skew,2,2.5884473287288405,16281.999999999998,0.26752566062459054,296,6.5777777777777775
2,put_call_ratio_skew,3,2.6089592984579792,8232.000000000002,0.35953650310085955,291,6.466666666666667
2,put_call_ratio_skew,4,2.6051557779395775,-6453.999999999998,0.9245352816054749,198,4.4
2,near_atm_band_momentum,0,0.22800974096538282,-11515.0,1.1583505931086424,180,4.0
2,near_atm_band_momentum,1,0.2138699145288805,-9221.0,0.924745895230649,352,7.822222222222222
2,near_atm_band_momentum,2,0.2256719976675684,-11732.0,1.1409275834011392,334,7.4222222222222225
2,near_atm_band_momentum,3,0.22631312607548879,-3403.999999999999,0.8393984404010397,348,7.733333333333333
2,near_atm_band_momentum,4,0.2295744416445,-10764.0,1.1716177219487354,288,6.4
2,internal_delta_geometry,0,-0.18384900670614962,-9538.999999999998,0.9942962681297192,93,2.066666666666667
2,internal_delta_geometry,1,-0.18608994759914724,4455.0,0.4474451303155007,360,8.0
2,internal_delta_geometry,2,-0.19006491673489728,-10213.0,1.0944,256,5.688888888888889
2,internal_delta_geometry,3,-0.19024378065961378,-11915.000000000002,1.1609770899711729,240,5.333333333333333
2,internal_delta_geometry,4,-0.1903279425633516,-8807.0,1.0486,84,1.8666666666666667
3,straddle_mid_expansion,0,56.800895402216426,12619.999999999996,0.4167094236360527,175,3.888888888888889
3,straddle_mid_expansion,1,64.42225077430605,-4895.0,0.5412,5,0.1111111111111111
3,straddle_mid_expansion,2,57.839400065309995,-4210.0,1.227276493495733,45,1.0
3,straddle_mid_expansion,3,55.01520478261862,-18898.000000000004,1.717291414752116,51,1.1333333333333333
3,straddle_mid_expansion,4,53.45839003491943,3930.0000000000023,1.287881697714615,110,2.4444444444444446
3,put_call_ratio_skew,0,2.41465291065928,-12395.0,1.1405928969768124,105,2.3333333333333335
3,put_call_ratio_skew,1,2.241270883027751,6543.000000000001,0.37086617845981623,179,3.977777777777778
3,put_call_ratio_skew,2,2.5884473287288405,-397.0000000000005,0.7574068000437302,154,3.422222222222222
3,put_call_ratio_skew,3,2.6089592984579792,279.9999999999975,0.5832650773806958,155,3.4444444444444446
3,put_call_ratio_skew,4,2.6051557779395775,392.00000000000193,0.6224590163934426,116,2.577777777777778
3,near_atm_band_momentum,0,0.22800974096538282,-10582.999999999998,1.2461,106,2.3555555555555556
3,near_atm_band_momentum,1,0.2138699145288805,-3225.0,0.39980510276399717,180,4.0
3,near_atm_band_momentum,2,0.2256719976675684,-1481.0000000000007,0.5741790461297889,177,3.933333333333333
3,near_atm_band_momentum,3,0.22631312607548879,-8965.0,1.0126057827926658,180,4.0
3,near_atm_band_momentum,4,0.2295744416445,-1705.0000000000005,0.6201503898140887,180,4.0
3,internal_delta_geometry,0,-0.18384900670614962,-13737.0,1.3737,54,1.2
3,internal_delta_geometry,1,-0.18608994759914724,3699.9999999999995,0.3701,180,4.0
3,internal_delta_geometry,2,-0.19006491673489728,-1160.000000000003,0.5875191554571769,180,4.0
3,internal_delta_geometry,3,-0.19024378065961378,-7663.000000000001,0.993127147766323,56,1.2444444444444445
3,internal_delta_geometry,4,-0.1903279425633516,-7430.000000000001,1.0305887032617342,180,4.0
4,straddle_mid_expansion,0,56.800895402216426,-13221.0,1.3221,32,0.7111111111111111
4,straddle_mid_expansion,1,64.42225077430605,-4797.000000000001,0.5164,4,0.08888888888888889
4,straddle_mid_expansion,2,57.839400065309995,-9647.999999999998,1.3151381427475057,41,0.9111111111111111
4,straddle_mid_expansion,3,55.01520478261862,2129.0000000000014,0.47674784799496117,52,1.1555555555555554
4,straddle_mid_expansion,4,53.45839003491943,-14514.000000000002,1.4514,78,1.7333333333333334
4,put_call_ratio_skew,0,2.41465291065928,-14789.999999999998,1.5110012183759765,85,1.8888888888888888
4,put_call_ratio_skew,1,2.241270883027751,4693.000000000001,0.39013100436681225,134,2.977777777777778
4,put_call_ratio_skew,2,2.5884473287288405,3870.0000000000027,0.7748748094927063,120,2.6666666666666665
4,put_call_ratio_skew,3,2.6089592984579792,2882.0000000000055,0.4287868038311458,121,2.688888888888889
4,put_call_ratio_skew,4,2.6051557779395775,19298.000000000004,0.48472856983613866,94,2.088888888888889
4,near_atm_band_momentum,0,0.22800974096538282,-11683.999999999998,1.1464875502695302,73,1.6222222222222222
4,near_atm_band_momentum,1,0.2138699145288805,8650.0,0.21467986336165368,135,3.0
4,near_atm_band_momentum,2,0.2256719976675684,1941.0000000000005,0.3936559806186264,133,2.9555555555555557
