source_file,line_number,timestamp,run_id,mode,event_type,comparison_scope,live_value_present,replay_value_present,diff_present,status,missing_evidence
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,10,2026-05-19T16:41:06.187273+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,10,2026-05-19T16:41:06.187273+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,11,2026-05-19T16:41:06.187448+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,11,2026-05-19T16:41:06.187448+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,11,2026-05-19T16:41:06.187448+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,11,2026-05-19T16:41:06.187448+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,14,2026-05-19T16:41:11.291679+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,14,2026-05-19T16:41:11.291679+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,14,2026-05-19T16:41:11.291679+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,14,2026-05-19T16:41:11.291679+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,15,2026-05-19T16:41:11.291842+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,15,2026-05-19T16:41:11.291842+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,15,2026-05-19T16:41:11.291842+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,15,2026-05-19T16:41:11.291842+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,16,2026-05-19T16:41:11.291913+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,16,2026-05-19T16:41:11.291913+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,16,2026-05-19T16:41:11.291913+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,16,2026-05-19T16:41:11.291913+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,19,2026-05-19T16:41:16.346459+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,19,2026-05-19T16:41:16.346459+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,19,2026-05-19T16:41:16.346459+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,19,2026-05-19T16:41:16.346459+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,candidate_set,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,20,2026-05-19T16:41:16.346647+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,20,2026-05-19T16:41:16.346647+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,20,2026-05-19T16:41:16.346647+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,20,2026-05-19T16:41:16.346647+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,model_decision,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,21,2026-05-19T16:41:16.346747+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,21,2026-05-19T16:41:16.346747+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,21,2026-05-19T16:41:16.346747+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,21,2026-05-19T16:41:16.346747+00:00,protocol101_no-order-shadow_2026-05-19,paper-submit,risk_gate,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,23,2026-05-19T16:41:17.010336+00:00,protocol101_no-order-shadow_2026-05-19,no-order-shadow,risk_gate,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,23,2026-05-19T16:41:17.010336+00:00,protocol101_no-order-shadow_2026-05-19,no-order-shadow,risk_gate,Protocol101 candidate features,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,23,2026-05-19T16:41:17.010336+00:00,protocol101_no-order-shadow_2026-05-19,no-order-shadow,risk_gate,Quote/market state,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,23,2026-05-19T16:41:17.010336+00:00,protocol101_no-order-shadow_2026-05-19,no-order-shadow,risk_gate,Model artifact references,false,false,false,not_comparable,live_value;replay_reference
/Users/gduby/Documents/autoresearch-trading/v4/logs/paper_trading/2026-05-19/protocol101_no-order-shadow_2026-05-19.jsonl,24,2026-05-19T16:42:30.735963+00:00,protocol101_no-order-shadow_2026-05-19,no-order-shadow,risk_gate,Protocol051 surface scores,false,false,false,not_comparable,live_value;replay_reference
