date,fold,side,entry_mid,entry_cost_per_contract,contracts,equity_before,net_pnl_dollars_per_contract,trade_pnl_dollars,equity_after
2025-03-21,1,C,18.1299991607666,1812.9999160766602,2,1996245.1596075422,-207.53058819880005,-415.0611763976001,1995830.0984311446
2025-03-25,1,C,10.199999809265137,1019.9999809265137,4,1995830.0984311446,351.84003829956055,1407.3601531982422,1997237.4585843429
2025-03-26,1,C,10.75,1075.0,4,1997237.4585843429,8.549961853027344,34.19984741210938,1997271.658431755
2025-03-27,1,C,16.5,1650.0,3,1997271.658431755,126.79996185302733,380.399885559082,1997652.058317314
2025-03-31,1,C,21.299999237060547,2129.9999237060547,2,1997652.058317314,-11.062239582633957,-22.124479165267914,1997629.9338381486
2025-04-01,1,C,17.799999237060547,1779.9999237060547,2,1997629.9338381486,208.67927649908066,417.3585529981613,1998047.2923911468
2025-04-02,1,C,16.799999237060547,1679.9999237060547,2,1998047.2923911468,139.315200220871,278.630400441742,1998325.9227915886
2025-04-22,1,C,20.950000762939453,2095.0000762939453,2,1998325.9227915886,-15.168039245605469,-30.336078491210937,1998295.5867130973
2025-04-25,1,C,18.100000381469727,1810.0000381469727,2,1998295.5867130973,-493.5116653772831,-987.0233307545662,1997308.5633823427
2025-04-28,1,C,20.200000762939453,2020.0000762939453,2,1997308.5633823427,132.87039892921445,265.7407978584289,1997574.3041802011
2025-04-29,1,C,15.899999618530273,1589.9999618530273,3,1997574.3041802011,99.88763813939096,299.6629144181729,1997873.9670946193
2025-04-30,1,C,22.200000762939453,2220.0000762939453,2,1997873.9670946193,35.88079916543959,71.76159833087918,1997945.7286929502
2025-05-01,1,C,20.600000381469727,2060.0000381469727,2,1997945.7286929502,552.5310848033905,1105.062169606781,1999050.790862557
2025-05-02,1,C,19.299999237060547,1929.9999237060547,2,1999050.790862557,-86.36628531703947,-172.73257063407894,1998878.058291923
2025-05-05,1,C,15.5,1550.0,3,1998878.058291923,256.85607596874235,770.5682279062271,1999648.6265198293
2025-05-06,1,C,16.899999618530273,1689.9999618530273,2,1999648.6265198293,345.66883811588286,691.3376762317657,2000339.964196061
2025-05-07,1,C,21.270000457763672,2127.000045776367,2,2000339.964196061,-140.52776640220165,-281.0555328044033,2000058.9086632566
2025-05-08,1,C,16.799999237060547,1679.9999237060547,2,2000058.9086632566,524.3152383678437,1048.6304767356874,2001107.5391399923
2025-05-12,1,P,17.600000381469727,1760.0000381469727,2,2001107.5391399923,355.9198852539063,711.8397705078125,2001819.3789105
2025-05-13,1,C,12.600000381469727,1260.0000381469727,3,2001819.3789105,32.43996162414551,97.31988487243653,2001916.6987953726
2025-05-14,1,P,13.199999809265137,1319.9999809265137,3,2001916.6987953726,372.08001918792723,1116.2400575637816,2003032.9388529365
2025-05-16,1,P,13.600000381469727,1360.0000381469727,3,2003032.9388529365,-318.16003837585447,-954.4801151275634,2002078.458737809
2025-05-19,1,P,11.5,1150.0,4,2002078.458737809,78.10003814697265,312.4001525878906,2002390.8588903968
2025-05-21,1,C,13.300000190734863,1330.0000190734863,3,2002390.8588903968,202.01994266510007,606.0598279953002,2002996.918718392
2025-05-22,1,P,17.0,1700.0,2,2002996.918718392,-240.81201934099198,-481.62403868198396,2002515.29467971
2025-05-23,1,C,16.200000762939453,1620.0000762939453,3,2002515.29467971,39.69679925985336,119.09039777956008,2002634.3850774895
2025-05-27,1,C,8.600000381469727,860.0000381469727,5,2002634.3850774895,34.8399616241455,174.1998081207275,2002808.5848856103
2025-05-28,1,P,12.399999618530273,1239.9999618530273,4,2002808.5848856103,52.560038375854504,210.24015350341801,2003018.8250391136
2025-05-29,1,C,13.800000190734863,1380.0000190734863,3,2003018.8250391136,81.71996173858642,245.15988521575926,2003263.9849243294
2025-05-30,1,P,16.399999618530273,1639.9999618530273,3,2003263.9849243294,120.16011466979981,360.48034400939946,2003624.4652683388
2025-06-02,1,C,13.699999809265137,1369.9999809265137,3,2003624.4652683388,-58.21999988555908,-174.65999965667726,2003449.805268682
2025-06-05,1,C,13.369999885559082,1336.9999885559082,3,2003449.805268682,124.97799243927001,374.93397731781005,2003824.7392459998
2025-06-06,1,P,11.199999809265137,1119.9999809265137,4,2003824.7392459998,533.2800573348999,2133.1202293395995,2005957.8594753395
2025-06-09,1,C,8.5,850.0,5,2005957.8594753395,-28.09995422363281,-140.49977111816406,2005817.3597042214
2025-06-11,1,C,11.600000381469727,1160.0000381469727,4,2005817.3597042214,200.7199424743652,802.8797698974608,2006620.239474119
2025-06-12,1,P,10.300000190734863,1030.0000190734863,4,2006620.239474119,-46.1800573348999,-184.7202293395996,2006435.5192447794
2025-06-13,1,C,12.5,1250.0,4,2006435.5192447794,839.4999313354493,3357.9997253417973,2009793.5189701212
2025-06-16,2,C,9.5,950.0,5,2009793.5189701212,-157.69999809265138,-788.499990463257,2009005.018979658
2025-06-23,2,C,10.300000190734863,1030.0000190734863,4,2009005.018979658,-26.550781209898,-106.203124839592,2008898.8158548183
2025-06-24,2,C,10.5,1050.0,4,2008898.8158548183,321.60001907348635,1286.4000762939454,2010185.2159311122
2025-07-09,2,P,11.0,1100.0,4,2010185.2159311122,681.1999618530274,2724.7998474121096,2012910.0157785243
