Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 145,064
Architecture: v4 simplified two-head (gate+dir), ATM-biased, no ETV
Training from scratch (v4: no warm-start).
Day-sequential batching: 70% sequential, 30% random (batch=16)

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00025 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.2 | Weight decay: 0.05
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=0.5, dir=2.0, pnl=0.3
Exit override strength: 0.5 (gate targets flipped on exit bars)
Position state: flat for random batches, tracked for day-sequential

step 02550 ( 10.4%) | loss: 0.459255 | trade:0.05 call:0.95 put:0.05 | ATM:0.57 OTM:0.43 [seq] | lr: 1.74e-04 wd: 0.028 | left: 215s
step 02600 ( 10.6%) | loss: 0.443974 | trade:0.01 call:0.20 put:0.80 | ATM:0.83 OTM:0.17 [seq] | lr: 1.77e-04 wd: 0.028 | left: 215s
step 02650 ( 10.8%) | loss: 0.438959 | trade:0.83 call:0.04 put:0.96 | ATM:0.51 OTM:0.49 [seq] | lr: 1.79e-04 wd: 0.028 | left: 214s
step 02700 ( 10.9%) | loss: 0.498324 | trade:0.25 call:0.74 put:0.26 | ATM:0.55 OTM:0.45 [rnd] | lr: 1.82e-04 wd: 0.028 | left: 214s
step 02750 ( 11.1%) | loss: 0.732868 | trade:0.63 call:0.93 put:0.07 | ATM:0.34 OTM:0.66 [seq] | lr: 1.85e-04 wd: 0.028 | left: 213s
step 02800 ( 11.3%) | loss: 0.902666 | trade:0.46 call:0.50 put:0.50 | ATM:0.81 OTM:0.19 [seq] | lr: 1.88e-04 wd: 0.028 | left: 213s
step 02850 ( 11.4%) | loss: 0.648028 | trade:0.00 call:0.21 put:0.79 | ATM:0.72 OTM:0.28 [seq] | lr: 1.91e-04 wd: 0.028 | left: 212s
step 02900 ( 11.7%) | loss: 0.545195 | trade:0.01 call:0.98 put:0.02 | ATM:0.34 OTM:0.66 [seq] | lr: 1.94e-04 wd: 0.028 | left: 212s
step 02950 ( 11.8%) | loss: 0.759505 | trade:0.28 call:0.72 put:0.28 | ATM:0.58 OTM:0.42 [rnd] | lr: 1.97e-04 wd: 0.028 | left: 212s
step 03000 ( 12.0%) | loss: 0.688567 | trade:0.02 call:0.74 put:0.26 | ATM:0.45 OTM:0.55 [seq] | lr: 1.99e-04 wd: 0.028 | left: 211s
step 03050 ( 12.1%) | loss: 0.634040 | trade:0.00 call:0.79 put:0.21 | ATM:0.49 OTM:0.51 [seq] | lr: 2.02e-04 wd: 0.028 | left: 211s
step 03100 ( 12.3%) | loss: 0.797644 | trade:0.35 call:0.87 put:0.13 | ATM:0.55 OTM:0.45 [seq] | lr: 2.05e-04 wd: 0.028 | left: 210s
step 03150 ( 12.5%) | loss: 0.695405 | trade:0.28 call:0.77 put:0.23 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.09e-04 wd: 0.028 | left: 210s
step 03200 ( 12.8%) | loss: 0.635590 | trade:0.70 call:0.99 put:0.01 | ATM:0.27 OTM:0.73 [seq] | lr: 2.13e-04 wd: 0.028 | left: 209s
step 03250 ( 13.0%) | loss: 0.801001 | trade:0.05 call:0.02 put:0.98 | ATM:0.96 OTM:0.04 [seq] | lr: 2.16e-04 wd: 0.028 | left: 209s
step 03300 ( 13.2%) | loss: 0.845099 | trade:0.31 call:0.71 put:0.29 | ATM:0.59 OTM:0.41 [rnd] | lr: 2.19e-04 wd: 0.028 | left: 208s
step 03350 ( 13.3%) | loss: 0.590310 | trade:0.34 call:0.78 put:0.22 | ATM:0.57 OTM:0.43 [rnd] | lr: 2.22e-04 wd: 0.028 | left: 208s
step 03400 ( 13.5%) | loss: 0.608969 | trade:0.30 call:0.75 put:0.25 | ATM:0.61 OTM:0.39 [rnd] | lr: 2.25e-04 wd: 0.028 | left: 208s
step 03450 ( 13.6%) | loss: 0.568941 | trade:0.24 call:0.71 put:0.29 | ATM:0.60 OTM:0.40 [rnd] | lr: 2.27e-04 wd: 0.028 | left: 207s
step 03500 ( 13.8%) | loss: 0.442236 | trade:0.07 call:0.04 put:0.96 | ATM:0.95 OTM:0.05 [seq] | lr: 2.30e-04 wd: 0.028 | left: 207s
step 03550 ( 14.0%) | loss: 0.792179 | trade:0.00 call:0.23 put:0.77 | ATM:0.75 OTM:0.25 [seq] | lr: 2.33e-04 wd: 0.028 | left: 207s
step 03600 ( 14.1%) | loss: 1.210765 | trade:0.25 call:0.72 put:0.28 | ATM:0.62 OTM:0.38 [rnd] | lr: 2.35e-04 wd: 0.029 | left: 206s
step 03650 ( 14.3%) | loss: 0.846245 | trade:0.26 call:0.73 put:0.27 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.38e-04 wd: 0.029 | left: 206s
step 03700 ( 14.4%) | loss: 0.742064 | trade:0.28 call:0.75 put:0.25 | ATM:0.54 OTM:0.46 [rnd] | lr: 2.40e-04 wd: 0.029 | left: 205s
step 03750 ( 14.6%) | loss: 0.655278 | trade:0.00 call:0.99 put:0.01 | ATM:0.33 OTM:0.67 [seq] | lr: 2.43e-04 wd: 0.029 | left: 205s
step 03800 ( 14.7%) | loss: 0.695978 | trade:0.24 call:0.75 put:0.25 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.45e-04 wd: 0.029 | left: 205s
step 03850 ( 14.9%) | loss: 0.508324 | trade:0.02 call:0.81 put:0.19 | ATM:0.79 OTM:0.21 [seq] | lr: 2.48e-04 wd: 0.029 | left: 204s
step 03900 ( 15.0%) | loss: 0.546084 | trade:0.82 call:0.12 put:0.88 | ATM:0.28 OTM:0.72 [seq] | lr: 2.50e-04 wd: 0.029 | left: 204s
step 03950 ( 15.2%) | loss: 0.990577 | trade:0.28 call:0.77 put:0.23 | ATM:0.53 OTM:0.47 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 204s
step 04000 ( 15.3%) | loss: 0.831070 | trade:0.22 call:0.72 put:0.28 | ATM:0.57 OTM:0.43 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 203s
step 04050 ( 15.5%) | loss: 0.649327 | trade:0.10 call:0.75 put:0.25 | ATM:0.74 OTM:0.26 [seq] | lr: 2.50e-04 wd: 0.029 | left: 203s
step 04100 ( 15.7%) | loss: 0.608285 | trade:0.31 call:0.74 put:0.26 | ATM:0.55 OTM:0.45 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 202s
step 04150 ( 15.8%) | loss: 0.511789 | trade:0.25 call:0.95 put:0.05 | ATM:0.49 OTM:0.51 [seq] | lr: 2.50e-04 wd: 0.029 | left: 202s
step 04200 ( 16.0%) | loss: 1.153760 | trade:0.24 call:0.73 put:0.27 | ATM:0.56 OTM:0.44 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 202s
step 04250 ( 16.2%) | loss: 0.691626 | trade:0.21 call:0.73 put:0.27 | ATM:0.53 OTM:0.47 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 201s
step 04300 ( 16.4%) | loss: 0.546517 | trade:0.67 call:0.99 put:0.01 | ATM:0.33 OTM:0.67 [seq] | lr: 2.50e-04 wd: 0.029 | left: 201s
step 04350 ( 16.5%) | loss: 0.467367 | trade:0.06 call:0.75 put:0.25 | ATM:0.39 OTM:0.61 [seq] | lr: 2.50e-04 wd: 0.029 | left: 200s
step 04400 ( 16.7%) | loss: 0.441685 | trade:0.00 call:0.80 put:0.20 | ATM:0.68 OTM:0.32 [seq] | lr: 2.50e-04 wd: 0.029 | left: 200s
step 04450 ( 16.9%) | loss: 0.552895 | trade:0.00 call:0.69 put:0.31 | ATM:0.49 OTM:0.51 [seq] | lr: 2.50e-04 wd: 0.029 | left: 200s
step 04500 ( 17.0%) | loss: 0.849931 | trade:0.32 call:0.74 put:0.26 | ATM:0.57 OTM:0.43 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 199s
step 04550 ( 17.2%) | loss: 0.909976 | trade:0.24 call:0.66 put:0.34 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 199s
step 04600 ( 17.4%) | loss: 0.802549 | trade:0.67 call:0.02 put:0.98 | ATM:0.53 OTM:0.47 [seq] | lr: 2.50e-04 wd: 0.029 | left: 198s
step 04650 ( 17.6%) | loss: 0.741480 | trade:0.22 call:0.77 put:0.23 | ATM:0.60 OTM:0.40 [rnd] | lr: 2.50e-04 wd: 0.029 | left: 198s
step 04700 ( 17.8%) | loss: 0.835802 | trade:0.01 call:0.95 put:0.05 | ATM:0.87 OTM:0.13 [seq] | lr: 2.50e-04 wd: 0.029 | left: 197s
step 04750 ( 18.0%) | loss: 0.956328 | trade:0.22 call:0.76 put:0.24 | ATM:0.60 OTM:0.40 [rnd] | lr: 2.50e-04 wd: 0.030 | left: 197s
step 04800 ( 18.2%) | loss: 0.604387 | trade:0.32 call:0.78 put:0.22 | ATM:0.40 OTM:0.60 [seq] | lr: 2.50e-04 wd: 0.030 | left: 196s
step 04850 ( 18.4%) | loss: 0.903558 | trade:0.32 call:0.49 put:0.51 | ATM:0.64 OTM:0.36 [seq] | lr: 2.50e-04 wd: 0.030 | left: 196s
step 04900 ( 18.6%) | loss: 0.758031 | trade:0.29 call:0.78 put:0.22 | ATM:0.67 OTM:0.33 [seq] | lr: 2.50e-04 wd: 0.030 | left: 195s
step 04950 ( 18.8%) | loss: 0.372511 | trade:0.08 call:0.95 put:0.05 | ATM:0.93 OTM:0.07 [seq] | lr: 2.50e-04 wd: 0.030 | left: 195s
step 05000 ( 18.9%) | loss: 0.613791 | trade:0.58 call:0.81 put:0.19 | ATM:0.64 OTM:0.36 [seq] | lr: 2.50e-04 wd: 0.030 | left: 195s
step 05050 ( 19.1%) | loss: 0.697343 | trade:0.52 call:0.94 put:0.06 | ATM:0.92 OTM:0.08 [seq] | lr: 2.50e-04 wd: 0.030 | left: 194s
step 05100 ( 19.3%) | loss: 0.492660 | trade:0.00 call:0.56 put:0.44 | ATM:0.51 OTM:0.49 [seq] | lr: 2.50e-04 wd: 0.030 | left: 194s
step 05150 ( 19.5%) | loss: 0.666055 | trade:0.13 call:0.59 put:0.41 | ATM:0.40 OTM:0.60 [seq] | lr: 2.50e-04 wd: 0.030 | left: 193s
step 05200 ( 19.6%) | loss: 0.613401 | trade:0.00 call:0.76 put:0.24 | ATM:0.60 OTM:0.40 [seq] | lr: 2.50e-04 wd: 0.030 | left: 193s
step 05250 ( 19.9%) | loss: 0.669641 | trade:0.00 call:0.88 put:0.12 | ATM:0.80 OTM:0.20 [seq] | lr: 2.50e-04 wd: 0.030 | left: 192s
step 05300 ( 20.0%) | loss: 0.584143 | trade:0.18 call:0.99 put:0.01 | ATM:0.91 OTM:0.09 [seq] | lr: 2.50e-04 wd: 0.030 | left: 192s
step 05350 ( 20.2%) | loss: 0.643138 | trade:0.66 call:0.99 put:0.01 | ATM:0.38 OTM:0.62 [seq] | lr: 2.50e-04 wd: 0.030 | left: 191s
step 05400 ( 20.4%) | loss: 0.832765 | trade:0.27 call:0.71 put:0.29 | ATM:0.59 OTM:0.41 [rnd] | lr: 2.50e-04 wd: 0.030 | left: 191s
step 05450 ( 20.6%) | loss: 0.628815 | trade:0.70 call:1.00 put:0.00 | ATM:0.22 OTM:0.78 [seq] | lr: 2.50e-04 wd: 0.030 | left: 190s
step 05500 ( 20.8%) | loss: 0.743021 | trade:0.29 call:0.69 put:0.31 | ATM:0.58 OTM:0.42 [rnd] | lr: 2.50e-04 wd: 0.030 | left: 190s
step 05550 ( 21.0%) | loss: 0.823076 | trade:0.60 call:0.99 put:0.01 | ATM:0.29 OTM:0.71 [seq] | lr: 2.50e-04 wd: 0.030 | left: 190s
step 05600 ( 21.2%) | loss: 0.325190 | trade:0.65 call:0.99 put:0.01 | ATM:0.36 OTM:0.64 [seq] | lr: 2.50e-04 wd: 0.030 | left: 189s
step 05650 ( 21.4%) | loss: 0.437709 | trade:0.02 call:0.75 put:0.25 | ATM:0.31 OTM:0.69 [seq] | lr: 2.50e-04 wd: 0.030 | left: 189s
step 05700 ( 21.7%) | loss: 1.250961 | trade:0.23 call:0.77 put:0.23 | ATM:0.55 OTM:0.45 [rnd] | lr: 2.50e-04 wd: 0.030 | left: 188s
step 05750 ( 21.9%) | loss: 1.449600 | trade:0.22 call:0.98 put:0.02 | ATM:0.66 OTM:0.34 [seq] | lr: 2.50e-04 wd: 0.030 | left: 187s
step 05800 ( 22.1%) | loss: 0.822666 | trade:0.25 call:0.75 put:0.25 | ATM:0.55 OTM:0.45 [rnd] | lr: 2.50e-04 wd: 0.031 | left: 187s
