date,bar_of_day,global_bar,target_delta,horizon,spot_mfe,spot_mae,spot_end_ret,opt_mfe,opt_mae,opt_end_ret,n_valid_spot_bars,n_valid_opt_bars
2022-08-24,146,32126,0.5,5,-4.818781494703748e-05,-0.00048140802444650126,-0.00048140802444650126,-0.012987000923330156,-0.18181813678043257,-0.18181813678043257,5,5
2022-08-24,146,32126,0.5,10,3.855025195762998e-05,-0.00048140802444650126,-0.0001876974157815094,-0.012987000923330156,-0.18181813678043257,-0.09090906839021629,10,10
2022-08-24,146,32126,0.5,20,0.00028407304567558433,-0.00048140802444650126,-0.00014197775720980798,0.04285713401044212,-0.18181813678043257,-0.05194800369332062,20,20
2022-08-24,146,32126,0.5,30,0.00028407304567558433,-0.0009796230184964815,-0.0006812111595927542,0.04285713401044212,-0.2987012689442144,-0.2337662024006584,30,30
2022-08-25,134,32504,0.4,5,6.714644933560171e-05,-0.0005015476494875659,-0.0001392146279418758,0.0,-0.15384610446952324,-0.07692300638503319,5,5
2022-08-25,134,32504,0.4,10,6.714644933560171e-05,-0.0007032213655548793,-0.0005928340090555132,0.0,-0.2307692025540133,-0.21153845095775498,10,10
2022-08-25,134,32504,0.4,20,6.714644933560171e-05,-0.001108795294264334,-0.0003263575242576802,0.0,-0.3461538038310199,-0.1923076993614967,20,20
2022-08-25,134,32504,0.4,30,6.714644933560171e-05,-0.0019631840588470078,-0.0019631840588470078,0.0,-0.5192307515962583,-0.5192307515962583,30,30
2022-08-25,134,32504,0.5,5,6.714644933560171e-05,-0.0005015476494875659,-0.0001392146279418758,0.0,-0.1616161100451579,-0.054545452793986496,5,5
2022-08-25,134,32504,0.5,10,6.714644933560171e-05,-0.0007032213655548793,-0.0005928340090555132,0.0,-0.20202016163913308,-0.17171715906768026,10,10
2022-08-25,134,32504,0.5,20,6.714644933560171e-05,-0.001108795294264334,-0.0003263575242576802,0.0,-0.2929292656842344,-0.12121210661655413,20,20
2022-08-25,134,32504,0.5,30,6.714644933560171e-05,-0.0019631840588470078,-0.0019631840588470078,0.0,-0.4343434221804618,-0.4343434221804618,30,30
2022-08-26,40,32800,0.4,5,-0.000614950035891482,-0.0018662639620658224,-0.001763733496202765,-0.09333330790201823,-0.2753333409627279,-0.2753333409627279,5,5
2022-08-26,40,32800,0.4,10,-0.000614950035891482,-0.002855374551589234,-0.002855374551589234,-0.09333330790201823,-0.4086666742960612,-0.4086666742960612,10,10
2022-08-26,40,32800,0.4,20,-0.000614950035891482,-0.012687126828673337,-0.012687126828673337,-0.09333330790201823,-0.872000002861023,-0.872000002861023,20,20
2022-08-26,40,32800,0.4,30,-0.000614950035891482,-0.015935748195417248,-0.014879835690564218,-0.09333330790201823,-0.9366666674613953,-0.9166666666666666,30,30
2022-08-26,40,32800,0.5,5,-0.000614950035891482,-0.0018662639620658224,-0.001763733496202765,-0.13125001862645075,-0.2661458545467911,-0.23958334368136153,5,5
2022-08-26,40,32800,0.5,10,-0.000614950035891482,-0.002855374551589234,-0.002855374551589234,-0.13125001862645075,-0.3750000248352677,-0.3750000248352677,10,10
2022-08-26,40,32800,0.5,20,-0.000614950035891482,-0.012687126828673337,-0.012687126828673337,-0.13125001862645075,-0.8541666749450892,-0.8541666749450892,20,20
2022-08-26,40,32800,0.5,30,-0.000614950035891482,-0.015935748195417248,-0.014879835690564218,-0.13125001862645075,-0.9218750031044085,-0.9088541702884765,30,30
2022-08-29,84,33234,0.4,5,-6.965261622999476e-05,-0.00046267069141789894,-0.00024630428197808084,0.0030611971823790184,-0.04081638412443698,0.0,5,5
2022-08-29,84,33234,0.4,10,0.0016863584592039709,-0.00046267069141789894,0.0015097675193636703,0.29591832266207474,-0.04081638412443698,0.24489791549180642,10,10
2022-08-29,84,33234,0.4,20,0.0016863584592039709,-0.00046267069141789894,0.0004750587766061456,0.29591832266207474,-0.09693875416076905,0.05102040717026833,20,20
2022-08-29,84,33234,0.4,30,0.0024574560362645406,-0.00046267069141789894,0.0022186817668518647,0.3571428501918783,-0.09693875416076905,0.3265305864269765,30,30
2022-08-29,84,33234,0.5,5,-6.965261622999476e-05,-0.00046267069141789894,-0.00024630428197808084,-0.009999974568684896,-0.0586666742960612,-0.046666653951009114,5,5
2022-08-29,84,33234,0.5,10,0.0016863584592039709,-0.00046267069141789894,0.0015097675193636703,0.21666666666666667,-0.0586666742960612,0.21333338419596354,10,10
2022-08-29,84,33234,0.5,20,0.0016863584592039709,-0.00046267069141789894,0.0004750587766061456,0.21666666666666667,-0.07999998728434245,0.004000027974446614,20,20
2022-08-29,84,33234,0.5,30,0.0024574560362645406,-0.00046267069141789894,0.0022186817668518647,0.3466667175292969,-0.07999998728434245,0.21666666666666667,30,30
2022-08-30,142,33682,0.4,5,0.000959651273481771,9.518820561851443e-05,0.000959651273481771,0.14942531255580227,0.004597696865513612,0.14942531255580227,5,5
2022-08-30,142,33682,0.4,10,0.0014482555140184514,9.518820561851443e-05,0.0013706245159915268,0.24137935948381445,-0.03448278130022205,0.18390809385602433,10,10
2022-08-30,142,33682,0.4,20,0.0018316388588842803,9.518820561851443e-05,0.0005011451031021017,0.29885062511160454,-0.03448278130022205,-0.01954023908286783,20,20
2022-08-30,142,33682,0.4,30,0.0029617235133770933,9.518820561851443e-05,0.0008469058602716668,0.540229874977679,-0.03448278130022205,0.03448278130022205,30,30
2022-08-30,142,33682,0.5,5,0.000959651273481771,9.518820561851443e-05,0.000959651273481771,0.13636365278364893,0.030303074089730497,0.13636365278364893,5,5
2022-08-30,142,33682,0.5,10,0.0014482555140184514,9.518820561851443e-05,0.0013706245159915268,0.20454544305144576,-0.037878788426121635,0.20454544305144576,10,10
2022-08-30,142,33682,0.5,20,0.0018316388588842803,9.518820561851443e-05,0.0005011451031021017,0.28787880648813546,-0.037878788426121635,0.022727287505284043,20,20
2022-08-30,142,33682,0.5,30,0.0029617235133770933,9.518820561851443e-05,0.0008469058602716668,0.48409094209513437,-0.037878788426121635,0.08333336343668972,30,30
2022-08-31,130,34060,0.4,5,0.0010084993601792442,-4.513931910920095e-05,0.0005971007082708279,0.23749995231628418,-0.012499988079071045,0.125,5,5
2022-08-31,130,34060,0.4,10,0.0010562110692512489,-4.513931910920095e-05,0.0008053418004978065,0.25,-0.012499988079071045,0.20375001430511475,10,10
2022-08-31,130,34060,0.4,20,0.0019994819696593953,-4.513931910920095e-05,0.001628139104314639,0.4125000238418579,-0.012499988079071045,0.25,20,20
2022-08-31,130,34060,0.4,30,0.0019994819696593953,-4.513931910920095e-05,0.0003587871524310708,0.4125000238418579,-0.012499988079071045,0.03750002384185791,30,30
2022-08-31,130,34060,0.5,5,0.0010084993601792442,-4.513931910920095e-05,0.0005971007082708279,0.16641104928236372,0.004601259186520194,0.08128837597527644,5,5
2022-08-31,130,34060,0.5,10,0.0010562110692512489,-4.513931910920095e-05,0.0008053418004978065,0.18328223545355954,0.004601259186520194,0.12730060216780997,10,10
2022-08-31,130,34060,0.5,20,0.0019994819696593953,-4.513931910920095e-05,0.001628139104314639,0.32668706193785596,0.004601259186520194,0.2116564598892553,20,19
2022-08-31,130,34060,0.5,30,0.0019994819696593953,-4.513931910920095e-05,0.0003587871524310708,0.32668706193785596,-0.003067481746168902,-0.003067481746168902,30,29
2022-09-01,111,34431,0.4,5,-0.00042895012508811526,-0.0010111278925925345,-0.0008272921246976279,-0.08791210518670951,-0.20879126291835648,-0.12087915773164695,5,5
2022-09-01,111,34431,0.4,10,0.00026300546108803344,-0.0013047414791591706,0.00015833938638625385,-0.032967052544937446,-0.27472531560854585,-0.032967052544937446,10,10
2022-09-01,111,34431,0.4,20,0.0027908875309104663,-0.0013047414791591706,0.0002732289490279333,0.5164834738727831,-0.27472531560854585,-0.04395610499304027,20,20
2022-09-01,111,34431,0.4,30,0.0027908875309104663,-0.0013047414791591706,-0.0004085031492083155,0.5164834738727831,-0.27472531560854585,-0.10989010528354413,30,30
2022-09-01,111,34431,0.5,5,-0.00042895012508811526,-0.0010111278925925345,-0.0008272921246976279,-0.08029193015400587,-0.1605839299192767,-0.12408757904620177,5,5
2022-09-01,111,34431,0.5,10,0.00026300546108803344,-0.0013047414791591706,0.00015833938638625385,-0.007299228407856021,-0.22481751580924036,-0.013138638978646814,10,10
2022-09-01,111,34431,0.5,20,0.0027908875309104663,-0.0013047414791591706,0.0002732289490279333,0.5007299089185326,-0.22481751580924036,-0.021897824446097943,20,20
2022-09-01,111,34431,0.5,30,0.0027908875309104663,-0.0013047414791591706,-0.0004085031492083155,0.5007299089185326,-0.22481751580924036,-0.14598540349229971,30,30
2022-09-02,102,34812,0.4,5,0.0003740461867896798,-0.0003665579574643005,0.00013466636803039904,0.07500004768371582,-0.07499998807907104,0.01250004768371582,5,5
2022-09-02,102,34812,0.4,10,0.0006059377762235813,-0.0003665579574643005,0.0005810378917188646,0.08749997615814209,-0.07499998807907104,0.07500004768371582,10,10
2022-09-02,102,34812,0.4,20,0.0013715026848954927,-0.0003665579574643005,0.000456355829455638,0.20000004768371582,-0.07499998807907104,-0.012499988079071045,20,20
2022-09-02,102,34812,0.4,30,0.0013715026848954927,-0.001321642035972845,-0.001321642035972845,0.20000004768371582,-0.38749998807907104,-0.38749998807907104,30,30
2022-09-02,102,34812,0.5,5,0.0003740461867896798,-0.0003665579574643005,0.00013466636803039904,0.07258069353967155,-0.05645159925804136,0.02419356451322385,5,5
2022-09-02,102,34812,0.5,10,0.0006059377762235813,-0.0003665579574643005,0.0005810378917188646,0.0967742580528954,-0.05645159925804136,0.0887097109120803,10,10
2022-09-02,102,34812,0.5,20,0.0013715026848954927,-0.0003665579574643005,0.000456355829455638,0.22580647394138686,-0.05645159925804136,0.008064547140815094,20,20
2022-09-02,102,34812,0.5,30,0.0013715026848954927,-0.001321642035972845,-0.001321642035972845,0.22580647394138686,-0.32258065508506084,-0.32258065508506084,30,30
2022-09-07,115,35605,0.4,5,0.00015714511091480178,-0.00077068567196184,-2.2838340262923144e-05,0.0,-0.19230768760515635,-0.07692312394843655,5,5
2022-09-07,115,35605,0.4,10,0.00015714511091480178,-0.0013512375192957671,-0.0006946197636064673,0.0,-0.333333374088645,-0.22179486881659902,10,10
2022-09-07,115,35605,0.4,20,0.00015714511091480178,-0.0015743600576367913,-0.0015033693360065126,0.0,-0.333333374088645,-0.29487181211442676,20,20
2022-09-07,115,35605,0.4,30,0.00036250449571799685,-0.0015743600576367913,0.00036250449571799685,0.0,-0.333333374088645,-0.012820561413384427,30,30
2022-09-07,115,35605,0.5,5,0.00015714511091480178,-0.00077068567196184,-2.2838340262923144e-05,0.04,-0.16,-0.031999969482421876,5,5
2022-09-07,115,35605,0.5,10,0.00015714511091480178,-0.0013512375192957671,-0.0006946197636064673,0.04,-0.2640000152587891,-0.15199996948242187,10,10
2022-09-07,115,35605,0.5,20,0.00015714511091480178,-0.0015743600576367913,-0.0015033693360065126,0.04,-0.2640000152587891,-0.24,20,20
2022-09-07,115,35605,0.5,30,0.00036250449571799685,-0.0015743600576367913,0.00036250449571799685,0.04,-0.2640000152587891,0.04,30,30
2022-09-08,79,35959,0.4,5,0.00030544392375293414,-0.0008310177021193274,0.00030544392375293414,0.021566353159330177,-0.20544839198718765,-0.03632243283280769,5,5
2022-09-08,79,35959,0.4,10,0.0015244695234127535,-0.0008310177021193274,0.0015244695234127535,0.21452886488405712,-0.20544839198718765,0.21452886488405712,10,10
2022-09-08,79,35959,0.4,20,0.003394351023026304,-0.0008310177021193274,0.0030764400003446784,0.5777524354686725,-0.20544839198718765,0.4869466240093181,20,20
2022-09-08,79,35959,0.4,30,0.003439391473567703,-0.0008310177021193274,0.003439391473567703,0.5777524354686725,-0.20544839198718765,0.5720771534392622,30,30
2022-09-08,79,35959,0.5,5,0.00030544392375293414,-0.0008310177021193274,0.00030544392375293414,0.04384613037109375,-0.13846155313345102,0.04384613037109375,5,5
