date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day,opening_gap_pct,first15_close_position,first15_range_pct,pop_ctrl_a_mean_net_pct,pop_ctrl_a_n_bars,delta_net_pct
2025-02-13,0,strategy,-1,39,C,6070.0,151,0.4813535213470459,0.05114155262708664,0.14119473099708557,10.949999809265137,0.0,0.00043808826012536883,0.8075451254844666,0.31830987334251404,40,11.5,1,target_first15,0.05022832879590472,0.008,0.04222832879590472,46.24001922607421,-0.33000001311302185,-0.0015865330332335333,1,170,0.0015832068165764213,0.6571897268295288,0.0030144311022013426,0.007059399268922984,84,0.03516892952698174
2025-02-14,0,strategy,-1,59,C,6120.0,203,0.5098025798797607,0.04642857238650322,0.12560386955738068,9.800000190734863,0.0,-0.00020267175568733364,0.24668435752391815,-0.9337539672851562,60,9.380000114440918,1,stop_vwap,-0.042857149808121706,0.008,-0.050857149808121706,-49.84000778198242,-0.33000001311302185,-0.001531218766449071,1,180,9.484965994488448e-05,0.7851458787918091,0.0012321247486397624,-0.009833850304755396,89,-0.041023299503366306
2025-02-18,0,strategy,-1,112,C,6115.0,177,0.49806761741638184,0.0607638880610466,0.1607716977596283,7.199999809265137,0.0,-0.0007379730814136565,-1.0,-0.9945054650306702,113,7.300000190734863,1,stop_vwap,0.013888942238726675,0.006,0.007888942238726675,5.680038261413574,-0.33000001311302185,-0.006346424336110992,1,161,0.0012856287648901343,0.09130913019180298,0.0014867468271404505,-0.08572023952812337,75,0.09360918176685004
2025-02-19,0,strategy,-1,86,P,6115.0,155,-0.4768037796020508,0.06730769574642181,0.15028901398181915,7.800000190734863,0.0,-0.0003030335938092321,-0.14200298488140106,-1.0,89,6.599999904632568,3,stop_vwap,-0.15384618676390557,0.006,-0.15984618676390558,-124.68002872467041,-0.33000001311302185,-0.0021863524766033275,1,156,-0.0018974156118929386,0.4693572521209717,0.0010939881904050708,-0.01868705178269145,85,-0.14115913498121413
2025-02-20,0,strategy,-1,60,C,6110.0,149,0.4934249222278595,0.049065422266721725,0.1463414579629898,10.699999809265137,0.0,-6.039494110154919e-05,-1.0,0.7111111283302307,61,10.800000190734863,1,stop_vwap,0.009345830210495534,0.006,0.0033458302104955335,3.580038261413574,-0.33000001311302185,-0.00397394053206931,1,148,-0.0015380984405055642,0.0022848439402878284,0.0021494778338819742,-0.012364467261736062,73,0.015710297472231596
2025-02-21,0,strategy,-1,115,C,6090.0,258,0.46139174699783325,0.028994083404541016,0.06278026849031448,8.449999809265137,0.0,-0.0013626700965687633,-1.0,-0.8321678042411804,116,6.800000190734863,1,stop_vwap,-0.19526623145258595,0.006,-0.20126623145258596,-170.06996173858641,-0.33000001311302185,-0.0020436409678474474,1,158,-0.0006390967173501849,0.2717948853969574,0.0019222017144784331,-0.019290972319858504,78,-0.18197525913272744
2025-02-25,0,strategy,-1,86,C,5945.0,122,0.5042067170143127,0.03545751795172691,0.09825673699378967,15.300000190734863,0.0,-0.0008926313603296876,-1.0,0.03584229573607445,87,15.199999809265137,1,stop_vwap,-0.006535972563600571,0.006,-0.012535972563600572,-19.180038261413575,-0.33000001311302185,0.0008840938796103571,1,160,-0.0002623531618155539,0.06562311947345734,0.002794245257973671,-0.02180947356331055,80,0.009273500999709978
2025-02-26,0,strategy,-1,104,C,6010.0,141,0.4985760450363159,0.02734375,0.07518796622753143,9.600000381469727,0.0,0.003997025080025196,1.0,0.18627451360225677,105,9.199999809265137,1,target_first15,-0.04166672461562456,0.006,-0.04766672461562456,-45.76005744934082,-0.33000001311302185,-0.0009720184427082167,1,172,0.0025101075880229473,0.5096818804740906,0.0024063943419605494,-0.003635832307690461,85,-0.0440308923079341
2025-02-27,0,strategy,-1,57,C,5970.0,156,0.48694249987602234,0.03459302335977554,0.06438631564378738,17.200000762939453,0.0,0.0012362577253952622,-0.8054128289222717,-0.0881458967924118,62,13.819999694824219,5,stop_vwap,-0.19651168129004185,0.008,-0.20451168129004185,-351.76010742187503,-0.33000001311302185,0.008321425778999931,1,160,0.0041041187942028046,0.1014045923948288,0.004891626536846161,-0.13004641584532223,79,-0.07446526544471962
2025-02-28,0,strategy,-1,50,C,5875.0,225,0.5018629431724548,0.036082472652196884,0.10152284055948257,19.399999618530273,0.0,0.0015747839352115989,0.9259944558143616,-0.2738095223903656,51,21.100000381469727,1,target_first15,0.08762890702923858,0.00848000020980835,0.07914890681943022,153.54887621040345,0.33000001311302185,-0.0033520007867617334,1,175,-0.001031931838952005,0.8994758129119873,0.005520930513739586,-0.00818450205335901,86,0.08733340887278923
