Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 149,833
Architecture: v4 momentum-aware two-head (gate+dir) with trend-following loss
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Momentum loss weight: 1.5x
Label smoothing: gate=0.05 dir=0.05

step 02250 ( 25.8%) | loss: 0.993566 | trade:0.53 call:0.73 put:0.27 | ATM:0.59 OTM:0.41 mom:0.66 | lr: 1.50e-04 | left: 178s
step 02300 ( 26.4%) | loss: 0.989316 | trade:0.52 call:0.70 put:0.30 | ATM:0.53 OTM:0.47 mom:0.65 | lr: 1.50e-04 | left: 177s
step 02350 ( 27.0%) | loss: 0.978026 | trade:0.49 call:0.77 put:0.23 | ATM:0.57 OTM:0.43 mom:0.65 | lr: 1.50e-04 | left: 175s
step 02400 ( 27.6%) | loss: 0.977717 | trade:0.49 call:0.78 put:0.22 | ATM:0.52 OTM:0.48 mom:0.65 | lr: 1.50e-04 | left: 174s
step 02450 ( 28.1%) | loss: 0.998416 | trade:0.53 call:0.77 put:0.23 | ATM:0.53 OTM:0.47 mom:0.68 | lr: 1.50e-04 | left: 172s
step 02500 ( 28.7%) | loss: 0.966446 | trade:0.53 call:0.71 put:0.29 | ATM:0.54 OTM:0.46 mom:0.69 | lr: 1.50e-04 | left: 171s
step 02550 ( 29.3%) | loss: 0.969702 | trade:0.50 call:0.69 put:0.31 | ATM:0.57 OTM:0.43 mom:0.72 | lr: 1.50e-04 | left: 170s
step 02600 ( 29.9%) | loss: 0.952787 | trade:0.51 call:0.68 put:0.32 | ATM:0.57 OTM:0.43 mom:0.68 | lr: 1.50e-04 | left: 168s
step 02650 ( 30.5%) | loss: 0.970972 | trade:0.50 call:0.77 put:0.23 | ATM:0.56 OTM:0.44 mom:0.75 | lr: 1.50e-04 | left: 167s
step 02700 ( 31.1%) | loss: 0.963972 | trade:0.50 call:0.75 put:0.25 | ATM:0.59 OTM:0.41 mom:0.68 | lr: 1.50e-04 | left: 165s
step 02750 ( 31.7%) | loss: 0.974039 | trade:0.51 call:0.69 put:0.31 | ATM:0.57 OTM:0.43 mom:0.70 | lr: 1.50e-04 | left: 164s
step 02800 ( 32.3%) | loss: 0.966678 | trade:0.51 call:0.73 put:0.27 | ATM:0.64 OTM:0.36 mom:0.63 | lr: 1.50e-04 | left: 162s
step 02850 ( 32.9%) | loss: 0.910713 | trade:0.46 call:0.79 put:0.21 | ATM:0.67 OTM:0.33 mom:0.81 | lr: 1.50e-04 | left: 161s
step 02900 ( 33.5%) | loss: 0.926776 | trade:0.54 call:0.73 put:0.27 | ATM:0.59 OTM:0.41 mom:0.71 | lr: 1.50e-04 | left: 160s
step 02950 ( 34.1%) | loss: 0.941773 | trade:0.55 call:0.72 put:0.28 | ATM:0.60 OTM:0.40 mom:0.71 | lr: 1.50e-04 | left: 158s
