Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 382920 1-min bars, 32 features, 8 actions
  ~981 trading days
Training:   up to idx 268019
Validation: idx 268020-382919
  Option P&L coverage: 296720/382920 (77%)
Parameters: 152,489
Architecture: v5 three-head (gate+dir+size) + position state
Training from scratch (v5: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.0003 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.0x
Label smoothing: gate=0.05 dir=0.05
Size loss weight: 0.3

step 03000 ( 28.3%) | loss: 1.105174 | trade:0.37 call:0.57 put:0.43 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 172s
step 03050 ( 28.5%) | loss: 1.122030 | trade:0.32 call:0.64 put:0.36 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 172s
step 03100 ( 28.8%) | loss: 1.137348 | trade:0.34 call:0.67 put:0.33 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 171s
step 03150 ( 29.0%) | loss: 1.139479 | trade:0.31 call:0.57 put:0.43 | ATM:0.60 OTM:0.40 | size:0.51 | lr: 3.00e-04 | left: 170s
step 03200 ( 29.6%) | loss: 1.097874 | trade:0.35 call:0.58 put:0.42 | ATM:0.63 OTM:0.37 | size:0.51 | lr: 3.00e-04 | left: 169s
step 03250 ( 30.0%) | loss: 1.109796 | trade:0.33 call:0.58 put:0.42 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 168s
step 03300 ( 30.5%) | loss: 1.087854 | trade:0.37 call:0.65 put:0.35 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 167s
step 03350 ( 31.1%) | loss: 1.099505 | trade:0.33 call:0.55 put:0.45 | ATM:0.58 OTM:0.42 | size:0.51 | lr: 3.00e-04 | left: 165s
step 03400 ( 31.6%) | loss: 1.101528 | trade:0.30 call:0.59 put:0.41 | ATM:0.65 OTM:0.35 | size:0.51 | lr: 3.00e-04 | left: 164s
step 03450 ( 32.2%) | loss: 1.075950 | trade:0.32 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 | size:0.51 | lr: 3.00e-04 | left: 163s
step 03500 ( 32.7%) | loss: 1.105808 | trade:0.29 call:0.67 put:0.33 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 161s
step 03550 ( 33.3%) | loss: 1.101547 | trade:0.32 call:0.56 put:0.44 | ATM:0.57 OTM:0.43 | size:0.52 | lr: 3.00e-04 | left: 160s
step 03600 ( 33.8%) | loss: 1.095081 | trade:0.31 call:0.66 put:0.34 | ATM:0.61 OTM:0.39 | size:0.51 | lr: 3.00e-04 | left: 159s
step 03650 ( 34.4%) | loss: 1.093951 | trade:0.39 call:0.63 put:0.37 | ATM:0.55 OTM:0.45 | size:0.52 | lr: 3.00e-04 | left: 157s
step 03700 ( 35.0%) | loss: 1.101697 | trade:0.35 call:0.66 put:0.34 | ATM:0.66 OTM:0.34 | size:0.51 | lr: 3.00e-04 | left: 156s
step 03750 ( 35.5%) | loss: 1.090323 | trade:0.37 call:0.67 put:0.33 | ATM:0.51 OTM:0.49 | size:0.52 | lr: 3.00e-04 | left: 155s
step 03800 ( 36.1%) | loss: 1.076478 | trade:0.41 call:0.68 put:0.32 | ATM:0.53 OTM:0.47 | size:0.52 | lr: 3.00e-04 | left: 153s
step 03850 ( 36.6%) | loss: 1.074964 | trade:0.37 call:0.61 put:0.39 | ATM:0.55 OTM:0.45 | size:0.51 | lr: 3.00e-04 | left: 152s
step 03900 ( 37.2%) | loss: 1.102565 | trade:0.33 call:0.63 put:0.37 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 151s
step 03950 ( 37.8%) | loss: 1.089895 | trade:0.40 call:0.66 put:0.34 | ATM:0.52 OTM:0.48 | size:0.51 | lr: 3.00e-04 | left: 149s
step 04000 ( 38.3%) | loss: 1.058275 | trade:0.29 call:0.65 put:0.35 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 148s
step 04050 ( 38.9%) | loss: 1.060459 | trade:0.31 call:0.63 put:0.37 | ATM:0.63 OTM:0.37 | size:0.52 | lr: 3.00e-04 | left: 147s
step 04100 ( 39.2%) | loss: 1.081461 | trade:0.36 call:0.60 put:0.40 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 146s
step 04150 ( 39.6%) | loss: 1.074613 | trade:0.36 call:0.64 put:0.36 | ATM:0.60 OTM:0.40 | size:0.51 | lr: 3.00e-04 | left: 145s
step 04200 ( 40.2%) | loss: 1.069941 | trade:0.33 call:0.68 put:0.32 | ATM:0.66 OTM:0.34 | size:0.52 | lr: 3.00e-04 | left: 144s
step 04250 ( 40.7%) | loss: 1.080972 | trade:0.29 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | size:0.51 | lr: 3.00e-04 | left: 142s
step 04300 ( 41.3%) | loss: 1.040536 | trade:0.28 call:0.64 put:0.36 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 141s
step 04350 ( 41.8%) | loss: 1.065802 | trade:0.32 call:0.54 put:0.46 | ATM:0.59 OTM:0.41 | size:0.51 | lr: 3.00e-04 | left: 140s
step 04400 ( 42.4%) | loss: 1.073896 | trade:0.31 call:0.60 put:0.40 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 138s
step 04450 ( 43.0%) | loss: 1.042828 | trade:0.37 call:0.60 put:0.40 | ATM:0.58 OTM:0.42 | size:0.52 | lr: 3.00e-04 | left: 137s
step 04500 ( 43.5%) | loss: 1.059981 | trade:0.34 call:0.61 put:0.39 | ATM:0.62 OTM:0.38 | size:0.51 | lr: 3.00e-04 | left: 136s
step 04550 ( 44.0%) | loss: 1.058733 | trade:0.34 call:0.61 put:0.39 | ATM:0.64 OTM:0.36 | size:0.51 | lr: 3.00e-04 | left: 134s
step 04600 ( 44.6%) | loss: 1.041078 | trade:0.30 call:0.64 put:0.36 | ATM:0.62 OTM:0.38 | size:0.52 | lr: 3.00e-04 | left: 133s
step 04650 ( 45.1%) | loss: 1.055966 | trade:0.35 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | size:0.51 | lr: 3.00e-04 | left: 132s
step 04700 ( 45.7%) | loss: 1.061052 | trade:0.39 call:0.63 put:0.37 | ATM:0.61 OTM:0.39 | size:0.52 | lr: 3.00e-04 | left: 130s
step 04750 ( 46.2%) | loss: 1.048766 | trade:0.39 call:0.66 put:0.34 | ATM:0.63 OTM:0.37 | size:0.51 | lr: 3.00e-04 | left: 129s
step 04800 ( 46.8%) | loss: 1.051944 | trade:0.30 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | size:0.52 | lr: 3.00e-04 | left: 128s
step 04850 ( 47.3%) | loss: 1.038237 | trade:0.37 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | size:0.51 | lr: 3.00e-04 | left: 126s
step 04900 ( 47.9%) | loss: 1.062361 | trade:0.35 call:0.60 put:0.40 | ATM:0.59 OTM:0.41 | size:0.52 | lr: 3.00e-04 | left: 125s
step 04950 ( 48.5%) | loss: 1.023090 | trade:0.35 call:0.67 put:0.33 | ATM:0.58 OTM:0.42 | size:0.51 | lr: 3.00e-04 | left: 124s
step 05000 ( 49.0%) | loss: 1.039201 | trade:0.35 call:0.64 put:0.36 | ATM:0.58 OTM:0.42 | size:0.52 | lr: 3.00e-04 | left: 122s
step 05050 ( 49.5%) | loss: 1.042663 | trade:0.29 call:0.67 put:0.33 | ATM:0.56 OTM:0.44 | size:0.52 | lr: 3.00e-04 | left: 121s
step 05100 ( 50.1%) | loss: 1.041936 | trade:0.40 call:0.64 put:0.36 | ATM:0.55 OTM:0.45 | size:0.52 | lr: 3.00e-04 | left: 120s
step 05150 ( 50.7%) | loss: 1.044644 | trade:0.31 call:0.62 put:0.38 | ATM:0.66 OTM:0.34 | size:0.52 | lr: 3.00e-04 | left: 118s
step 05200 ( 51.2%) | loss: 1.026903 | trade:0.34 call:0.60 put:0.40 | ATM:0.60 OTM:0.40 | size:0.51 | lr: 3.00e-04 | left: 117s
