date,fold,strategy_label,paired_trade_id,bar_entry,side,strike,contract_idx,delta_at_entry,spread_at_entry,context_spread_at_entry,entry_mid,trigger_vwap_dist_min_prior,trigger_vwap_dist_now,first15_acceptance_at_entry,bar_delta_at_entry,bar_exit,exit_mid,bars_held,exit_reason,gross_pct,spread_cost_pct,net_pct,net_pnl_dollars,vix_regime_at_entry,predicted_net_pct,score_rank_in_day,n_candidates_in_day,coverage,argmax_pred,threshold_used
2025-06-02,1,control_A,4,94,C,5900.0,162,0.5100678205490112,0.03038674034178257,0.08906882256269455,12.670000076293945,0.0,0.0016740382416173816,-0.0810810774564743,0.5480226278305054,120,10.100000381469727,26,time_stop,-0.2028413322295701,0.006,-0.2088413322295701,-264.60196952819825,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0005072963829372438
2025-06-06,1,control_A,5,60,P,6000.0,254,-0.48460322618484497,0.03387096896767616,0.078125,12.399999618530273,0.0,-0.0009090357925742865,-0.0030441400595009327,-0.40740740299224854,70,8.100000381469727,10,stop_vwap,-0.34677414268906326,0.006,-0.35277414268906326,-437.43992347717284,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0005072963829372438
2025-07-09,2,control_A,0,101,P,6240.0,155,-0.5159379243850708,0.039912279695272446,0.09090909361839294,11.399999618530273,0.0,-0.0023407211992889643,-1.0,0.22535210847854614,102,12.100000381469727,1,target_first15,0.061403577751145536,0.006,0.05540357775114554,63.16007652282715,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-07-11,2,control_A,1,103,P,6255.0,206,-0.4985140562057495,0.02800000086426735,0.06666667014360428,10.0,0.0,8.02129361545667e-05,0.7157772779464722,-0.4307692348957062,110,8.5,7,stop_vwap,-0.15,0.006,-0.156,-156.0,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-07-14,2,control_A,2,70,P,6250.0,169,-0.45978766679763794,0.0533749982714653,0.1257142871618271,8.0,0.0,0.00016800420416984707,0.4959551990032196,0.2638036906719208,71,7.739999771118164,1,stop_vwap,-0.03250002861022949,0.006,-0.03850002861022949,-30.80002288818359,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-07-17,2,control_A,3,103,P,6285.0,150,-0.47857484221458435,0.022435897961258888,0.06802721321582794,7.800000190734863,0.0,0.0014380512293428183,1.0,0.45098039507865906,104,8.199999809265137,1,stop_vwap,0.05128200112166769,0.006,0.04528200112166769,35.31996173858643,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-07-24,2,control_A,4,33,P,6370.0,179,-0.4740925133228302,0.03084745816886425,0.109795480966568,8.850000381469727,0.0,0.0003275351773481816,0.7281553149223328,-0.6637167930603027,34,8.699999809265137,1,stop_vwap,-0.016949216467681,0.008,-0.024949216467681,-22.080057525634764,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-07-25,2,control_A,5,62,P,6375.0,226,-0.4963837265968323,0.03266666829586029,0.10687022656202316,7.5,0.0,0.00014303522766567767,0.801948070526123,-0.08536585420370102,63,6.800000190734863,1,stop_vwap,-0.09333330790201823,0.006,-0.09933330790201823,-74.49998092651367,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-07-28,2,control_A,6,70,P,6400.0,187,-0.5281768441200256,0.027840908616781235,0.07576669007539749,8.800000190734863,0.0,0.00010460457269800827,0.2825322449207306,-0.28431373834609985,71,8.0,1,stop_vwap,-0.09090911061310529,0.006,-0.0969091106131053,-85.28001918792725,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
2025-08-06,2,control_A,10,39,P,6325.0,174,-0.4950689375400543,0.03097345121204853,0.08912314474582672,11.300000190734863,0.0,0.0020786053501069546,1.0,0.6837607026100159,40,12.979999542236328,1,stop_vwap,0.14867250647295882,0.008,0.1406725064729588,158.95993499755858,-0.33000001311302185,0.0,-1,0,0.4,0.0,-0.0021627486969201548
