Loading data from: /root/.cache/autoresearch-trading/features/data.pt
Loaded 384870 1-min bars, 32 features, 8 actions
  ~986 trading days
Training:   up to idx 269189
Validation: idx 269190-384869
  Option P&L coverage: 297877/384870 (77%)
Parameters: 147,370
Architecture: v4 simplified two-head (gate+dir) + balanced strike gating + VIX regime robustness + stop prevention + FULL STOPPED P&L CONSISTENCY + feature noise injection + MAXIMUM CONSERVATIVE GATE BIAS + ADAPTIVE EXIT QUALITY PREDICTOR + MICROSTRUCTURE EXIT TIMING
Training from scratch (v4: no warm-start).

Budget: 240s | Batch: 128 | Lookback: 120
LR: 0.00015 | Depth: 3 | d_model: 64 | ff_mult: 3
Dropout: 0.15 | Weight decay: 0.05
False entry penalty: 2.5x
Label smoothing: gate=0.05 dir=0.05
Loss weights: gate=1.0, dir=1.0, pnl=0.3, exit=0.5
VIX regime weights: vix_regime=0.2, vix_consistency=0.1
Direction-side loss: dir_side=0.4
Stop prevention: stop_prevention=0.3
Feature noise injection: std=0.05
NEW: Exit quality prediction: exit_quality=0.4, microstructure_exit=0.3
CRITICAL: Training exclusively on STOPPED P&L to align with evaluation reality
MAXIMUM CONSERVATIVE GATE BIAS: NO_TRADE=+1.2, TRADE=-1.2 for ultra-selectivity

step 01950 ( 24.0%) | loss: 1.431840 | trade:0.26 call:0.59 put:0.41 | ATM:0.58 OTM:0.42 | exit_qual:0.748| lr: 1.50e-04 | left: 182s
step 02000 ( 24.6%) | loss: 1.457579 | trade:0.35 call:0.63 put:0.37 | ATM:0.48 OTM:0.52 | exit_qual:0.772| lr: 1.50e-04 | left: 181s
step 02050 ( 25.2%) | loss: 1.418578 | trade:0.27 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | exit_qual:0.740| lr: 1.50e-04 | left: 180s
step 02100 ( 25.8%) | loss: 1.423914 | trade:0.24 call:0.71 put:0.29 | ATM:0.63 OTM:0.37 | exit_qual:0.727| lr: 1.50e-04 | left: 178s
step 02150 ( 26.4%) | loss: 1.432543 | trade:0.31 call:0.60 put:0.40 | ATM:0.57 OTM:0.43 | exit_qual:0.763| lr: 1.50e-04 | left: 177s
step 02200 ( 27.0%) | loss: 1.391437 | trade:0.26 call:0.64 put:0.36 | ATM:0.54 OTM:0.46 | exit_qual:0.738| lr: 1.50e-04 | left: 175s
step 02250 ( 27.6%) | loss: 1.422786 | trade:0.24 call:0.65 put:0.35 | ATM:0.63 OTM:0.37 | exit_qual:0.737| lr: 1.50e-04 | left: 174s
step 02300 ( 28.2%) | loss: 1.387867 | trade:0.26 call:0.67 put:0.33 | ATM:0.60 OTM:0.40 | exit_qual:0.742| lr: 1.50e-04 | left: 172s
step 02350 ( 28.8%) | loss: 1.363203 | trade:0.26 call:0.59 put:0.41 | ATM:0.58 OTM:0.42 | exit_qual:0.747| lr: 1.50e-04 | left: 171s
step 02400 ( 29.4%) | loss: 1.360726 | trade:0.22 call:0.63 put:0.37 | ATM:0.57 OTM:0.43 | exit_qual:0.732| lr: 1.50e-04 | left: 169s
step 02450 ( 30.0%) | loss: 1.384883 | trade:0.28 call:0.54 put:0.46 | ATM:0.58 OTM:0.42 | exit_qual:0.748| lr: 1.50e-04 | left: 168s
step 02500 ( 30.6%) | loss: 1.365795 | trade:0.24 call:0.64 put:0.36 | ATM:0.64 OTM:0.36 | exit_qual:0.735| lr: 1.50e-04 | left: 166s
step 02550 ( 31.3%) | loss: 1.399819 | trade:0.30 call:0.65 put:0.35 | ATM:0.59 OTM:0.41 | exit_qual:0.762| lr: 1.50e-04 | left: 165s
step 02600 ( 31.9%) | loss: 1.381500 | trade:0.26 call:0.64 put:0.36 | ATM:0.66 OTM:0.34 | exit_qual:0.741| lr: 1.50e-04 | left: 163s
step 02650 ( 32.5%) | loss: 1.306414 | trade:0.28 call:0.59 put:0.41 | ATM:0.59 OTM:0.41 | exit_qual:0.754| lr: 1.50e-04 | left: 162s
step 02700 ( 33.1%) | loss: 1.378691 | trade:0.27 call:0.62 put:0.38 | ATM:0.57 OTM:0.43 | exit_qual:0.761| lr: 1.50e-04 | left: 160s
step 02750 ( 33.7%) | loss: 1.408338 | trade:0.29 call:0.57 put:0.43 | ATM:0.63 OTM:0.37 | exit_qual:0.752| lr: 1.50e-04 | left: 159s
step 02800 ( 34.4%) | loss: 1.303691 | trade:0.30 call:0.64 put:0.36 | ATM:0.56 OTM:0.44 | exit_qual:0.758| lr: 1.50e-04 | left: 157s
step 02850 ( 35.0%) | loss: 1.335101 | trade:0.25 call:0.54 put:0.46 | ATM:0.60 OTM:0.40 | exit_qual:0.737| lr: 1.50e-04 | left: 156s
step 02900 ( 35.6%) | loss: 1.352187 | trade:0.23 call:0.65 put:0.35 | ATM:0.66 OTM:0.34 | exit_qual:0.739| lr: 1.50e-04 | left: 155s
step 02950 ( 36.2%) | loss: 1.327456 | trade:0.27 call:0.61 put:0.39 | ATM:0.58 OTM:0.42 | exit_qual:0.755| lr: 1.50e-04 | left: 153s
step 03000 ( 36.8%) | loss: 1.336135 | trade:0.27 call:0.66 put:0.34 | ATM:0.61 OTM:0.39 | exit_qual:0.751| lr: 1.50e-04 | left: 152s
step 03050 ( 37.5%) | loss: 1.309063 | trade:0.28 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | exit_qual:0.759| lr: 1.50e-04 | left: 150s
step 03100 ( 38.1%) | loss: 1.281858 | trade:0.26 call:0.59 put:0.41 | ATM:0.65 OTM:0.35 | exit_qual:0.748| lr: 1.50e-04 | left: 149s
step 03150 ( 38.7%) | loss: 1.302109 | trade:0.32 call:0.56 put:0.44 | ATM:0.56 OTM:0.44 | exit_qual:0.778| lr: 1.50e-04 | left: 147s
step 03200 ( 39.3%) | loss: 1.266038 | trade:0.23 call:0.58 put:0.42 | ATM:0.58 OTM:0.42 | exit_qual:0.740| lr: 1.50e-04 | left: 146s
step 03250 ( 39.9%) | loss: 1.292511 | trade:0.27 call:0.64 put:0.36 | ATM:0.61 OTM:0.39 | exit_qual:0.749| lr: 1.50e-04 | left: 144s
step 03300 ( 40.5%) | loss: 1.317918 | trade:0.28 call:0.55 put:0.45 | ATM:0.59 OTM:0.41 | exit_qual:0.760| lr: 1.50e-04 | left: 143s
step 03350 ( 41.1%) | loss: 1.320161 | trade:0.25 call:0.57 put:0.43 | ATM:0.60 OTM:0.40 | exit_qual:0.742| lr: 1.50e-04 | left: 141s
step 03400 ( 41.7%) | loss: 1.283324 | trade:0.27 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | exit_qual:0.746| lr: 1.50e-04 | left: 140s
step 03450 ( 42.3%) | loss: 1.250919 | trade:0.29 call:0.61 put:0.39 | ATM:0.53 OTM:0.47 | exit_qual:0.756| lr: 1.50e-04 | left: 138s
step 03500 ( 43.0%) | loss: 1.291048 | trade:0.25 call:0.56 put:0.44 | ATM:0.63 OTM:0.37 | exit_qual:0.753| lr: 1.50e-04 | left: 137s
step 03550 ( 43.6%) | loss: 1.297811 | trade:0.23 call:0.63 put:0.37 | ATM:0.68 OTM:0.32 | exit_qual:0.734| lr: 1.50e-04 | left: 135s
step 03600 ( 44.2%) | loss: 1.264309 | trade:0.27 call:0.66 put:0.34 | ATM:0.58 OTM:0.42 | exit_qual:0.756| lr: 1.50e-04 | left: 134s
step 03650 ( 44.9%) | loss: 1.271492 | trade:0.22 call:0.61 put:0.39 | ATM:0.66 OTM:0.34 | exit_qual:0.737| lr: 1.50e-04 | left: 132s
step 03700 ( 45.5%) | loss: 1.290366 | trade:0.27 call:0.59 put:0.41 | ATM:0.60 OTM:0.40 | exit_qual:0.751| lr: 1.50e-04 | left: 131s
step 03750 ( 46.1%) | loss: 1.294374 | trade:0.29 call:0.66 put:0.34 | ATM:0.62 OTM:0.38 | exit_qual:0.763| lr: 1.50e-04 | left: 129s
step 03800 ( 46.7%) | loss: 1.253713 | trade:0.28 call:0.55 put:0.45 | ATM:0.61 OTM:0.39 | exit_qual:0.766| lr: 1.50e-04 | left: 128s
step 03850 ( 47.3%) | loss: 1.287209 | trade:0.28 call:0.57 put:0.43 | ATM:0.63 OTM:0.37 | exit_qual:0.763| lr: 1.50e-04 | left: 126s
step 03900 ( 48.0%) | loss: 1.244574 | trade:0.30 call:0.62 put:0.38 | ATM:0.50 OTM:0.50 | exit_qual:0.771| lr: 1.50e-04 | left: 125s
step 03950 ( 48.6%) | loss: 1.259872 | trade:0.25 call:0.61 put:0.39 | ATM:0.63 OTM:0.37 | exit_qual:0.746| lr: 1.50e-04 | left: 123s
step 04000 ( 49.2%) | loss: 1.226535 | trade:0.27 call:0.61 put:0.39 | ATM:0.63 OTM:0.37 | exit_qual:0.757| lr: 1.50e-04 | left: 122s
step 04050 ( 49.8%) | loss: 1.233518 | trade:0.27 call:0.63 put:0.37 | ATM:0.59 OTM:0.41 | exit_qual:0.754| lr: 1.50e-04 | left: 120s
